new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,ns,aaaa,caa,mx,txt
,app.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,blog.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,cdn.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,cloudflare-test.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,contact.krisp.ai,"52.222.144.123, 52.222.144.9, 52.222.144.93, 52.222.144.69","ns-1620.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d1w5zpydajbqvf.cloudfront.net,,,True,cloudfront,"ns-1042.awsdns-02.org, ns-1620.awsdns-10.co.uk, ns-548.awsdns-04.net, ns-77.awsdns-09.com","2600:9000:20fe:d400:15:71c1:f2c0:93a1, 2600:9000:20fe:5000:15:71c1:f2c0:93a1, 2600:9000:20fe:6600:15:71c1:f2c0:93a1, 2600:9000:20fe:1200:15:71c1:f2c0:93a1, 2600:9000:20fe:9200:15:71c1:f2c0:93a1, 2600:9000:20fe:9800:15:71c1:f2c0:93a1, 2600:9000:20fe:f800:15:71c1:f2c0:93a1, 2600:9000:20fe:cc00:15:71c1:f2c0:93a1",,,
,dev.account.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,dev.download.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,dev.new.account.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,dev.old.account.krisp.ai,"188.114.98.224, 188.114.99.224","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,dev.r.krisp.ai,"52.71.145.226, 3.234.105.241","ns-324.awsdns-40.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,dev.upld.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,docs.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,download.feature-test.env.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,download.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,files.feature-test.env.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,files.krisp.ai,"18.66.248.36, 18.66.248.3, 18.66.248.34, 18.66.248.88","ns-1502.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,"ns-914.awsdns-50.net, ns-1502.awsdns-59.org, ns-1855.awsdns-39.co.uk, ns-500.awsdns-62.com",,,,
,files.mdev.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,files.plive.env.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,files.prelive.krisp.ai,"143.204.231.88, 143.204.231.17, 143.204.231.44, 143.204.231.45","ns-191.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,help-jp.krisp.ai,"76.76.21.164, 76.76.21.123","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,"cname.super.so, cname.vercel-dns.com",,,,,,,"globalsign.com, sectigo.com, letsencrypt.org",,
,help1.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,jobs.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,jpmchase-uat.krisp.ai,"108.138.17.45, 108.138.17.108, 108.138.17.100, 108.138.17.114","ns-1665.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,"ns-426.awsdns-53.com, ns-820.awsdns-38.net, ns-1482.awsdns-57.org, ns-1665.awsdns-16.co.uk",,,,
,jpmchase.krisp.ai,"52.222.214.8, 52.222.214.60, 52.222.214.25, 52.222.214.94","ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,"ns-1611.awsdns-09.co.uk, ns-223.awsdns-27.com, ns-714.awsdns-25.net, ns-1229.awsdns-25.org",,,,
,kond.feature-test.env.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,kond.krisp.ai,"205.251.192.49, 205.251.194.18, 205.251.197.27, 205.251.199.49","ns-49.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-49.awsdns-06.com, ns-1307.awsdns-35.org, ns-530.awsdns-02.net, ns-1841.awsdns-38.co.uk",,,,
,kond.plive.env.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,krisp-blog-dev.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,krisp-dev.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,google-site-verification=HzomYQbw3WsEM16m9oUZAAbM_Q0e8FFj07RjT2gcuuk
,krstage.analytics.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,krytics.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,livedemo.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,mdev.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,metabase.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,new.account.env.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,new.account.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,o1.ptr4412.mail.krisp.ai,149.72.140.60,"ns-202.awsdns-25.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,o1.ptr7818.krisp.ai,149.72.175.200,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,o2.ptr1215.krisp.ai,149.72.26.196,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,o3.ptr4616.krisp.ai,168.245.36.146,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,old.account.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,ops.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,plive.account.krisp.ai,"10.0.1.183, 10.0.0.61","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"account.prelive.krisp.ai, internal-plive-alb-web-internal-1750101939.us-east-1.elb.amazonaws.com",True,"10.0.1.183, 10.0.0.61",,,,,,,
,plive.analytics.krisp.ai,"188.114.99.224, 188.114.98.224","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,plive.api.krisp.ai,"188.114.99.224, 188.114.98.224","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,plive.old.account.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,plive.upld.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,prelive.api.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,prod.es.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,r.krisp.ai,"54.209.87.86, 52.4.241.215, 54.85.27.94","ns-324.awsdns-40.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1387.awsdns-45.org, ns-1711.awsdns-21.co.uk, ns-324.awsdns-40.com, ns-555.awsdns-05.net",,,,
,ref.feature-test.env.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,ref.krisp.ai,"54.209.87.86, 54.85.27.94, 52.4.241.215","ns-687.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1779.awsdns-30.co.uk, ns-493.awsdns-61.com, ns-687.awsdns-21.net, ns-1154.awsdns-16.org",,,,
,regression.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,releasenotes.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,resources.krisp.ai,"199.60.103.226, 199.60.103.30","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"4042051.group1.sites.hubspot.net, group1.sites.hscoscdn00.net",,,,,,"2606:2c40::c73c:671e, 2606:2c40::c73c:67e2",,,
,sales.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,sdk-docs.krisp.ai,"104.18.211.56, 104.18.210.56","jeremy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,ssl.readmessl.com,,,True,cloudflare,,"2606:4700::6812:d338, 2606:4700::6812:d238","letsencrypt.org, digicert.com, comodoca.com, pki.goog; cansignhttpexchanges=yes",,
,sdk.krisp.ai,"52.4.75.219, 34.195.84.235","ns-2023.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-321.awsdns-40.com, ns-531.awsdns-02.net, ns-1216.awsdns-24.org, ns-2023.awsdns-60.co.uk",,,,
,security-report.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,service.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,sso.dev.api.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,stage.account.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,stage.analytics.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,stage.api.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,stage.es.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,stage.krytics.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
