input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,content_type,cdn,csp_domains_,tls_subject_org_,final_url
*.swagger.io,API Documentation & Design Tools for Teams | Swagger,200,104529,swagger.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-14T23:59:59Z,CN=*.swagger.io,*.swagger.io,swagger.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db751197aa73c37edf7c804df6bb2ece,eb8f608c73146c580f3de50b4dbf26f7f86009a96661585b278a469767e92876,ctls,swagger.io,443,https://swagger.io:443,https,,GET,3.21.138.24,/,302003546,3.140.174.224,Microsoft ASP.NET,797,False,True,,text/html,,,,
admin-api-dev.bitaccessbtm.com,Heroku | Application Error,404,563,admin-api-dev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,ctls,admin-api-dev.bitaccessbtm.com,443,https://admin-api-dev.bitaccessbtm.com:443,https,cloudflare,GET,104.26.12.113,/,1719434788,2606:4700:20::681a:c71,Cloudflare,27,False,True,cloudflare,text/html,True,,"Cloudflare, Inc.",
admin-api-rc.bitaccessbtm.com,,204,,admin-api-rc.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,ctls,admin-api-rc.bitaccessbtm.com,443,https://admin-api-rc.bitaccessbtm.com:443,https,cloudflare,GET,104.26.13.113,/,-35195074,2606:4700:20::681a:d71,Node.js,1,False,True,cloudflare,,True,,"Cloudflare, Inc.",
admin-api.bitaccessbtm.com,,204,,admin-api.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T23:04:53Z,2023-10-01T23:04:52Z,CN=admin-api.bitaccessbtm.com,admin-api.bitaccessbtm.com,admin-api.bitaccessbtm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5fb98c5381f3851aee56e568179480f2,c5bb897da830fbda96b4ec8844ed288e72b98a2ec4433c5de2a77a6e906c4260,ctls,admin-api.bitaccessbtm.com,443,https://admin-api.bitaccessbtm.com:443,https,Cowboy,GET,54.204.238.15,/,-35195074,54.209.91.188,Node.js,1,False,,,,,,,
api-dev.bitaccessbtm.com,Heroku | Application Error,404,563,api-dev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,ctls,api-dev.bitaccessbtm.com,443,https://api-dev.bitaccessbtm.com:443,https,cloudflare,GET,104.26.12.113,/,1719434788,2606:4700:20::681a:d71,Cloudflare,27,False,True,cloudflare,text/html,True,,"Cloudflare, Inc.",
api-eu.bitaccessbtm.com,Heroku | Application Error,404,563,api-eu.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,ctls,api-eu.bitaccessbtm.com,443,https://api-eu.bitaccessbtm.com:443,https,cloudflare,GET,172.67.75.129,/,1719434788,2606:4700:20::681a:c71,Cloudflare,27,False,True,cloudflare,text/html,True,,"Cloudflare, Inc.",
api-rc.bitaccessbtm.com,,204,,api-rc.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,ctls,api-rc.bitaccessbtm.com,443,https://api-rc.bitaccessbtm.com:443,https,cloudflare,GET,104.26.13.113,/,-35195074,2606:4700:20::681a:d71,Node.js,1,False,True,cloudflare,,True,,"Cloudflare, Inc.",
api.bitaccessbtm.com,,204,,api.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,ctls,api.bitaccessbtm.com,443,https://api.bitaccessbtm.com:443,https,cloudflare,GET,104.26.12.113,/,-35195074,2606:4700:20::ac43:4b81,Node.js,1,False,True,cloudflare,,True,,"Cloudflare, Inc.",
api.faa.st,Application Error,503,506,api.faa.st,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-14T02:43:34Z,2023-10-12T02:43:33Z,CN=faa.st,faa.st,faa.st,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,b6555e3cb86ad5731f732f48f40b420e,d7316458eb1d69d8e347277b616ffe5fa23a3b8ab5caff6adeaaa6f1cb80f928,ctls,api.faa.st,443,https://api.faa.st:443,https,cloudflare,GET,104.21.5.207,/,1508041395,2606:4700:3035::6815:5cf,HTTP/3,26,False,True,cloudflare,text/html,True,,,
apidev.bitaccessbtm.com,,204,,apidev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-21T04:42:17Z,2023-10-19T04:42:16Z,CN=apidev.bitaccessbtm.com,apidev.bitaccessbtm.com,apidev.bitaccessbtm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f143ef1f43071fe7ba1a05b6c3243315,0bc0e1c1e03656fdbd6d36130b2249f4410f31cbff90f5ff858b5510f105045e,ctls,apidev.bitaccessbtm.com,443,https://apidev.bitaccessbtm.com:443,https,Cowboy,GET,52.212.52.84,/,-35195074,63.32.161.232,Node.js,1,False,,,,,,,
