input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url
271-dco-vc3-nsabb.test.sketch.com,,404,,271-dco-vc3-nsabb.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,271-dco-vc3-nsabb.test.sketch.com,,443,https://271-dco-vc3-nsabb.test.sketch.com:443,https,awselb/2.0,text/plain,GET,34.193.137.106,/,-1840324437,34.205.185.240,,1,False,,,,
30-84.prod.sketch.com,,503,31,30-84.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,30-84.prod.sketch.com,,443,https://30-84.prod.sketch.com:443,https,,text/plain,GET,54.146.167.77,/,-1144739014,44.206.171.110,,1,False,,True,,
admin-cloudctl-intl.prod.sketch.com,,503,31,admin-cloudctl-intl.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,admin-cloudctl-intl.prod.sketch.com,,80,http://admin-cloudctl-intl.prod.sketch.com:80,http,,text/plain,GET,54.146.167.77,/,-1144739014,44.206.171.110,,1,False,,True,,https://admin-cloudctl-intl.prod.sketch.com:443/
alpha-accept-archivecorp.staging.sketch.com,,404,,alpha-accept-archivecorp.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,alpha-accept-archivecorp.staging.sketch.com,,80,http://alpha-accept-archivecorp.staging.sketch.com:80,http,awselb/2.0,text/plain,GET,34.193.137.106,/,-1840324437,54.236.174.78,,1,False,,,,https://alpha-accept-archivecorp.staging.sketch.com:443/
api.prod.sketch.com,Sketch - The digital design toolkit,200,11890,api.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,api.prod.sketch.com,,443,https://api.prod.sketch.com:443,https,nginx,text/html,GET,54.146.167.77,/,190856733,44.206.171.110,Nginx,51,False,,True,,
beta-download.sketch.com,,403,243,beta-download.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,beta-download.sketch.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",da2a0dd048c9add07919f396cc7ec84d,4387b047811f44b8ca41115569871106cd7a80d79ec973dbd6e2e7b9a20ec864,,ctls,beta-download.sketch.com,cloudflare,443,https://beta-download.sketch.com:443,https,cloudflare,application/xml,GET,104.22.36.172,/,388223509,2606:4700:10::ac43:dd0,HTTP/3,2,False,True,,"Cloudflare, Inc.",
bid463y.prod.sketch.com,,503,31,bid463y.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,bid463y.prod.sketch.com,,443,https://bid463y.prod.sketch.com:443,https,,text/plain,GET,54.204.85.13,/,-1144739014,54.146.167.77,,1,False,,True,,
bid48cu.7692458t.sketch.com,Trust & Safety Policies,200,101520,policy.hubspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-19T01:18:36Z,2023-10-17T01:18:35Z,CN=policy.hubspot.com,policy.hubspot.com,policy.hubspot.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,09cfdea7912e8a8cd6a090de6efcb8d0,5f88b7089a7381c375a445a4957f6442f2d7cae8af864f7f69283cbbb553cee0,,ctls,policy.hubspot.com,,80,http://bid48cu.7692458t.sketch.com:80,http,cloudflare,text/html,GET,158.247.26.252,/,-2078428639,158.247.26.252,HubSpot CMS Hub,1672,False,,,,https://policy.hubspot.com/abuse-complaints
cdn.dev.sketch.com,,404,,cdn.dev.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,cdn.dev.sketch.com,,443,https://cdn.dev.sketch.com:443,https,awselb/2.0,text/plain,GET,34.193.137.106,/,-1840324437,54.236.174.78,,1,False,,,,
chef.non-prod.sketch.com,,404,,chef.non-prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-07T00:00:00Z,2024-08-04T23:59:59Z,CN=non-prod.sketch.com,non-prod.sketch.com,*.non-prod.sketch.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16e8e58994cecba1764a77e6a52379a7,7cb2ef5f56ce2ed807c2ece921b69c6a9389075902de69a992e81f7af9f3b44d,True,ctls,chef.non-prod.sketch.com,,443,https://chef.non-prod.sketch.com:443,https,,text/plain,GET,52.73.227.229,/,-276759139,54.236.81.108,,1,False,,,,
