input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,tls_subject_org_,final_url
api.narkasa.com,,404,17,api.narkasa.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-16T00:00:00Z,2023-07-17T23:59:59Z,CN=*.narkasa.com,*.narkasa.com,narkasa.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,8f4040ae915cef624a546c52a04a5788,ca682d30f72d8350d12917395c5e57a443e912cf9bb76555cbce6af0153b3423,True,ctls,api.narkasa.com,cloudflare,443,https://api.narkasa.com:443,https,cloudflare,text/html,GET,172.67.128.224,/,1462734384,2606:4700:3030::6815:248,HTTP/3,1,False,True,,,,
apidocs.narkasa.com,Narkasa Exchange API Documents,200,114719,apidocs.narkasa.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-16T00:00:00Z,2023-07-17T23:59:59Z,CN=*.narkasa.com,*.narkasa.com,narkasa.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,8f4040ae915cef624a546c52a04a5788,ca682d30f72d8350d12917395c5e57a443e912cf9bb76555cbce6af0153b3423,True,ctls,apidocs.narkasa.com,cloudflare,443,https://apidocs.narkasa.com:443,https,cloudflare,text/html,GET,172.67.128.224,/,-680261362,2606:4700:3030::6815:248,HTTP/3,3646,False,True,wss://*.zopim.com,,,
https://api.geetest.com,AccessDeny,429,1224,api.geetest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-04-26T23:59:59Z,"CN=*.geetest.com, O=Wuhan Jiyi Network Technology Co.\, Ltd., L=武汉市, ST=湖北省, C=CN",*.geetest.com,geetest.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,68e4e1dab8ab933b9951db6ce91b54e5,f71d1efcb8eff091464431a2d1e8989ef7c74b63c9c58ba9ea971dfb516ecea4,True,ctls,api.geetest.com,,443,https://api.geetest.com:443,https,EdgeOne_SS_OC,,GET,43.152.44.80,/,,43.152.44.80,,2,False,,,,"Wuhan Jiyi Network Technology Co., Ltd.",
https://bakapi.gtapp.xyz,405 Not Allowed,405,170,bakapi.gtapp.xyz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-13T10:37:22Z,2023-07-15T10:37:21Z,CN=*.gtapp.xyz,*.gtapp.xyz,gtapp.xyz,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,6c0c84f854fe7a3029d019f2132083a3,4004682b53598a132e51a91a7aa6ce922b29681243086b9252dcd3fdba7a197b,True,ctls,bakapi.gtapp.xyz,,443,https://bakapi.gtapp.xyz:443,https,nginx,text/html,GET,103.143.17.142,/,127644323,103.143.17.142,Nginx,8,False,,,,,
https://ekr.zdassets.com,,404,9,ekr.zdassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-10T00:00:00Z,2023-11-09T23:59:59Z,"CN=zdassets.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zdassets.com,*.zdassets.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",77aded12c2ec419c8953798f0ed56f4c,c30b9d6e82b472872ae120ed9387019dc5c720d392f4c9a6bc905190956f34a8,True,ctls,ekr.zdassets.com,cloudflare,443,https://ekr.zdassets.com:443,https,cloudflare,text/plain,GET,104.18.72.113,/,1257725933,104.18.70.113,HSTS,1,False,True,,,"Cloudflare, Inc.",
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7f788b7c7e4fd6cca34ea1266e90216c,34ce8d965483353d15d17e6813cc68da1fb1b8344b5fe78e48b33f6bde169573,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.186.74,/,-606046040,2a00:1450:4001:829::200a,HTTP/3,1,False,,,,,
https://mc.yandex.ru,,404,,mc.yandex.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T21:01:01Z,2023-08-27T20:59:59Z,"CN=mc.yandex.ru, O=Yandex LLC, L=Moscow, ST=Moscow, C=RU",mc.yandex.ru,informer.yandex.ru,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,2330f6ca6a7911ed93740e591d84329e,7be76f90c6c4980dfd54c21ed98ed59275d95ff96be80ca5d487baa10fd6098d,,ctls,mc.yandex.ru,,443,https://mc.yandex.ru:443,https,,,GET,87.250.250.119,/,-1840324437,2a02:6b8::1:119,HSTS,1,False,,,,Yandex LLC,
https://monitor.geetest.com,404: Not Found,404,69,monitor.geetest.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-26T23:59:59Z,"CN=*.geetest.com, O=Wuhan Jiyi Network Technology Co.\, Ltd., L=武汉市, ST=湖北省, C=CN",*.geetest.com,geetest.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,68e4e1dab8ab933b9951db6ce91b54e5,f71d1efcb8eff091464431a2d1e8989ef7c74b63c9c58ba9ea971dfb516ecea4,True,ctls,monitor.geetest.com,,443,https://monitor.geetest.com:443,https,openresty,text/html,GET,47.95.165.133,/,2038213217,47.95.165.133,OpenResty,1,False,,,,"Wuhan Jiyi Network Technology Co., Ltd.",
https://narkasa.zendesk.com,Security check,403,7853,narkasa.zendesk.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-07-09T00:00:00Z,2024-07-07T23:59:59Z,"CN=narkasa.zendesk.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",narkasa.zendesk.com,narkasa.zendesk.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fac59d57c16b98648e1cbf77c8bfb857,e6bd4ae943cbb0dbcb62b8c19683d75f53db420ed7cb0504ab8879f7387a7e8b,,ctls,narkasa.zendesk.com,cloudflare,443,https://narkasa.zendesk.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,104,False,True,,,"Cloudflare, Inc.",https://narkasa.zendesk.com/hc/en-us
https://static.geetest.com,,403,284,static.geetest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-26T23:59:59Z,"CN=*.geetest.com, O=Wuhan Jiyi Network Technology Co.\, Ltd., L=武汉市, ST=湖北省, C=CN",*.geetest.com,geetest.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,68e4e1dab8ab933b9951db6ce91b54e5,f71d1efcb8eff091464431a2d1e8989ef7c74b63c9c58ba9ea971dfb516ecea4,True,ctls,static.geetest.com,cloudfront,443,https://static.geetest.com:443,https,AliyunOSS,application/xml,GET,18.66.122.82,/,-1840324437,2600:9000:2250:b400:1:fa24:cf00:93a1,Amazon Web Services,9,False,True,,,"Wuhan Jiyi Network Technology Co., Ltd.",
