input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_expired
api2.btse.com,HTTP Status 404 – Not Found,404,924,api2.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,api2.btse.com,incapsula,443,https://api2.btse.com:443,https,nginx,text/html,GET,45.60.198.35,/,116323821,45.60.198.35,Nginx,1,False,True,,
api99.btse.com,HTTP Status 404 – Not Found,404,796,api99.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,api99.btse.com,cloudfront,443,https://api99.btse.com:443,https,nginx,text/html,GET,18.66.147.48,/,116323821,18.66.147.99,Nginx,1,False,True,,
app.btse.com,BTSE - Download App,200,9555,app.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,app.btse.com,cloudfront,443,https://app.btse.com:443,https,AmazonS3,text/html,GET,108.138.17.43,/,-1388473300,2600:9000:2491:a000:12:5713:a680:93a1,Amazon Web Services,368,False,True,,
assets.btse.com,,200,498,assets.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-02-20T02:15:50Z,2020-05-20T02:15:50Z,CN=assets.btse.com,assets.btse.com,assets.btse.com,"CN=Let's Encrypt Authority X3, O=Let's Encrypt, C=US",Let's Encrypt Authority X3,Let's Encrypt,d0a3411c8fbc42c3d11a24442882fdeb,f575eb88d6676cf35745aa5c76155ad93ee51b27ce2fad2bb036b9d55a8283a4,,ctls,assets.btse.com,,443,https://assets.btse.com:443,https,nginx,text/html,GET,18.142.181.115,/,190856733,18.142.181.115,Nginx,7,False,,,True
aws-api.btse.com,HTTP Status 404 – Not Found,404,796,aws-api.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,aws-api.btse.com,,443,https://aws-api.btse.com:443,https,NWS,text/html,GET,52.199.40.42,/,116323821,35.73.232.73,,1,False,,,
aws-ws.btse.com,403 Forbidden,403,146,aws-ws.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,aws-ws.btse.com,,443,https://aws-ws.btse.com:443,https,NWS,text/html,GET,52.199.40.42,/,1494302000,35.73.232.73,,8,False,,,
bgpc.btse.com,BTSE | Your Favorite Crypto Exchange,200,5735,bgpc.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,bgpc.btse.com,,443,https://bgpc.btse.com:443,https,nginx,text/html,GET,1.32.214.137,/,-701593973,1.32.214.137,Vue.js,7,False,,,
blog.btse.com,BTSE Blog — Navigating the Crypto Frontier,200,395807,www.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,www.btse.com,,443,https://blog.btse.com:443,https,nginx,text/html,GET,16.163.14.246,/,-749420589,16.163.14.246,Yoast SEO:20.11,1007,False,,https://www.btse.com/blog/,
btse.com,BTSE | Your Favorite Crypto Exchange,200,5735,www.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,www.btse.com,cloudfront,443,https://btse.com:443,https,AmazonS3,text/html,GET,143.204.98.48,/,-701593973,143.204.98.82,Vue.js,7,False,True,https://www.btse.com/,
cnweb.btse.com,BTSE | Your Favorite Crypto Exchange,200,5735,cnweb.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,cnweb.btse.com,,443,https://cnweb.btse.com:443,https,nginx,text/html,GET,27.50.52.44,/,-701593973,27.50.52.44,Vue.js,7,False,,,
