input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_
airdrop.wombat.exchange,Wombat Exchange,200,3982,airdrop.wombat.exchange,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-06-10T09:08:46Z,2023-09-08T09:08:45Z,CN=airdrop.wombat.exchange,airdrop.wombat.exchange,airdrop.wombat.exchange,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bc903ed857159a95d2e0fdb929438c8c,a773aeb77d452687ba04840a95c3ac7329a5ed7fd03ffb5cd5aa05f0a3d51050,ctls,airdrop.wombat.exchange,443,https://airdrop.wombat.exchange:443,https,Vercel,text/html,GET,76.76.21.9,/,-2028552669,76.76.21.93,Vercel,1,False,,,
ambassador.wombat.exchange,,200,18561,ambassador.wombat.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-22T05:33:49Z,2023-08-20T05:33:48Z,CN=ambassador.wombat.exchange,ambassador.wombat.exchange,ambassador.wombat.exchange,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,009b8bac432d8d4fdfa81f299a9d5976,63a7f2140724f8de5c379d2c41f5c12d75c382940b6b8ab3898cf1a34728ef84,ctls,ambassador.wombat.exchange,443,https://ambassador.wombat.exchange:443,https,,text/html,GET,157.53.227.1,/,-1143462660,157.53.227.1,HSTS,236,False,,,
app.wombat.exchange,,200,1915,app.wombat.exchange,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-15T09:13:36Z,2023-08-13T09:13:35Z,CN=app.wombat.exchange,app.wombat.exchange,app.wombat.exchange,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,73613ad297f1e91e6c291f7cbbba85da,0a44de8dddfb35fac239a386b0e19c0dc51ec8266b674bdb76cb476197c7559f,ctls,app.wombat.exchange,443,https://app.wombat.exchange:443,https,Vercel,text/html,GET,76.76.21.98,/,-2028552669,76.76.21.142,Vercel,1,False,,,
cdn.wombat.exchange,,403,243,cdn.wombat.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-10T00:00:00Z,2024-04-07T23:59:59Z,CN=cdn.wombat.exchange,cdn.wombat.exchange,cdn.wombat.exchange,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e7f5df89a83f54c9b3da470149b36ebb,7b8ff55bcefcce208b3f52f3cf5e2da2654ab1707f16bdd92264de7636edea61,ctls,cdn.wombat.exchange,443,https://cdn.wombat.exchange:443,https,AmazonS3,application/xml,GET,99.86.4.8,/,911194539,2600:9000:2057:6e00:7:7a4:e9c0:93a1,Amazon Web Services,2,False,cloudfront,True,
gov.wombat.exchange,Wombat Exchange Governance Forum - Wombat Exchange,200,137491,gov.wombat.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T02:44:05Z,2023-09-26T02:44:04Z,CN=gov.wombat.exchange,gov.wombat.exchange,gov.wombat.exchange,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ba8d40530eaf53573846af7fd676de8,a9d66434a9f88bf6934b966c26ed8c6003ff539e671ce4606769138a3df9324e,ctls,gov.wombat.exchange,443,https://gov.wombat.exchange:443,https,nginx,text/html,GET,74.82.16.203,/,-1840324437,2602:fd3f:0:ff06::cb,Ruby on Rails,587,False,,,https://global.discourse-cdn.com/standard14/brotli_asset/
https://global.discourse-cdn.com/standard14/assets/,,403,243,global.discourse-cdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=global.discourse-cdn.com,global.discourse-cdn.com,global-new.discourse-cdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ce79b3a7199d27ab678d1e5662f24883,83d82b2bed2a9345d9deefd4789a0912f5f323c6f32a34b8708e4b0f088ff3e0,ctls,global.discourse-cdn.com,443,https://global.discourse-cdn.com:443/standard14/assets/,https,AmazonS3,application/xml,GET,143.204.98.2,/standard14/assets/,1311103840,2600:9000:2156:a00:2:1e0:a480:93a1,Amazon Web Services,2,False,cloudfront,True,
https://global.discourse-cdn.com/standard14/brotli_asset/,,403,243,global.discourse-cdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=global.discourse-cdn.com,global.discourse-cdn.com,global-new.discourse-cdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ce79b3a7199d27ab678d1e5662f24883,83d82b2bed2a9345d9deefd4789a0912f5f323c6f32a34b8708e4b0f088ff3e0,ctls,global.discourse-cdn.com,443,https://global.discourse-cdn.com:443/standard14/brotli_asset/,https,AmazonS3,application/xml,GET,143.204.98.2,/standard14/brotli_asset/,328426519,2600:9000:2156:a00:2:1e0:a480:93a1,Amazon Web Services,2,False,cloudfront,True,
https://gov.wombat.exchange/extra-locales/,Page Not Found - Wombat Exchange Governance Forum,404,19883,gov.wombat.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T02:44:05Z,2023-09-26T02:44:04Z,CN=gov.wombat.exchange,gov.wombat.exchange,gov.wombat.exchange,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ba8d40530eaf53573846af7fd676de8,a9d66434a9f88bf6934b966c26ed8c6003ff539e671ce4606769138a3df9324e,ctls,gov.wombat.exchange,443,https://gov.wombat.exchange:443/extra-locales/,https,nginx,text/html,GET,74.82.16.203,/extra-locales/,-1840324437,2602:fd3f:0:ff06::cb,Ruby on Rails,220,False,,,
https://gov.wombat.exchange/logs/,Page Not Found - Wombat Exchange Governance Forum,404,19883,gov.wombat.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T02:44:05Z,2023-09-26T02:44:04Z,CN=gov.wombat.exchange,gov.wombat.exchange,gov.wombat.exchange,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ba8d40530eaf53573846af7fd676de8,a9d66434a9f88bf6934b966c26ed8c6003ff539e671ce4606769138a3df9324e,ctls,gov.wombat.exchange,443,https://gov.wombat.exchange:443/logs/,https,nginx,text/html,GET,74.82.16.203,/logs/,-1840324437,2602:fd3f:0:ff06::cb,Ruby on Rails,220,False,,,
https://gov.wombat.exchange/mini-profiler-resources/,Page Not Found - Wombat Exchange Governance Forum,404,19883,gov.wombat.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T02:44:05Z,2023-09-26T02:44:04Z,CN=gov.wombat.exchange,gov.wombat.exchange,gov.wombat.exchange,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ba8d40530eaf53573846af7fd676de8,a9d66434a9f88bf6934b966c26ed8c6003ff539e671ce4606769138a3df9324e,ctls,gov.wombat.exchange,443,https://gov.wombat.exchange:443/mini-profiler-resources/,https,nginx,text/html,GET,74.82.16.203,/mini-profiler-resources/,-1840324437,2602:fd3f:0:ff06::cb,Ruby on Rails,220,False,,,
