input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,favicon,final_url
*.sumologic.com,"Cloud Log Management, Monitoring, SIEM Tools | Sumo Logic",200,149588,www.sumologic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-04-10T00:00:00Z,2025-05-08T23:59:59Z,CN=sumologic.com,sumologic.com,*.sumologic.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,48d9fe02028059388d5d803a41da3e2a,b23ae23a70105e2f4180ff0a61bf2572395f368358a60c752fd3ed0b8877aa4a,ctls,www.sumologic.com,,443,https://sumologic.com,https,AmazonS3,text/html,GET,75.2.16.224,/,/favicon.ico,75.2.16.224,YouTube,2260,False,,other,0,True,,,,152666092,https://www.sumologic.com:443/
ac.topechelon.com,TOPECHELON Email Marketing,200,14206,ac.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-19T05:01:07Z,2025-04-19T06:01:01Z,CN=ac.topechelon.com,ac.topechelon.com,ac.topechelon.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,129787ba94f9c7af51b38a3248a7881f,acce1af74f2b4e3a21568e0254633fdfffa0e6ee2992b605c322c6a342a01172,ctls,ac.topechelon.com,cloudflare,443,https://ac.topechelon.com,https,cloudflare,text/html,GET,104.17.203.31,/,/media/favicon.ico,2606:4700::6811:cb1f,PHP,242,False,True,nonerror,0,,,,https:,1852552015,https://ac.topechelon.com/admin/
acc.careers.topechelon.com,,404,,acc.careers.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,acc.careers.topechelon.com,,443,https://acc.careers.topechelon.com,https,istio-envoy,,GET,54.197.104.53,/,/favicon.ico,34.203.100.171,,1,False,,other,0,True,True,,,,
account.production.topechelon.com,,200,13749,account.production.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-02T16:08:26Z,2025-04-02T16:08:25Z,CN=*.production.topechelon.com,*.production.topechelon.com,*.production.topechelon.com,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,d53c85064dd26410fabefd93bef77fad,9f297aabca797a9f9a52cd9791a2adad973d071540406949e789b13b9e7b7be7,ctls,account.production.topechelon.com,,443,https://account.production.topechelon.com,https,,text/html,GET,52.22.169.79,/,/assets/images/favicon.png,54.224.204.92,Typekit,86,False,,nonerror,0,True,,,https://use.typekit.net,1862309075,
account.staging.topechelon.com,,200,13749,account.staging.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-06T13:57:48Z,2025-03-06T13:57:47Z,CN=*.topechelon.com,*.topechelon.com,*.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,4406235d1c64ca524c496dfe7901d6f5,8d49d1abba1ee857779bfc28faed1f02cf31fc2f00c0fdef1352c70e9ef567d3,ctls,account.staging.topechelon.com,,443,https://account.staging.topechelon.com,https,,text/html,GET,52.70.81.253,/,/assets/images/favicon.png,44.198.132.210,Typekit,86,False,,nonerror,0,True,True,,https://*.sandbox.topechelon.com,1862309075,
account.topechelon.com,,200,13749,account.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-07T17:24:09Z,2025-04-07T17:24:08Z,CN=account.topechelon.com,account.topechelon.com,account.topechelon.com,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,2b616394173afb3a9bb9f3fc819651a2,deaa875e7a320f411d968db970915c9e0ac5b1a7b3ef98cb0edd6e218ba6b215,ctls,account.topechelon.com,,443,https://account.topechelon.com,https,,text/html,GET,52.22.169.79,/,/assets/images/favicon.png,3.226.101.150,Typekit,86,False,,nonerror,0,,,,wss://*.pusher.com,1862309075,
accounting.topechelon.com,403 Forbidden,403,118,accounting.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,accounting.topechelon.com,,443,https://accounting.topechelon.com,https,awselb/2.0,text/html,GET,34.203.100.171,/,/favicon.ico,54.197.104.53,Amazon Web Services,7,False,,error,0,True,,,,,
api.production.topechelon.com,,503,,api.production.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-02T16:08:26Z,2025-04-02T16:08:25Z,CN=*.production.topechelon.com,*.production.topechelon.com,*.production.topechelon.com,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,d53c85064dd26410fabefd93bef77fad,9f297aabca797a9f9a52cd9791a2adad973d071540406949e789b13b9e7b7be7,ctls,api.production.topechelon.com,,443,https://api.production.topechelon.com,https,,,GET,54.224.204.92,/,/favicon.ico,52.22.169.79,,1,False,,other,0,True,,,,,
api.staging.topechelon.com,,404,,api.staging.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-06T13:57:48Z,2025-03-06T13:57:47Z,CN=*.topechelon.com,*.topechelon.com,*.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,4406235d1c64ca524c496dfe7901d6f5,8d49d1abba1ee857779bfc28faed1f02cf31fc2f00c0fdef1352c70e9ef567d3,ctls,api.staging.topechelon.com,,443,https://api.staging.topechelon.com,https,,,GET,52.70.81.253,/,/favicon.ico,44.198.132.210,,1,False,,other,0,True,True,,,,
api.topechelon.com,,503,,api.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-07T18:24:02Z,2025-04-07T18:24:01Z,CN=api.topechelon.com,api.topechelon.com,api.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,1801244b6e721e785a85bae7937be3b2,83e5fec84893b0150f04f61c81fa836050b19404075450646f7435cd28849501,ctls,api.topechelon.com,,443,https://api.topechelon.com,https,,,GET,3.226.101.150,/,/favicon.ico,54.224.204.92,,1,False,,other,0,,,,,,
