new,host,a,cname,soa,caa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,ptr,ns
[x],dev-images.bcc.nl,20.60.7.132,"devbccwebbackend.blob.core.windows.net, blob.blz21prdstr15a.store.core.windows.net","ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,True,azure,,,,,,
[x],discounts-acc.bcc.nl,52.166.119.99,"acc-bcc-discounts-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
[x],enterpriseenrollment.bcc.nl,52.236.189.96,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,,,,,,,,
[x],essent-test.bcc.nl,40.118.100.127,"test-bcc-essent-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
[x],npm.bcc.nl,13.69.68.71,"prod-bcc-npm-frontend.azurewebsites.net, waws-prod-am2-037a.sip.azurewebsites.windows.net, waws-prod-am2-037a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
[x],products-test.bcc.nl,40.118.100.127,"test-bcc-products-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
[x],prosandcons-test.bcc.nl,40.118.100.127,"test-bcc-prosandcons-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
[x],prosandcons.bcc.nl,52.233.164.195,"prod-bcc-prosandcons-weu.azurewebsites.net, waws-prod-am2-133.vip.azurewebsites.windows.net, waws-prod-am2-133.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,abiz.bcc.nl,185.78.251.50,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,acc-images.bcc.nl,52.239.143.164,"accbccwebbackend.blob.core.windows.net, blob.ams07prdstr07a.store.core.windows.net","ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,,True,azure,,,,,,
,acc-procurement-invoices.bcc.nl,20.50.2.53,"acc-bcc-pro-inv-fap.azurewebsites.net, waws-prod-am2-437.sip.azurewebsites.windows.net, waws-prod-am2-437-78bd.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,access.techsupport.bcc.nl,"76.76.21.9, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, sectigo.com, globalsign.com",NOERROR,,,,,,,,,
,acciderant.techsupport.bcc.nl,"76.76.21.22, 76.76.21.98",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,account.bcc.nl,20.101.201.207,"www.bcc.nl, app383809.prod.cudawaas.com, waas-prod-app-658bb53316ee966e5424f136c40a2180.trafficmanager.net, waasprod-app-d786c152dd1fd05854f37ff4ddb97a1f.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,,
,addresslocator-acc.bcc.nl,52.166.119.99,"acc-bcc-addresslocator-weu.azurewebsites.net, waws-prod-am2-147.vip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,addresslocator-test.bcc.nl,40.118.100.127,"test-bcc-addresslocator-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,addresslocator.bcc.nl,52.178.114.226,"prod-bcc-addresslocator-weu.azurewebsites.net, waws-prod-am2-061.vip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,admin.techsupport.bcc.nl,"76.76.21.98, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,adminbackupintconfig.techsupport.bcc.nl,"76.76.21.142, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,administrator.techsupport.bcc.nl,,cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net",,NOERROR,,,,,,,,,
,api-int-internal.techsupport.bcc.nl,,cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net",,NOERROR,,,,,,,,,
,app.techsupport.bcc.nl,"76.76.21.22, 76.76.21.98",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,asset.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, sectigo.com, globalsign.com",NOERROR,,,,,,,,,
,assistent.techsupport.bcc.nl,"76.76.21.22, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,atl-stg-esmasdata-02c.techsupport.bcc.nl,"76.76.21.9, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,atlas.techsupport.bcc.nl,"76.76.21.9, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,autodiscover.bcc.nl,"52.98.243.56, 40.99.214.40, 40.99.149.216, 52.98.171.248","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",,NOERROR,"2603:1026:c0d:807::8, 2603:1026:c0d:c31::8, 2603:1026:c0d:c07::8, 2603:1026:c0d:c2d::8",,,,,,,,
,autodiscover.nieuwsbrief.bcc.nl,"52.98.152.248, 40.99.150.56, 52.98.171.232, 52.98.243.24","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",,NOERROR,"2603:1026:c0d:c03::8, 2603:1026:c0d:803::8, 2603:1026:c0d:828::8, 2603:1026:c0d:c29::8",,,,,,,,
,b2b-checkout-frontend-acc.bcc.nl,13.95.150.128,"acc-bcc-b2b-checkout-frontend-weu.azurewebsites.net, waws-prod-am2-109.sip.azurewebsites.windows.net, waws-prod-am2-109.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,b2b-checkout-frontend.bcc.nl,52.178.105.179,"prod-bcc-b2b-checkout-frontend-weu.azurewebsites.net, waws-prod-am2-123.sip.azurewebsites.windows.net, waws-prod-am2-123.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,backend.techsupport.bcc.nl,"76.76.21.93, 76.76.21.22",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,backoffice-acc.bcc.nl,"13.107.237.45, 13.107.238.45","acc-bcc-backoffice.azureedge.net, acc-bcc-backoffice.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",,NOERROR,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",,,,,,,,
,backoffice-test.bcc.nl,"13.107.237.45, 13.107.238.45","test-bcc-backoffice.azureedge.net, test-bcc-backoffice.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",,NOERROR,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",,,,,,,,
,backoffice.bcc.nl,"13.107.213.44, 13.107.246.44","prod-bcc-backoffice.azureedge.net, prod-bcc-backoffice.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, dual.part-0016.t-0009.t-msedge.net, part-0016.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",,NOERROR,"2620:1ec:46::44, 2620:1ec:bdf::44",,,,,,,,
,backup.techsupport.bcc.nl,"76.76.21.241, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,beta.techsupport.bcc.nl,"76.76.21.9, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,bid47nv.techsupport.bcc.nl,"76.76.21.61, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,blog.bcc.nl,20.101.201.207,"www.bcc.nl, app383809.prod.cudawaas.com, waas-prod-app-658bb53316ee966e5424f136c40a2180.trafficmanager.net, waasprod-app-d786c152dd1fd05854f37ff4ddb97a1f.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,,
,bolplaza-acc.bcc.nl,52.178.114.226,"acc-bcc-bolplaza-weu.azurewebsites.net, waws-prod-am2-061.vip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,bolplaza.bcc.nl,40.68.205.178,"prod-bcc-bolplaza-weu.azurewebsites.net, waws-prod-am2-117.vip.azurewebsites.windows.net, waws-prod-am2-117.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,booking.techsupport.bcc.nl,"76.76.21.22, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,builds.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,ca.bcc.nl,185.78.251.43,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,cadeaukaart.bcc.nl,,tradewebshop.intersolve.nl,"ns.eatserver.nl, root.eatserver.nl",,NOERROR,,,,,,,,,
,careers.techsupport.bcc.nl,"76.76.21.123, 76.76.21.164",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,cdn.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, sectigo.com, globalsign.com",NOERROR,,,,,,,,,
,checkout-b2b-test.bcc.nl,104.47.164.119,"test-bcc-b2b-checkout-weu.azurewebsites.net, waws-prod-am2-131.vip.azurewebsites.windows.net, waws-prod-am2-131.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,checkout-frontend-acc.bcc.nl,40.68.214.185,"acc-bcc-checkout-frontend-weu.azurewebsites.net, waws-prod-am2-067.vip.azurewebsites.windows.net, waws-prod-am2-067.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,checkout-frontend-test.bcc.nl,52.233.155.168,"test-bcc-checkout-frontend-weu.azurewebsites.net, waws-prod-am2-113.vip.azurewebsites.windows.net, waws-prod-am2-113.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,checkout-frontend.bcc.nl,52.174.181.178,"prod-bcc-checkout-frontend-weu.azurewebsites.net, waws-prod-am2-111.vip.azurewebsites.windows.net, waws-prod-am2-111.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,checkout.bcc.nl,20.101.201.207,"www.bcc.nl, app383809.prod.cudawaas.com, waas-prod-app-658bb53316ee966e5424f136c40a2180.trafficmanager.net, waasprod-app-d786c152dd1fd05854f37ff4ddb97a1f.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,,
,checkout2-staging.bcc.nl,52.174.181.178,"prod-bcc-checkout-weu-staging.azurewebsites.net, waws-prod-am2-111.vip.azurewebsites.windows.net, waws-prod-am2-111.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,checkout2-test.bcc.nl,52.233.155.168,"test-bcc-checkout-weu.azurewebsites.net, waws-prod-am2-113.vip.azurewebsites.windows.net, waws-prod-am2-113.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,checkout2.bcc.nl,20.101.202.144,"app775060.prod.cudawaas.com, waas-prod-app-c11e458719d5feddf077df64954d902a.trafficmanager.net, waasprod-app-ac6b39ef372df5f683937dce1d3eac1d.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,,
,client.techsupport.bcc.nl,"76.76.21.93, 76.76.21.164",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, globalsign.com, letsencrypt.org",NOERROR,,,,,,,,,
,cms1.techsupport.bcc.nl,"76.76.21.123, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,code.techsupport.bcc.nl,"76.76.21.93, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,compute.techsupport.bcc.nl,"76.76.21.142, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,core.techsupport.bcc.nl,"76.76.21.123, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,corp.techsupport.bcc.nl,"76.76.21.241, 76.76.21.164",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,customers-test.bcc.nl,40.118.100.127,"test-bcc-customers-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,customers.bcc.nl,52.178.114.226,"prod-bcc-customers-weu.azurewebsites.net, waws-prod-am2-061.vip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,dashboard.techsupport.bcc.nl,"76.76.21.241, 76.76.21.22",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,db.techsupport.bcc.nl,"76.76.21.61, 76.76.21.98",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,dcgm.bcc.nl,52.178.114.226,"prod-bcc-dcgm.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,delivery-acc.bcc.nl,52.166.119.99,"acc-bcc-delivery-weu.azurewebsites.net, waws-prod-am2-147.vip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,delivery-test.bcc.nl,40.118.100.127,"test-bcc-delivery-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,delivery.bcc.nl,52.178.114.226,"prod-bcc-delivery-weu.azurewebsites.net, waws-prod-am2-061.vip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,dev.techsupport.bcc.nl,"76.76.21.123, 76.76.21.164",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
