input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,final_url
archive.mariadb.org,MariaDB Archives,200,139379,archive.mariadb.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-01T01:14:26Z,2023-09-29T01:14:25Z,CN=archive.mariadb.org,archive.mariadb.org,archive.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d287a0b1337932431402d164e02b091b,c26bf4e58516d0380762df93affe3544ecfe49aecd4ed12196784652250f1d7e,ctls,archive.mariadb.org,443,https://archive.mariadb.org:443,https,nginx,text/html,GET,138.201.152.105,/,-1298654501,2a01:4f8:c17:cad6::1,Nginx,839,False,,
bugs.mariadb.org,Log in - Jira,200,36189,jira.mariadb.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-20T23:20:37Z,2023-10-18T23:20:36Z,CN=jira.mariadb.org,jira.mariadb.org,jira.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,27fc496170754e05632299940bf379ce,be43a28b93388ab8eb440277bd10ab35580785ba57d9607a750b371516bcf4f1,ctls,jira.mariadb.org,443,https://bugs.mariadb.org:443,https,nginx,text/html,GET,149.202.78.157,/,855273746,149.202.78.157,Nginx,637,False,,https://jira.mariadb.org/login.jsp?permissionViolation=true&os_destination=https%3A%2F%2Fjira.mariadb.org%2Fplugins%2Fservlet%2Fmobile%23myjirahome&page_caps=&user_role=USER
buildbot.dev.mariadb.org,Buildbot,200,16311,buildbot.dev.mariadb.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T17:53:20Z,2023-09-26T17:53:19Z,CN=buildbot.dev.mariadb.org,buildbot.dev.mariadb.org,ci.dev.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8f7746abb66d82951ab5d4c6c993f44b,375dc2110752c2eaa0c9f87188bfb7792818ef917717d888a6ef64ede0624bcf,ctls,buildbot.dev.mariadb.org,443,https://buildbot.dev.mariadb.org:443,https,,text/html,GET,78.47.143.59,/,612181836,2a01:4f8:c17:905a::1,HSTS,1,False,,
buildbot.mariadb.org,Buildbot,200,16439,buildbot.mariadb.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-04T22:56:07Z,2023-09-02T22:56:06Z,CN=buildbot.mariadb.org,buildbot.mariadb.org,buildbot.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,01ef9b7d320bd79e6923295691b17342,f3957c4045a1ac9622d8c1d1d7e7dcfafcd64639f7f82b187e57a71f101cb80f,ctls,buildbot.mariadb.org,443,https://buildbot.mariadb.org:443,https,nginx,text/html,GET,135.181.143.118,/,612181836,2a01:4f9:3a:1749::2,Nginx,1,False,,
ci.dev.mariadb.org,,503,108,ci.dev.mariadb.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T17:53:20Z,2023-09-26T17:53:19Z,CN=buildbot.dev.mariadb.org,buildbot.dev.mariadb.org,ci.dev.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8f7746abb66d82951ab5d4c6c993f44b,375dc2110752c2eaa0c9f87188bfb7792818ef917717d888a6ef64ede0624bcf,ctls,ci.dev.mariadb.org,443,https://ci.dev.mariadb.org:443,https,,text/html,GET,78.47.143.59,/,1960059964,2a01:4f8:c17:905a::1,,5,False,,
ci.mariadb.org,Index of /,200,163638,ci.mariadb.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-20T14:36:19Z,2023-09-18T14:36:18Z,CN=ci.mariadb.org,ci.mariadb.org,ci.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1898c958e1dea789488e473140d97a7e,5fa6efe46a53d08f14c5384cb93cacd1b1b5bdcbfee546f1e67712780abfbf72,ctls,ci.mariadb.org,443,https://ci.mariadb.org:443,https,nginx,text/html,GET,135.181.143.118,/,1494302000,2a01:4f9:3a:1749::2,Nginx,1480,False,,
deb.mariadb.org,Index of /repo/,200,2818,mirror.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T18:20:07Z,2023-10-01T18:20:06Z,CN=mirror.mariadb.org,mirror.mariadb.org,yum.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b6ee44ef7136a5af7e88cfcd782d1f86,30f7da8ac485da3655a33523b475af2f480fe3ba487f113ce6afae4b58642b76,ctls,mirror.mariadb.org,443,https://deb.mariadb.org:443,https,nginx,text/html,GET,162.55.42.214,/,-1840324437,2a01:4f8:1c17:e53d::1,Nginx,31,False,,https://mirror.mariadb.org/repo/
downloads.mariadb.org,Download MariaDB Server - MariaDB.org,200,74449,mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T10:40:44Z,2023-10-02T10:40:43Z,CN=mariadb.org,mariadb.org,www.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6f01bf0da94de7b9d61d692a96d4552d,fb1e09012f11d263616eab8d1bdee930b44f3e9e36e86d13dddff4f6aa3580a6,ctls,mariadb.org,443,https://downloads.mariadb.org:443,https,nginx,text/html,GET,116.203.207.31,/,-1774080236,2a01:4f8:c2c:b04e::1,Yoast SEO:20.11,705,False,,https://mariadb.org/download/
feedback.mariadb.org,Not Found,404,179,feedback.mariadb.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-18T13:35:56Z,2023-10-16T13:35:55Z,CN=feedback.mariadb.org,feedback.mariadb.org,feedback.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8245d10934fcad7007eee2235327cc8a,ba2f207a3312eec17980b300f773955c1e62dd6f3a05c31c1bc698ae39eb9c90,ctls,feedback.mariadb.org,443,https://feedback.mariadb.org:443,https,nginx,text/html,GET,162.55.37.199,/,-909858089,2a01:4f8:c012:829e::1,Nginx,11,False,,
fi.mariadb.org,Login required - MariaDB Foundation Internal Wiki,200,10809,fi.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T01:22:04Z,2023-09-28T01:22:03Z,CN=fi.mariadb.org,fi.mariadb.org,fi.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8aa1b552b6c3573311038a5bdfbd8750,016e27216406fb79dbfde07d6fc0ecf6e05859e47d433b9b4ae5df41e1180e89,ctls,fi.mariadb.org,443,https://fi.mariadb.org:443,https,nginx,text/html,GET,162.55.215.225,/,737862725,2a01:4f8:1c1c:af98::1,PHP,197,False,,
ftp.mariadb.org,Index of /,200,6046,ftp.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T20:15:49Z,2023-08-24T20:15:48Z,CN=mirror.fi.mariadb.org,mirror.fi.mariadb.org,mirror.fi.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ef2e56cc02238ccfd7fa01ec2ef52d0c,23569692aaee637eed367583cc33befed673f5bb5de528a9a360e8a405a419c0,ctls,ftp.mariadb.org,443,https://ftp.mariadb.org:443,https,nginx,text/html,GET,194.136.193.147,/,1494302000,194.136.193.147,Nginx,55,False,True,
grafana.mariadb.org,Grafana,200,33270,grafana.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T08:07:27Z,2023-10-06T08:07:26Z,CN=monitoring.mariadb.org,monitoring.mariadb.org,zabbix.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6fd2537e8f72dd175d0eccae23ba9c0,3ca6701809f075c8551f30132b8ddc0a94e10357191d91afb0d3748ca05082c2,ctls,grafana.mariadb.org,443,https://grafana.mariadb.org:443,https,,text/html,GET,195.201.151.221,/,1955998898,2a01:4f8:1c1c:cf6e::1,HSTS,212,False,,https://grafana.mariadb.org/login
kb.mariadb.org,401 Authorization Required,401,179,kb.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T12:34:26Z,2023-09-26T12:34:25Z,CN=kb.mariadb.org,kb.mariadb.org,kb.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1bfcd9bd51edadda5fb47edd0ea7c918,604fa15175e7a0b4ec4f7ca9eda982fb1173399a448ebb1916d0bb95ed3ffb72,ctls,kb.mariadb.org,443,https://kb.mariadb.org:443,https,nginx/1.22.1,text/html,GET,49.13.13.137,/,-771495362,2a01:4f8:c012:b6a8::1,Nginx:1.22.1,8,False,,
lists.mariadb.org,List Index - lists.mariadb.org,200,7938,lists.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-27T15:02:35Z,2023-08-25T15:02:34Z,CN=lists.mariadb.org,lists.mariadb.org,lists.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,826f7b1ea2b7494f72907c4bf83aa42a,e7bc6e43a4a5895cc2fc08f1b46e916fc9959922d6e7defc850c003cbcbef915,ctls,lists.mariadb.org,443,https://lists.mariadb.org:443,https,nginx,text/html,GET,95.217.221.131,/,44601205,2a01:4f9:c012:f7d8::1,Nginx,231,False,,https://lists.mariadb.org/postorius/lists/
mariadb.org,MariaDB Foundation - MariaDB.org,200,101979,mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T10:40:44Z,2023-10-02T10:40:43Z,CN=mariadb.org,mariadb.org,www.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6f01bf0da94de7b9d61d692a96d4552d,fb1e09012f11d263616eab8d1bdee930b44f3e9e36e86d13dddff4f6aa3580a6,ctls,mariadb.org,443,https://mariadb.org:443,https,nginx,text/html,GET,157.90.247.81,/,715728591,2a01:4f8:c012:39f8::1,YouTube,864,False,,
