input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_issuer_org_,webserver,tech_,csp_domains_,tls_wildcard_certificate,final_url,tls_subject_org_
969-5-6.teleport.parity.io,,200,698,teleport.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-14T10:33:07Z,2023-09-12T10:33:06Z,CN=teleport.parity.io,teleport.parity.io,teleport.parity.io,"CN=R3, O=Let's Encrypt, C=US",R3,c4a56b2c4d892c53074e4d39cac062b9,cd266157e26ac646b1c57dd981e136cb8bd4f9257ff2c7f3d9fa442ba7b285bc,ctls,teleport.parity.io,google,443,https://969-5-6.teleport.parity.io:443,https,text/html,GET,34.89.177.64,/,499482684,34.89.177.64,1,False,True,Let's Encrypt,,HSTS,https://969-5-6.teleport.parity.io:*,True,https://teleport.parity.io:443/web/launch/969-5-6.teleport.parity.io?path=%2F,
affected.parity.io,Am I affected? - Parity MultiSig Freeze,200,578,affected.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-07-07T09:54:48Z,2023-10-05T09:54:47Z,CN=parity.io,parity.io,parity.io,"CN=E1, O=Let's Encrypt, C=US",E1,833f839089495b7cb3c9bd5ff132f363,e1eed9b3146f1b9be192c32172b3c1426a0000311c8c169a3abb710cfc07e4dc,ctls,affected.parity.io,cloudflare,443,https://affected.parity.io:443,https,text/html,GET,104.21.62.151,/,-896755422,2606:4700:3036::ac43:88b7,1,False,True,Let's Encrypt,cloudflare,Varnish,,True,,
alertmanager.teleport.parity.io,,200,698,teleport.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-14T10:33:07Z,2023-09-12T10:33:06Z,CN=teleport.parity.io,teleport.parity.io,teleport.parity.io,"CN=R3, O=Let's Encrypt, C=US",R3,c4a56b2c4d892c53074e4d39cac062b9,cd266157e26ac646b1c57dd981e136cb8bd4f9257ff2c7f3d9fa442ba7b285bc,ctls,teleport.parity.io,google,443,https://alertmanager.teleport.parity.io:443,https,text/html,GET,34.89.177.64,/,-2062846002,34.89.177.64,1,False,True,Let's Encrypt,,HSTS,https://alertmanager.teleport.parity.io:*,True,https://teleport.parity.io:443/web/launch/alertmanager.teleport.parity.io?path=%2F,
api-sa.parity.io,Simple Analytics,200,2517,api-sa.parity.io,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,True,2023-07-02T03:50:32Z,2023-09-30T03:50:31Z,CN=external.simpleanalytics.com,external.simpleanalytics.com,external.simpleanalytics.com,"CN=R3, O=Let's Encrypt, C=US",R3,7cf307912881c9ac155414e1a9e6e34e,0239e1ae1c0f05c7242dcf3226cdcb826d5e04c113ce8612b283e7628992e5dd,ctls,api-sa.parity.io,,443,https://api-sa.parity.io:443,https,text/html,GET,178.162.136.155,/,-1371466654,178.162.136.155,105,False,,Let's Encrypt,nginx,Nginx,,,,
api.hq.parity.io,,404,19,api.hq.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-07-28T15:44:30Z,2024-07-27T15:44:30Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,4fb3ac105c53c708d5595a75f588e580.f00fd8242f1db9d0b84b021c18c93319.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,c0e4c602b9593c29bfb22d1e98e3a797,736aad0ffeb8651fccbbfc829201cf8fb91f8f4568e52cd4ff65b1c9a7a7a0cf,ctls,api.hq.parity.io,google,443,https://api.hq.parity.io:443,https,text/plain,GET,35.242.240.5,/,-138391155,35.242.240.5,2,False,True,,,,,,,
api.multisig-commander.parity-stg.parity.io,,404,22,api.multisig-commander.parity-stg.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-07-10T05:34:14Z,2023-10-08T05:34:13Z,CN=api.multisig-commander.parity-stg.parity.io,api.multisig-commander.parity-stg.parity.io,api.multisig-commander.parity-stg.parity.io,"CN=R3, O=Let's Encrypt, C=US",R3,b0548c1078bf2c2c75ab33ffdb9e7e1a,87b806e772ef0b18b2bbdc5ba93a6775e45b23c5203a3b376477b4ea6668b260,ctls,api.multisig-commander.parity-stg.parity.io,google,443,https://api.multisig-commander.parity-stg.parity.io:443,https,application/json,GET,35.242.237.158,/,2125685474,35.242.237.158,1,False,True,Let's Encrypt,uvicorn,Uvicorn,,,,
apisa.parity.io,Simple Analytics,200,2522,apisa.parity.io,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,,2023-07-05T20:52:44Z,2023-10-03T20:52:43Z,CN=apisa.parity.io,apisa.parity.io,apisa.parity.io,"CN=R3, O=Let's Encrypt, C=US",R3,3b7a87009d6e1e6f6eeb48c1f9e64d04,e9766a53e65622aa04f66dfe442fe1eb3f95adab4dbca571852091d754d87466,ctls,apisa.parity.io,,443,https://apisa.parity.io:443,https,text/html,GET,178.162.136.155,/,-1371466654,178.162.136.155,105,False,,Let's Encrypt,nginx,Nginx,,,,
atl-prd-esmasdata-01b.teleport.parity.io,,200,698,teleport.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-14T10:33:07Z,2023-09-12T10:33:06Z,CN=teleport.parity.io,teleport.parity.io,teleport.parity.io,"CN=R3, O=Let's Encrypt, C=US",R3,c4a56b2c4d892c53074e4d39cac062b9,cd266157e26ac646b1c57dd981e136cb8bd4f9257ff2c7f3d9fa442ba7b285bc,ctls,teleport.parity.io,google,443,https://atl-prd-esmasdata-01b.teleport.parity.io:443,https,text/html,GET,34.89.177.64,/,-136470523,34.89.177.64,1,False,True,Let's Encrypt,,HSTS,https://atl-prd-esmasdata-01b.teleport.parity.io:*,True,https://teleport.parity.io:443/web/launch/atl-prd-esmasdata-01b.teleport.parity.io?path=%2F,
bid473o.teleport.parity.io,,200,698,teleport.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-14T10:33:07Z,2023-09-12T10:33:06Z,CN=teleport.parity.io,teleport.parity.io,teleport.parity.io,"CN=R3, O=Let's Encrypt, C=US",R3,c4a56b2c4d892c53074e4d39cac062b9,cd266157e26ac646b1c57dd981e136cb8bd4f9257ff2c7f3d9fa442ba7b285bc,ctls,teleport.parity.io,google,443,https://bid473o.teleport.parity.io:443,https,text/html,GET,34.89.177.64,/,1117828129,34.89.177.64,1,False,True,Let's Encrypt,,HSTS,https://bid473o.teleport.parity.io:*,True,https://teleport.parity.io:443/web/launch/bid473o.teleport.parity.io?path=%2F,
bl1-cppm-01.teleport.parity.io,,200,698,teleport.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-14T10:33:07Z,2023-09-12T10:33:06Z,CN=teleport.parity.io,teleport.parity.io,teleport.parity.io,"CN=R3, O=Let's Encrypt, C=US",R3,c4a56b2c4d892c53074e4d39cac062b9,cd266157e26ac646b1c57dd981e136cb8bd4f9257ff2c7f3d9fa442ba7b285bc,ctls,teleport.parity.io,google,443,https://bl1-cppm-01.teleport.parity.io:443,https,text/html,GET,34.89.177.64,/,1499975785,34.89.177.64,1,False,True,Let's Encrypt,,HSTS,https://bl1-cppm-01.teleport.parity.io:*,True,https://teleport.parity.io:443/web/launch/bl1-cppm-01.teleport.parity.io?path=%2F,
blog.parity.io,Blockchain Infrastructure for the Decentralised Web | Parity Technologies,200,88617,www.parity.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-07-07T09:54:48Z,2023-10-05T09:54:47Z,CN=parity.io,parity.io,parity.io,"CN=E1, O=Let's Encrypt, C=US",E1,833f839089495b7cb3c9bd5ff132f363,e1eed9b3146f1b9be192c32172b3c1426a0000311c8c169a3abb710cfc07e4dc,ctls,www.parity.io,cloudflare,443,https://blog.parity.io:443,https,text/html,GET,104.21.62.151,/,-2083029335,2606:4700:3036::ac43:88b7,38,False,True,Let's Encrypt,cloudflare,webpack,https://wwww.parity.io,True,https://www.parity.io/blog/,
