input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,tls_self_signed
*.churnzero.net,Customer Success Software - ChurnZero,200,248388,,churnzero.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-28T19:54:05Z,2023-08-26T19:54:04Z,CN=tls.automattic.com,tls.automattic.com,www.wedgwoodwildernesslodge.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3ac2528c818e9788305b19130471afa9,1420a960af0bbe9d4548101f3bf9f8c12beedae18d1fc771b56a74a74cea2c53,,ctls,churnzero.com,,443,https://churnzero.net:443,https,nginx,text/html,GET,54.83.12.56,/,-1840324437,https://churnzero.com:443/,34.234.173.51,WordPress,226,False,,,,
*.eu.ziftmarcom.com,Zift Marcom,200,6015,*.ziftsolutions.com,eu.ziftmarcom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-26T00:00:00Z,2024-03-26T23:59:59Z,CN=*.eu.ziftmarcom.com,*.eu.ziftmarcom.com,eu.ziftmarcom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,99539591bf9f9f6c5222128edb22e533,1e49e0758fae1c9602c15b72fdfaa54901da0193438d6100048f79f284ed496f,True,ctls,eu.ziftmarcom.com,cloudfront,443,https://eu.ziftmarcom.com:443,https,Application Server,text/html,GET,65.9.86.38,/,-1783679555,https://eu.ziftmarcom.com/signin.html;jsessionid=D1C1C175CE9B934B86CBC1FCEA60BBFA,65.9.86.18,Spring,160,False,True,,,
*.getbee.com,Getbee · Live Video Software for Conversational Sales,200,39134,,www.getbee.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-11T20:15:26Z,2023-09-09T20:15:25Z,CN=www.getbee.com,www.getbee.com,www.getbee.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,57029d2b7ff38085834f9d81f60353be,eda654c4b0fc1af3146c895397cd7b6e7d5109fa1d3b42b8ce6460278bc98762,,ctls,www.getbee.com,,443,https://getbee.com:443,https,,text/html,GET,75.2.70.75,/,-1587859981,https://www.getbee.com/,99.83.190.102,Webflow,143,False,,,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118545,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.186.68,/,302920777,https://marketingplatform.google.com/about/analytics/,2a00:1450:4001:828::2004,HTTP/3,1833,False,,,,
*.google.com,Google,200,233490,https:,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:22:10Z,2023-08-21T08:22:09Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f2bd4ee4f253f14a043bfb763b9bb802,eb5a312bc993b8f3d4a0157d94b96de55cd045397026970d42984b9ae6930ac6,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,142.250.184.206,/,708578229,https://www.google.com/,2a00:1450:4001:810::200e,HTTP/3,152,False,,,,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:01Z,2023-08-21T08:21:00Z,CN=*.googleapis.com,*.googleapis.com,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,49d4c6d4fb2cb1d02d51fdd782995a83,a4eb7ecee489dd673361bd6a6a360cadf99aaa5cfe89dd9d1e6e570af7611442,True,ctls,googleapis.com,,443,https://googleapis.com:443,https,,text/html,GET,142.250.184.228,/,302920777,,2a00:1450:4001:830::2004,HTTP/3,12,False,,,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:16Z,2023-08-21T08:16:15Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e20166dfb9b49e85fa7472762d5f249f,42f0db40ff6122a0b837526586d132cf7bceafb0f608de6f54f132949d87ed0e,True,ctls,googletagmanager.com,,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.184.200,/,302920777,,2a00:1450:4001:80e::2008,HTTP/3,12,False,,,,
*.lenovo.com,"Offizielle Lenovo DE Website | Notebooks, Tablets, PCs, Rechenzentren, Phones | Lenovo Deutschland",200,186373,https:,www.lenovo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-07T23:59:59Z,"CN=*.lenovo.com, O=Lenovo Technology Sdn. Bhd., L=Petaling Jaya, ST=Selangor, C=MY",*.lenovo.com,lenovo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ade4e8bfa3932435c8cf54db6b9eefab,42ebc18b80e311886feec367b7c583a260d3cc88c01a586f3d15af960c2a45e9,True,ctls,www.lenovo.com,,443,https://lenovo.com:443,https,openresty,text/html,GET,104.120.218.238,/,-143470753,https://www.lenovo.com/de/de/,104.120.218.238,OpenResty,1842,False,,Lenovo Technology Sdn. Bhd.,,
*.looker.com,Looker business intelligence platform embedded analytics  |  Google Cloud,200,771373,https://csp.withgoogle.com/csp/devsite/v2,cloud.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,True,ctls,cloud.google.com,,443,https://looker.com:443,https,Google Frontend,text/html,GET,216.239.32.27,/,220889212,https://cloud.google.com/looker/,2001:4860:4802:32::1b,HTTP/3,29668,False,,,,
*.onserro.com,Community-powered business applications for the enterprise,200,34736,,www.onserro.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-24T15:14:13Z,2023-07-23T15:14:12Z,CN=www.onserro.com,www.onserro.com,www.onserro.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,45234bce8a20747e1aaf031e49e1660b,746798f4f2a98d232beb04cc330274dbbed3fa7aac746d6ae431f2a058f4698c,,ctls,www.onserro.com,,443,https://onserro.com:443,https,,text/html,GET,75.2.70.75,/,-1961926532,https://www.onserro.com/,99.83.190.102,Webflow,1,False,,,,
*.pendo.io,Redirect to www,200,286,,pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T03:44:53Z,2023-09-10T04:38:47Z,CN=pendo.io,pendo.io,pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,2964d7eb221478479db15f3e6fc8a4f0,545bd675c4d01c8cc897c78864f66bfa937a03ba7a723ddb22e08e56022c847f,,ctls,pendo.io,google,443,https://pendo.io:443,https,UploadServer,text/html,GET,35.241.48.4,/,2074263624,,35.241.48.4,HTTP/3,14,False,True,,,
*.staging.ziftone.com,Page Redirection,200,3615,https://*.lookbookhq.com,staging.ziftone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-28T23:59:59Z,CN=ziftone.com,ziftone.com,*.ziftone.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,40cd6e003f583ccf93cbb95e971b2fb2,9f101ce006143b1bee126a38ce9bd4f65fbd29212956cce18888c1d47fce0820,True,ctls,staging.ziftone.com,cloudfront,443,https://staging.ziftone.com:443,https,AmazonS3,text/html,GET,13.32.99.75,/,-978130657,,2600:9000:2251:ee00:1a:a063:3580:93a1,HSTS,123,False,True,,,
*.wistia.com,Wistia - Video Hosting and Marketing Tools for Business,200,193796,,wistia.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-28T00:42:14Z,2023-10-30T00:42:13Z,CN=wistia.com,wistia.com,wistia.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,7e709b9251066ff17ef77bcbbb1f390a,ee66f17193d6286507aef3bd0ba22b7fe310c17cf1d3deb02bcf1f40e92ce713,,ctls,wistia.com,fastly,443,https://wistia.com:443,https,envoy,text/html,GET,151.101.65.91,/,-1162136635,,151.101.193.91,Varnish,781,False,True,,,
*.zendesk.com,Zendesk | CRM-Software für den Kundenservice und den Vertrieb,200,368790,*.zendesk.fr,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,True,ctls,www.zendesk.de,,443,https://zendesk.com:443,https,cloudflare,text/html,GET,216.198.1.60,/,-1813529437,https://www.zendesk.de/#georedirect,216.198.1.62,webpack,1011,False,,"Cloudflare, Inc.",,
*.ziftmarcom.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,,cloudfront,80,http://ziftmarcom.com:80,http,CloudFront,text/html,GET,18.66.147.83,/,1884882486,,18.66.147.129,Amazon Web Services,20,False,True,,,
*.ziftone.com,Page Redirection,200,3615,*.googletagmanager.com,ziftone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-28T23:59:59Z,CN=ziftone.com,ziftone.com,*.ziftone.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,40cd6e003f583ccf93cbb95e971b2fb2,9f101ce006143b1bee126a38ce9bd4f65fbd29212956cce18888c1d47fce0820,True,ctls,ziftone.com,cloudfront,443,https://ziftone.com:443,https,AmazonS3,text/html,GET,13.32.99.57,/,833998107,,13.32.99.17,HSTS,123,False,True,,,
*.ziftsolutions.com,All-in-ONE Channel Management Solution - Zift Solutions,200,152050,ws.zoominfo.com,ziftsolutions.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-31T00:00:00Z,2024-06-27T23:59:59Z,CN=ziftsolutions.com,ziftsolutions.com,*.ziftsolutions.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,09669e8f4ba64e1c74a246cff1ac8262,5f6ec747738d88161a3200caca282a58603db4015c9042598ca9faaed5082bce,True,ctls,ziftsolutions.com,,443,https://ziftsolutions.com:443,https,Apache,text/html,GET,52.86.100.204,/,1061412163,,174.129.125.83,Yoast SEO:19.11,913,False,,,,
*.zopim.com,Top 13 Live-Chat-Softwares und -Apps 2023,200,116684,*.zendesk.es,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,True,ctls,www.zendesk.de,cloudflare,443,https://zopim.com:443,https,cloudflare,text/html,GET,104.16.104.139,/,1979024367,https://www.zendesk.de/service/messaging/live-chat/?from=zp,104.16.107.139,Cloudflare Bot Management,1550,False,True,"Cloudflare, Inc.",,
bdr.signalsciences.com,404 Not Found,404,146,,bdr.signalsciences.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-13T13:55:17Z,2024-06-12T13:55:17Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,cc93296e77d2215b613b8b175ca6c319,e6e98c7d8566b81a14187ac563b730d2a5220db545bdd2af6c5e270a9c706d7f,,ctls,bdr.signalsciences.com,,443,https://bdr.signalsciences.com:443,https,,text/html,GET,54.148.96.216,/,1494302000,,35.82.97.247,HSTS,8,False,,Acme Co,True,True
