new,host,soa,status_code,a,cname,ns,txt,caa,cdn,cdn-name,aaaa,mx
[x],bizphonetest.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.168,,,,,,,,
[x],bvextftp2.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ftp.getwindstream.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,34.197.164.62,getwindstream.com,"adelaide.ns.cloudflare.com, viddy.ns.cloudflare.com","v=spf1 include:_spf.google.com -all, google-site-verification=KI9A4ox5X5zG56_nLTQKnG5e277Z2PqU6kPo-MseERM",,,,,"aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com"
[x],pop.getwindstream.com,"ans01.domaincontrol.com, dns.jomax.net",NOERROR,"68.178.252.116, 68.178.252.154, 68.178.252.246, 68.178.252.247, 68.178.252.117, 173.201.193.97, 68.178.252.153, 173.201.193.240","pop.secureserver.net, pop.vox.secureserver.net, pop.us-phx.vox.secureserver.net",,,,,,,
[x],vpn.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,146.145.49.164,,,,,,,,
,adfs.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.61,,,,,,,,
,autodiscover.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.7,,,,,,,,
,b.orderwindstream.com,"alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,cloudflare,,
,bizphone.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.168,,,,,,,,
,brightmail.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.27,,,,,,,,
