input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,tls_expired,final_url
b.orderwindstream.com,,403,16,b.orderwindstream.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-31T00:00:00Z,2023-08-30T23:59:59Z,"CN=orderwindstream.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",orderwindstream.com,"Cloudflare, Inc.",orderwindstream.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",42995866daecb1b32a39484e84ee6133,7c22cf259643f178bbad3308ee95fa9aca8e92b1625f9600e372693d705dd260,True,ctls,b.orderwindstream.com,cloudflare,443,https://b.orderwindstream.com:443,https,cloudflare,text/plain,GET,104.18.33.244,/,1253481126,2606:4700:4400::6812:21f4,Cloudflare,1,False,True,,,,
cart.orderwindstream.com,,403,16,cart.orderwindstream.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-31T00:00:00Z,2023-08-30T23:59:59Z,"CN=orderwindstream.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",orderwindstream.com,"Cloudflare, Inc.",orderwindstream.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",42995866daecb1b32a39484e84ee6133,7c22cf259643f178bbad3308ee95fa9aca8e92b1625f9600e372693d705dd260,True,ctls,cart.orderwindstream.com,cloudflare,443,https://cart.orderwindstream.com:443,https,cloudflare,text/plain,GET,104.18.33.244,/,1253481126,2606:4700:4400::6812:21f4,Cloudflare,1,False,True,,,,
cart.windstreamoffers.com,403 Forbidden,403,118,cart.windstreamoffers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T01:39:09Z,2023-08-10T01:39:08Z,CN=windstreamoffers.com,windstreamoffers.com,,*.windstreamoffers.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,ea4b4dfe1020dbc37561584f7d0b1c31,67f62d069413a5a36a600e11726f5768354ddb5f19b693d76d58cd1776fc8db5,True,ctls,cart.windstreamoffers.com,cloudflare,443,https://cart.windstreamoffers.com:443,https,cloudflare,text/html,GET,172.67.195.85,/,1344368402,2606:4700:3031::ac43:c355,HTTP/3,7,False,True,,,,
cartdemo.windstreamoffers.com,403 Forbidden,403,146,cartdemo.windstreamoffers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T01:39:09Z,2023-08-10T01:39:08Z,CN=windstreamoffers.com,windstreamoffers.com,,*.windstreamoffers.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,ea4b4dfe1020dbc37561584f7d0b1c31,67f62d069413a5a36a600e11726f5768354ddb5f19b693d76d58cd1776fc8db5,True,ctls,cartdemo.windstreamoffers.com,cloudflare,443,https://cartdemo.windstreamoffers.com:443,https,cloudflare,text/html,GET,104.21.68.120,/,97040601,2606:4700:3032::6815:4478,HTTP/3,8,False,True,,,,
easy.broadviewnet.com,,404,47,easy.broadviewnet.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,CN=try.unbounce.com,try.unbounce.com,,wp.unbounce.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ce5ef3cc97d4562e7d4d6420168b43d3,40142d04387df684b593c86f7261fa6f0de1ad456eeb25d6e2c7d778e6dbfb71,,ctls,easy.broadviewnet.com,,443,https://easy.broadviewnet.com:443,https,,text/plain,GET,3.126.202.50,/,-1335621053,3.69.136.55,,1,False,,True,,,
email.getwindstream.com,Sign In,200,212037,sso.secureserver.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-04T01:30:11Z,2023-11-05T01:30:11Z,"CN=*.secureserver.net, O=Special Domain Services\, LLC, L=Tempe, ST=Arizona, C=US",*.secureserver.net,"Special Domain Services, LLC",secureserver.net,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",75a208eec6aede64ae63b10a7697d857,2633df2f68a7928c16a85e52956a6055d0e6b36d9c33effef3c42234a2fdaa87,True,ctls,sso.secureserver.net,,443,https://email.getwindstream.com:443,https,,text/html,GET,45.40.140.6,/,466019062,173.201.193.133,React,98,False,,,,,https://sso.secureserver.net/login?app=email&realm=pass
ftp.getwindstream.com,ADT Monitored Home Security | Wireless Security & Alarm Systems,200,69757,www.choosehomesecurity.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-10-21T23:59:59Z,CN=choosehomesecurity.com,choosehomesecurity.com,,*.choosehomesecurity.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,64e5a1714690287045605f2bbd9d9f5a,d537bfe1e8eef18be724a9f1ecd6299111b6c2fc2312ead5df072fa05fbfc7ce,True,ctls,www.choosehomesecurity.com,,443,https://ftp.getwindstream.com:443,https,Apache/2.4.18 (Ubuntu),text/html,GET,34.197.164.62,/,1331519748,34.197.164.62,Ubuntu,1876,False,,,,,https://www.choosehomesecurity.com
http://apps.bdimg.com,,200,121,apps.bdimg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,apps.bdimg.com,,443,https://apps.bdimg.com:443,https,JSP3/2.0.14,text/html,GET,123.184.220.49,/,-1043789966,124.238.241.49,,3,False,,True,,,
http://cdn.mplxtms.com,403 Forbidden,403,202,cdn.mplxtms.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,True,ctls,cdn.mplxtms.com,,443,https://cdn.mplxtms.com:443,https,Apache,text/html,GET,23.213.161.15,/,-366337701,23.213.161.23,HTTP/3,9,False,,True,,,
http://cdn.pardot.com,Sign In,200,12854,pi.pardot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-13T00:00:00Z,2023-09-12T23:59:59Z,"CN=pi.pardot.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",pi.pardot.com,"salesforce.com, inc.",pi-ue1.pardot.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c7ffabe4e8c8a435dd6db84bdbcb01f5,407ec429340c56e48e7803d3df071a47b7080b9de6939b9d5fcdad763265d250,,ctls,pi.pardot.com,cloudfront,443,https://cdn.pardot.com:443,https,PardotServer,text/html,GET,13.32.121.68,/,-1840324437,2600:9000:236e:ea00:12:4013:2640:93a1,Pardot,272,False,True,,http://*.t.salesforce.com,,https://pi.pardot.com/
