new,host,soa,status_code,a,ns,aaaa,mx,txt
[x],am-editeur.preprod2.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
[x],knowage.securite.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,admincms.preprod1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,adminstore.preprod1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,adminstore.securite.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,am.developer.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
,am.int.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
,am.preprod.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
,am.preprod1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
,am.preprod2.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,am.rec.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,am.recbb.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,"mars.atos-infogerance.fr, polaris.atos-infogerance.fr",,,
,am.securite.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,"polaris.atos-infogerance.fr, mars.atos-infogerance.fr",,,
,api.int.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,api.intnext.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,api.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.124,,,,
,api.pe1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,api.preprod.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,api.preprod1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,api.rec.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,auth.int.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,auth.intnext.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,auth.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.124,,,,
,auth.pe1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,auth.preprod.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,auth.preprod1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
,auth.securite.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,cms.developer.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.65,"polaris.atos-infogerance.fr, mars.atos-infogerance.fr",,,
,cms.int.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,cms.intnext.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,cms.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.124,,,,
,cms.pe1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,cms.preprod.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,cms.recbb.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,cms.securite.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,editeurs.developer.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.65,"polaris.atos-infogerance.fr, mars.atos-infogerance.fr",,,
,editeurs.int.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,"polaris.atos-infogerance.fr, mars.atos-infogerance.fr",,,
,editeurs.intnext.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,editeurs.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.124,,,,
,editeurs.pe1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,"polaris.atos-infogerance.fr, mars.atos-infogerance.fr",,,
,editeurs.preprod.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,"polaris.atos-infogerance.fr, mars.atos-infogerance.fr",,,
,editeurs.preprod2.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,editeurs.recbb.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,editeurs.securite.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,fhir.developer.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.65,,,,
,fhir.int.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,fhir.pe1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,fhir.preprod.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,fhir.rec.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,fhir.recbb.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,int.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,intnext.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.124,"mars.atos-infogerance.fr, polaris.atos-infogerance.fr",,"mx-in01.eu.retarus.com, mx-in02.eu.retarus.com","v=spf1 include:_spf.general.transactional-mail-a.com include:9services.com -all, GjWuxg4QsWf3zYNfFJBMQvkDqYwTfe4M"
,pe1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,preprod.api.monespacesante.fr,,NOERROR,54.144.128.85,,2602:fcbc:0:3::11,,
,preprod.auth.monespacesante.fr,,NOERROR,54.144.128.85,,2602:fcbc:0:3::11,,
,preprod1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,"mars.atos-infogerance.fr, polaris.atos-infogerance.fr",,,
,preprod2.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,rec.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,securite.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
,support.securite.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,www.developer.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
,www.intnext.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.122,,,,
,www.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.124,,,,
,www.pe1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,www.preprod1.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,www.preprod2.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,80.78.4.121,,,,
,www.rec.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
,www.recbb.monespacesante.fr,"polaris.atos-infogerance.fr, dl-fr-nwc-dns.atos.net",NOERROR,,,,,
