new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,mx,ns,txt,caa
,dev.kit.cashstaging.app,"108.138.51.78, 108.138.51.73, 108.138.51.25, 108.138.51.52",d21qvau8ob5ppd.cloudfront.net,"ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2436:a000:7:d9d7:1840:93a1, 2600:9000:2436:4600:7:d9d7:1840:93a1, 2600:9000:2436:da00:7:d9d7:1840:93a1, 2600:9000:2436:c000:7:d9d7:1840:93a1, 2600:9000:2436:b400:7:d9d7:1840:93a1, 2600:9000:2436:b800:7:d9d7:1840:93a1, 2600:9000:2436:ea00:7:d9d7:1840:93a1, 2600:9000:2436:e000:7:d9d7:1840:93a1",,"ns-1984.awsdns-56.co.uk, ns-1494.awsdns-58.org, ns-258.awsdns-32.com, ns-785.awsdns-34.net",,
,developers.cash.app,35.193.206.75,ingress.stoplight.io,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
,email.taxes-notifications.cash.app,"34.110.180.34, 205.251.192.133, 205.251.194.74, 205.251.197.202, 205.251.198.78",mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,"mxb.mailgun.org, mxa.mailgun.org","ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-133.awsdns-16.com, ns-586.awsdns-09.net","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all","digicert.com, ;, letsencrypt.org"
,email.taxes1-notifications.cash.app,34.110.180.34,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,"mxa.mailgun.org, mxb.mailgun.org","ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA","digicert.com, letsencrypt.org, ;"
,email.taxes2-notifications.cash.app,34.102.239.211,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,"mxa.mailgun.org, mxb.mailgun.org","ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA","digicert.com, letsencrypt.org, ;"
,email.taxes3-notifications.cash.app,34.102.239.211,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,"mxb.mailgun.org, mxa.mailgun.org","ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all","digicert.com, letsencrypt.org, ;"
,email.taxes4-notifications.cash.app,"34.110.180.34, 205.251.192.133",mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,"mxa.mailgun.org, mxb.mailgun.org","ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-133.awsdns-16.com, ns-586.awsdns-09.net","v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA","digicert.com, letsencrypt.org, ;"
,euniverse.events.dewarmsteweek.be,86.39.65.98,"web0.tickoweb.net, peak.proxy.tickoweb.net","ns1.ethera.be, dns.tigron.net",NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
,free-cash-app-money-generator.jimdosite.com,"162.159.129.70, 162.159.128.70",web.jimdosite.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:7::a29f:8046, 2606:4700:7::a29f:8146",,,,
,globalx.joinverse.com,34.120.152.72,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,green-trust-cash-app.jimdosite.com,"162.159.128.70, 162.159.129.70",web.jimdosite.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:7::a29f:8146, 2606:4700:7::a29f:8046",,,,
,groups.verse.me,35.241.24.33,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,help.cash.app,"67.199.248.13, 67.199.248.12",,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,
,internal-platform-staging.cashstaging.app,151.101.178.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,internal.cash.app,151.101.46.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,internal.cashstaging.app,"151.101.2.133, 151.101.66.133, 151.101.130.133, 151.101.194.133",d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,joinverse.com,35.241.43.191,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,"aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com","v=spf1 include:mail.zendesk.com include:_spf.google.com ~all, facebook-domain-verification=zascw6tv8r91fzle6fh1qn591ew7dx",
,ketnetvipsspidermanacrossthespiderverse.events.vrt.be,86.39.65.98,"web0.tickoweb.net, peak.proxy.tickoweb.net","ns1.ethera.be, dns.tigron.net",NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
,kit.cash.app,"108.156.184.107, 108.156.184.91, 108.156.184.16, 108.156.184.93",d3ioovmtrk49wm.cloudfront.net,"ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:24fd:2c00:1d:940e:c980:93a1, 2600:9000:24fd:4000:1d:940e:c980:93a1, 2600:9000:24fd:7600:1d:940e:c980:93a1, 2600:9000:24fd:d200:1d:940e:c980:93a1, 2600:9000:24fd:0:1d:940e:c980:93a1, 2600:9000:24fd:5400:1d:940e:c980:93a1, 2600:9000:24fd:4a00:1d:940e:c980:93a1, 2600:9000:24fd:cc00:1d:940e:c980:93a1",,"ns-737.awsdns-28.net, ns-207.awsdns-25.com, ns-1671.awsdns-16.co.uk, ns-1282.awsdns-32.org",,
,kit.cashstaging.app,"18.66.97.103, 18.66.97.19, 18.66.97.57, 18.66.97.107",ddg7wq8y71x5j.cloudfront.net,"ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:223c:7a00:6:8963:45c0:93a1, 2600:9000:223c:8000:6:8963:45c0:93a1, 2600:9000:223c:9600:6:8963:45c0:93a1, 2600:9000:223c:2400:6:8963:45c0:93a1, 2600:9000:223c:e00:6:8963:45c0:93a1, 2600:9000:223c:3400:6:8963:45c0:93a1, 2600:9000:223c:bc00:6:8963:45c0:93a1, 2600:9000:223c:ba00:6:8963:45c0:93a1",,"ns-632.awsdns-15.net, ns-1964.awsdns-53.co.uk, ns-1171.awsdns-18.org, ns-206.awsdns-25.com",,
,landing.joinverse.com,54.144.128.85,,,NOERROR,,,,,,,
,mylittleuniverse.events.dewarmsteweek.be,86.39.65.98,"web0.tickoweb.net, peak.proxy.tickoweb.net","ns1.ethera.be, dns.tigron.net",NOERROR,,,2a00:6ec0:101:1:0:98:0:1,,,,
,o827.abmail.notifications.verse.me,167.89.10.149,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,pay.cash.app,"172.66.0.44, 162.159.140.44",,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,True,cloudflare,,,,ca3-1ec20b7d47e04b73b03216a76039449a,
,pay.cashstaging.app,"151.101.194.254, 151.101.66.254, 151.101.2.254, 151.101.130.254",,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,True,fastly,,,,,
,pics.joinverse.com,35.244.211.128,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,platform-test.cashstaging.app,"151.101.194.133, 151.101.2.133, 151.101.66.133, 151.101.130.133",d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,preflight.web.taxes.cash.app,,,,NOERROR,,,2602:fcbc:0:3::11,,,,
,preview.cashstaging.app,"151.101.2.254, 151.101.194.254, 151.101.66.254, 151.101.130.254",,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,True,fastly,,,,,
,production.sample-seller-store.development.kit.cashstaging.app,,,,NOERROR,,,,,,,
,sandbox.api.cash.app,151.101.38.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,sandbox.api.cashstaging.app,151.101.38.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,sandbox.global-network-api.cash.app,146.75.122.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,sandbox.global-network-api.cashstaging.app,146.75.118.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,sandbox.kit.cash.app,"99.84.203.80, 99.84.203.93, 99.84.203.104, 99.84.203.106",d36lainiy048qe.cloudfront.net,"ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
,sandbox.pay.cash.app,"172.66.0.45, 162.159.140.45",,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,True,cloudflare,,,,ca3-ef0e18eefa0841cfa9d1082495b37e7b,
,sandbox.sample-seller-store.development.kit.cashstaging.app,54.144.128.85,,,NOERROR,,,,,,,
,shop.cash.app,"76.223.91.57, 13.248.205.93",,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,,,,,,,
,status.cash.app,52.215.192.132,c2nqm6xyr4t4.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1098.awsdns-09.org, ns-1711.awsdns-21.co.uk, ns-441.awsdns-55.com, ns-817.awsdns-38.net",,"globalsign.com;, letsencrypt.org"
,taxes.cash.app,107.178.254.57,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,"ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e1.googledomains.com",,
,taxes.cashstaging.app,35.241.36.124,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,"ns-cloud-b2.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com",,
,taxeshelp-devprobox.cashstaging.app,34.120.181.110,,"ns-1248.awsdns-28.org, ops+dns.squareup.com",NOERROR,True,google,,,,,
,taxeshelp.cash.app,"92.122.215.10, 92.122.215.8","taxeshelp.cash.app.00d5e000000kqf8eak.live.siteforce.com, sdc.prod.communities.salesforce.cdn.edgekey.net, e78038.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:c900:9::5f65:4a9f, 2a02:26f0:c900:9::5f65:4a8b",,,,
,triple.api.joinverse.com,34.160.253.154,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,v4b.beta.joinverse.com,,,,NOERROR,,,,,,,
,verse.events,35.244.155.140,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,"ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com",,letsencrypt.org
,verse.me,35.241.43.191,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","ns-cloud-b2.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b3.googledomains.com","facebook-domain-verification=kyotx7mhj4088wj24e0yf054paofkn, google-site-verification=a6TmK66ZDOhRqr3ViI36jGA73OVJpBCnedDdL9xqC3Y, google-site-verification=oGt5rocTxfanZlqD8VGKIe8d3OrNsVKWSRatsaECRyI, google-site-verification=exp1qcy1Hcp7mNFAP2MzPBgODpESKEGOYtuKwA-Tfuo, v=spf1 include:_spf.google.com include:mail.zendesk.com include:servers.mcsv.net -all, google-site-verification=A79_hfZq5BkMJSR6xoq7kh0xf5yTykNyKZGKRNzBf24, google-site-verification=Mk2tR3RLTdX1yV59YJvXhWOfR_abmTWL5OU6MMdqUKc, google-site-verification=ZJc7XwHlakno4g5irUijn7c8LAxHGfA6q7vsrBwPhe0, facebook-domain-verification=c1057kyyv8z3zvzxy7jn2hsp2gnk0g",
,web.taxes.cash.app,107.178.254.57,web.usc1.taxes.cash.app,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,web.taxes.cashstaging.app,35.241.36.124,web.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,web.usc1.taxes.cash.app,107.178.254.57,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,web.usc1.taxes.cashstaging.app,35.241.36.124,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,webhooks.api.joinverse.com,35.186.225.215,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,www.ambassadors.joinverse.com,"35.241.43.191, 216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108",joinverse.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c","aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com","v=spf1 include:mail.zendesk.com include:_spf.google.com ~all, facebook-domain-verification=zascw6tv8r91fzle6fh1qn591ew7dx",
,www.joinverse.com,35.241.43.191,joinverse.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,"aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com","ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com","facebook-domain-verification=zascw6tv8r91fzle6fh1qn591ew7dx, v=spf1 include:mail.zendesk.com include:_spf.google.com ~all",
,www.verse.me,35.241.43.191,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,zendesk2.cash.app,"162.159.128.7, 162.159.138.6",mail2.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,
,zendesk3.cash.app,"162.159.128.7, 162.159.138.6, 3.213.143.227, 34.235.62.90, 184.72.174.126",mail3.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,mail.zendesk.com,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",v=spf1 include:_netblocks.zdsys.com ~all,
,zendesk4.cash.app,"162.159.128.7, 162.159.138.6",mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,
