input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_subject_org_,tls_mismatched
*.advcash.com,,200,212,advcash.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-20T11:59:59Z,2023-11-16T11:59:59Z,CN=imperva.com,imperva.com,imperva.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,bad65ebd30f044e0109318d6b4842dbc,7e27d62aa0f991dcdbadbe091923bfe6e6a178bf1b033d6c4e3ac3e3781bb5b9,True,ctls,advcash.com,incapsula,443,https://advcash.com:443,https,,text/html,GET,45.60.78.179,/,1094691412,45.60.133.179,Imperva,8,False,True,,,,
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9a2e3bdb59e5e95d228e75d310a78882,d790862c00287a7090cf7874aa239d58ff9b46c2cc3a3226a087a0ecec752270,True,ctls,marketingplatform.google.com,,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.186.174,/,708578229,2a00:1450:4001:82b::200e,HTTP/3,2179,False,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/enterprise/,,
*.facebook.com,Facebook - log in or sign up,200,13095,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-05-31T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,68cbda611490690cd229365a5bbdef4f,3c9269f4c3ebfc4d55703017ed6486b901fb93c33174f02d5a094bd74627a99a,True,ctls,m.facebook.com,,443,https://facebook.com:443,https,,application/vnd.wap.xhtml+xml,GET,157.240.252.35,/,142313513,2a03:2880:f177:83:face:b00c:0:25de,HTTP/3,2,False,,www.googleadservices.com,https://m.facebook.com/,"Meta Platforms, Inc.",
*.geetest.com,极验GEETEST-全球交互安全创领者-交互安全｜业务安全 | 移动安全,200,189501,www.geetest.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-26T23:59:59Z,"CN=*.geetest.com, O=Wuhan Jiyi Network Technology Co.\, Ltd., L=武汉市, ST=湖北省, C=CN",*.geetest.com,geetest.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,68e4e1dab8ab933b9951db6ce91b54e5,f71d1efcb8eff091464431a2d1e8989ef7c74b63c9c58ba9ea971dfb516ecea4,True,ctls,www.geetest.com,,443,https://geetest.com:443,https,Tengine,text/html,GET,163.181.92.230,/,1275767344,163.181.92.226,webpack,110,False,,,https://www.geetest.com/,"Wuhan Jiyi Network Technology Co., Ltd.",
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9a2e3bdb59e5e95d228e75d310a78882,d790862c00287a7090cf7874aa239d58ff9b46c2cc3a3226a087a0ecec752270,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.185.196,/,302920777,2a00:1450:4001:80e::2004,HTTP/3,1831,False,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,,
*.google.com,Google,200,215881,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:25:18Z,2023-07-31T08:25:17Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6d20e0dbb4ec708878643b98c3dab7c0,fe533bafa6d4fa380bc8b5bafade084b21264bd2601c5f581bf9730db96e6d04,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,172.217.18.14,/,708578229,2a00:1450:4001:830::200e,HTTP/3,144,False,,https://csp.withgoogle.com/csp/gws/other-hp,https://www.google.com/,,
*.googleadservices.com,Error 404 (Not Found)!!1,404,1561,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:23:33Z,2023-07-31T08:23:32Z,CN=*.googleadservices.com,*.googleadservices.com,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,82097d4325b2cb920c66d151aad9c9a8,ee0ef101194d34f38733c774b1bdf4fe989c715fc9197b0ec61aba917889adba,True,ctls,googleadservices.com,,443,https://googleadservices.com:443,https,sffe,text/html,GET,142.250.185.226,/,302920777,142.250.185.226,HTTP/3,12,False,,,,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c1ac5cd6a000c4bf3342e0400fcf88f8,3b48e7bfaf4c6d638b501e1089c789811e5f966b4be81594a0d0323e40818f35,True,ctls,googletagmanager.com,,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,216.58.212.168,/,302920777,2a00:1450:4001:813::2008,HTTP/3,12,False,,,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:24:48Z,2023-07-31T08:24:47Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e2fa159081bb6314a59148c7b5d1211a,0f6b81b9f067c52dd5708e184a9f4d33e8bd982625a16053543f78d0768da6af,True,ctls,www.gstatic.com,,443,https://gstatic.com:443,https,sffe,text/html,GET,172.217.16.131,/,302920777,2a00:1450:4001:802::2003,HTTP/3,12,False,,,https://www.gstatic.com/,,
*.mercuryo.io,Business payments made easy. Cryptopowered by Mercuryo,200,707782,mercuryo.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-27T08:12:29Z,2023-06-28T08:12:29Z,CN=*.mercuryo.io,*.mercuryo.io,mercuryo.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",6faaf03a39b3a659317a5e6b619f53b9,36bde3acecf8c29ece2e729c17b9c0160f17c6d089a922a344b9e43c4f762d32,True,ctls,mercuryo.io,,443,https://mercuryo.io:443,https,,text/html,GET,3.123.103.141,/,1233768046,18.196.250.79,HSTS,1,False,,,,,
