input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_mismatched,tls_wildcard_certificate,tls_subject_org_,tls_expired,final_url
*.stanford.edu,Stanford University,200,106956,,www.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-19T07:02:34Z,2023-09-17T07:02:33Z,CN=www.stanford.edu,www.stanford.edu,www.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4dfbb1914a341754f31f1d5d97089540,1c103eb959540e29d87324869b1b10bf923b747c5b7c7bcbc2ab5eec4cd57795,ctls,www.stanford.edu,443,https://stanford.edu:443,https,nginx,text/html,GET,171.67.215.200,/,354441195,2607:f6d0:0:925a::ab43:d7c8,WordPress:6.2.2,1141,False,,,,,,,https://www.stanford.edu/
*.storyblok.com,Headless CMS: The way to modern content | Storyblok,200,384236,,www.storyblok.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=storyblok.com,storyblok.com,*.storyblok.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,be6521cb0ae9da1ae1174b0984891693,8fcc4efbeb9af95fe1ea5e35862d7e3a5d4e968785869beb0f782ed2df521f7f,ctls,www.storyblok.com,443,https://storyblok.com:443,https,nginx/1.20.2,text/html,GET,35.156.140.201,/,-1840324437,35.156.140.201,Nginx:1.20.2,27,False,,,,True,,,https://www.storyblok.com/
api.stanford.edu,,404,,,api.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-05T00:00:00Z,2024-06-04T23:59:59Z,"CN=api.stanford.edu, O=Stanford University, ST=California, C=US",api.stanford.edu,api-uat.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,0cea37e582c556cb5ddc60c5044c2e7f,ffe8a815897f412f248f9afce32c04c1a16e1ec769592df9c4d9f7e448332c57,ctls,api.stanford.edu,443,https://api.stanford.edu:443,https,,,GET,34.82.134.126,/,-1840324437,34.82.134.126,HSTS,1,False,google,True,,,Stanford University,,
app.stanford.edu,Stanford Login - Stale Request,200,5774,,login.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=login.stanford.edu, O=Stanford University, ST=California, C=US",login.stanford.edu,weblogin.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f9b8ece1f754fd432d44de5f1fe848e3,9ecf5abe95a63c37baa1d6224f0b25c58b7200da0b7fbd8d143be42cb447dd8e,ctls,login.stanford.edu,443,https://app.stanford.edu:443,https,Apache,text/html,GET,171.67.233.89,/,-1239630448,171.67.233.89,Java,106,False,,,,,Stanford University,,https://login.stanford.edu/idp/profile/SAML2/Redirect/SSO?execution=e1s1
assets.stanford.edu,Stanford Asset CDN,200,406,*.stanford.edu,assets.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-09T10:20:13Z,2023-10-07T10:20:12Z,CN=asset.stanford.edu,asset.stanford.edu,assets.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0b3ceca26bf3776bb55a563181266ece,9e792e7cb8d5dc1bc98ce38a943c62df3a6857c92adee1f87178cc5e1adb54c1,ctls,assets.stanford.edu,443,https://assets.stanford.edu:443,https,Netlify,text/html,GET,18.156.161.35,/,-1160966609,2a05:d014:275:cb02:295:4d7d:ac7b:7207,Netlify,12,False,,,,,,,
atlas.stanford.edu,Stanford Login - Stale Request,200,5774,,login.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=login.stanford.edu, O=Stanford University, ST=California, C=US",login.stanford.edu,weblogin.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f9b8ece1f754fd432d44de5f1fe848e3,9ecf5abe95a63c37baa1d6224f0b25c58b7200da0b7fbd8d143be42cb447dd8e,ctls,login.stanford.edu,443,https://atlas.stanford.edu:443,https,Apache,text/html,GET,171.67.213.155,/,-1787317344,171.67.213.155,Java,106,False,,,,,Stanford University,,https://login.stanford.edu/idp/profile/SAML2/Redirect/SSO?execution=e1s1
axess.sahr.stanford.edu,Stanford | Axess,200,15402,,axess.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-19T00:00:00Z,2024-07-18T23:59:59Z,"CN=axess.stanford.edu, O=Stanford University, ST=California, C=US",axess.stanford.edu,axess.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,aef7021ea0e761667e7d8949d801471c,b738b240ad43da394f0cfa58ee29270f72027df128c610cc5e7a0186d9327805,ctls,axess.stanford.edu,443,https://axess.sahr.stanford.edu:443,https,Apache,text/html,GET,171.67.37.21,/,214071354,171.67.37.21,HSTS,208,False,,,,,Stanford University,,https://axess.stanford.edu/
backup.stanford.edu,Backup & Recovery | University IT,200,27301,,uit.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=uitcomm-web-03.stanford.edu, O=Stanford University, ST=California, C=US",uitcomm-web-03.stanford.edu,uitcommunity.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3a74211b4a3c0c8a75d5a9e668eb0e66,58719526023f8aab7c659e73dbc3479689a484ed490a65313efa3ad5d6be4c5f,ctls,uit.stanford.edu,443,https://backup.stanford.edu:443,https,Apache/2.4.56 (Debian),text/html,GET,54.81.116.232,/,1494302000,54.81.116.232,PHP,378,False,,,,,Stanford University,,https://uit.stanford.edu/service/backup
cdn.stanford.edu,,200,12,,cdn.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T00:00:00Z,2023-12-16T23:59:59Z,CN=cdn.stanford.edu,cdn.stanford.edu,cdn.stanford.edu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bf335e1b54e6a5fb70e1013e46444804,7ebef426ad73a16c06169868115bf297d2473073ec87983b9cd0a2a552b6f9c1,ctls,cdn.stanford.edu,443,https://cdn.stanford.edu:443,https,AmazonS3,text/html,GET,18.66.112.49,/,-441251944,2600:9000:223f:8e00:4:af9f:1240:93a1,Amazon Web Services,1,False,cloudfront,True,,,,,
cloud.stanford.edu,Stanford Login - Stale Request,200,5774,,login.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=login.stanford.edu, O=Stanford University, ST=California, C=US",login.stanford.edu,weblogin.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f9b8ece1f754fd432d44de5f1fe848e3,9ecf5abe95a63c37baa1d6224f0b25c58b7200da0b7fbd8d143be42cb447dd8e,ctls,login.stanford.edu,443,https://cloud.stanford.edu:443,https,Apache,text/html,GET,171.67.215.200,/,-1787317344,2607:f6d0:0:925a::ab43:d7c8,Java,106,False,,,,,Stanford University,,https://login.stanford.edu/idp/profile/SAML2/Redirect/SSO?execution=e1s1
