input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,tls_expired,csp_domains_,location
*.adsrvr.org,Object moved,302,148,adsrvr.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-12T16:51:15Z,2024-05-13T16:51:14Z,CN=*.adsrvr.org,*.adsrvr.org,,adsrvr.org,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f79c5141df51cffd9e9cea4c7036588a,e68c571f6556fdc7e62e944d5f644f99c25aaf7a1da0f14714fcc9e2b0411832,True,ctls,adsrvr.org,,80,http://adsrvr.org:80,http,Microsoft-IIS/10.0,text/html,GET,34.238.33.83,/,-2003816794,107.21.93.147,Windows Server,4,False,,https://adsrvr.org:443/?AspxAutoDetectCookieSupport=1,,,https://js-agent.newrelic.com,/?AspxAutoDetectCookieSupport=1
*.apple.com,Apple,200,160417,www.apple.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-02T22:59:19Z,2023-10-28T23:09:18Z,"CN=www.apple.com, O=Apple Inc., L=Cupertino, ST=California, C=US, serialNumber=C0806592, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization",www.apple.com,Apple Inc.,www.apple.com.cn,"CN=Apple Public EV Server RSA CA 2 - G1, O=Apple Inc., C=US",Apple Public EV Server RSA CA 2 - G1,Apple Inc.,07c1809a3d895c001a3c5a1c22aa380d,9875bb8ee57179bf042f3c94e6f178d141ee4dd15bde078b1ec026ed2dae6ff2,,ctls,www.apple.com,,443,https://apple.com:443,https,Apple,text/html,GET,17.253.144.10,/,-1295672766,2620:149:af0::10,HSTS,1335,False,,https://www.apple.com/,,,*.mzstatic.com,
*.archive.org,"Internet Archive: Digital Library of Free & Borrowable Books, Movies, Music & Wayback Machine",200,2587,archive.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-19T18:59:49Z,2024-02-20T18:59:49Z,CN=*.archive.org,*.archive.org,,archive.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",71bfbdcfd2777ebd3d223871e1b26f1b,ec30bed759e6d4a9fe0de6804357d708b886466c23e73daaf9317e6af8160688,True,ctls,archive.org,,443,https://archive.org:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,207.241.224.2,/,142044466,207.241.224.2,Ubuntu,19,False,,,,,https://archive.org/,
*.cryptocompare.com,"Cryptocurrency Prices, Portfolio, Forum, Rankings | CryptoCompare.com",200,167826,www.cryptocompare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T00:00:00Z,2024-04-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",612faa6caee2c5826b7bbb7455f7ba18,6a1adff7091d702d96e4e680f62d82a29b8706b2cc60da5980baa3b4dbcd6cc7,True,ctls,www.cryptocompare.com,cloudflare,443,https://cryptocompare.com:443,https,cloudflare,text/html,GET,172.67.72.98,/,-1840324437,104.26.3.124,Google Tag Manager,2397,False,True,https://www.cryptocompare.com/,,,,
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9a2e3bdb59e5e95d228e75d310a78882,d790862c00287a7090cf7874aa239d58ff9b46c2cc3a3226a087a0ecec752270,True,ctls,marketingplatform.google.com,,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.185.78,/,708578229,2a00:1450:4001:80e::200e,HTTP/3,2179,False,,https://marketingplatform.google.com/about/enterprise/,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,
*.google.com,Google,200,216166,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:25:18Z,2023-07-31T08:25:17Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6d20e0dbb4ec708878643b98c3dab7c0,fe533bafa6d4fa380bc8b5bafade084b21264bd2601c5f581bf9730db96e6d04,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,142.250.186.78,/,708578229,2a00:1450:4001:802::200e,HTTP/3,147,False,,https://www.google.com/,,,https://csp.withgoogle.com/csp/gws/other-hp,
*.medium.com,Medium – Where good ideas find you.,200,128579,medium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2023-07-21T23:59:59Z,"CN=medium.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",medium.com,"Cloudflare, Inc.",*.medium.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",afa19f4d674e384cbc3f5c4c868798f1,617dfa398b93f41055aa81f2e9e260ed1506eba8e3009fc8842d6b016990e3bf,True,ctls,medium.com,cloudflare,443,https://medium.com:443,https,cloudflare,text/html,GET,162.159.152.4,/,-1485515534,2606:4700:7::a29f:9804,HTTP/3,57,False,True,,,,https://medium.com,
16-8-21-8.dev.blockchain.info,403,403,134,16-8-21-8.dev.blockchain.info,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-20T05:09:29Z,2023-08-18T06:05:24Z,CN=dev.blockchain.info,dev.blockchain.info,,*.dev.blockchain.info,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,0a1f36d53a5e24da81cb93f3f28e43ef,e594585a241bad527fb13e04c017f1a9a218183940e751903399e022773815a1,True,ctls,16-8-21-8.dev.blockchain.info,google,443,https://16-8-21-8.dev.blockchain.info:443,https,,text/html,GET,35.201.64.161,/,1723221432,35.201.64.161,HTTP/3,1,False,True,,,,,
253aconsul.dev.blockchain.info,403,403,134,253aconsul.dev.blockchain.info,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-20T05:09:29Z,2023-08-18T06:05:24Z,CN=dev.blockchain.info,dev.blockchain.info,,*.dev.blockchain.info,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,0a1f36d53a5e24da81cb93f3f28e43ef,e594585a241bad527fb13e04c017f1a9a218183940e751903399e022773815a1,True,ctls,253aconsul.dev.blockchain.info,google,443,https://253aconsul.dev.blockchain.info:443,https,,text/html,GET,35.201.64.161,/,1723221432,35.201.64.161,HTTP/3,1,False,True,,,,,
3aconsul.dev.blockchain.info,403,403,134,3aconsul.dev.blockchain.info,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-20T05:09:29Z,2023-08-18T06:05:24Z,CN=dev.blockchain.info,dev.blockchain.info,,*.dev.blockchain.info,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,0a1f36d53a5e24da81cb93f3f28e43ef,e594585a241bad527fb13e04c017f1a9a218183940e751903399e022773815a1,True,ctls,3aconsul.dev.blockchain.info,google,443,https://3aconsul.dev.blockchain.info:443,https,,text/html,GET,35.201.64.161,/,1723221432,35.201.64.161,HTTP/3,1,False,True,,,,,
