input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,cdn_name,cdn,csp_domains_,final_url
*.amazonaws.com,Cloud Computing Services - Amazon Web Services (AWS),200,285597,aws.amazon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,CN=aws.amazon.com,aws.amazon.com,1.aws-lbr.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,142203600fa2c4d1b20831103811f8d6,54108acd24884070f6280ba1133869ead976599d259f036c681587b6a5f081f5,ctls,aws.amazon.com,80,http://amazonaws.com:80,http,text/html,GET,72.21.210.29,/,-1347196302,207.171.166.22,Handlebars,3061,False,,,,Server,,,https://dftu77xade0tc.cloudfront.net,https://aws.amazon.com/
*.cloudflareinsights.com,,200,498,cloudflareinsights.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.cloudflareinsights.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4e0bf2db15a4f004e02b1f87abe0a034,4a2187c4f351a5ae145ebe9f5fa421ced6a00ee1d2d3144822cba053d702d362,ctls,cloudflareinsights.com,443,https://cloudflareinsights.com:443,https,text/html,GET,104.16.57.101,/,1139640750,2606:4700::6810:3965,Cloudflare,10,False,,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,text/html,GET,172.217.18.4,/,302920777,2a00:1450:4001:812::2004,HTTP/3,1831,False,,,True,sffe,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:16Z,2023-08-21T08:16:15Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e20166dfb9b49e85fa7472762d5f249f,42f0db40ff6122a0b837526586d132cf7bceafb0f608de6f54f132949d87ed0e,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,text/html,GET,142.250.185.200,/,302920777,2a00:1450:4001:800::2008,HTTP/3,12,False,,,True,Google Tag Manager,,,,
a.dev.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,80432,a.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=a.dev.octopus.com,a.dev.octopus.com,a.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ddb4a84e64f67e783dfc7cb48bc34b69,813c1c0cf9bf6c83cc50fe52245abf3ea448acf600fbfd049041181ca80eeaed,ctls,a.dev.octopus.com,443,https://a.dev.octopus.com:443,https,text/html,GET,13.107.246.45,/,-1694708222,2620:1ec:46::45,Microsoft ASP.NET,2270,False,,,,,,,,
account.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,80052,octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,ctls,octopus.com,443,https://account.octopus.com:443,https,text/html,GET,13.107.246.45,/,1161648344,2620:1ec:46::45,Microsoft ASP.NET,2265,False,,,True,,,,,https://octopus.com/
advisories.octopus.com,Octopus Deploy Security Advisories,200,53343,advisories.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-12-31T23:59:59Z,CN=advisories.octopus.com,advisories.octopus.com,advisories.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,538e8b2469ea8e7ccbdd860b816ed17b,5d307925b1cef0c27f33396cfffcbb61b3036a7dff410dd5995bbf43eb5784ff,ctls,advisories.octopus.com,443,https://advisories.octopus.com:443,https,text/html,GET,18.66.97.34,/,210359894,2600:9000:25e8:4800:10:8dfc:6000:93a1,Hugo:0.111.3,933,False,,,,AmazonS3,cloudfront,True,,
api.billing.c.dev.octopus.com,,200,44,api.billing.c.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=api.billing.c.dev.octopus.com,api.billing.c.dev.octopus.com,api.billing.c.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ea852c2ee2e9ac0e7a9e0e25f375aeb7,9fb73cd476b34f8559c509106fa1bd4f4e6e25dc254856f90e003aa933624044,ctls,api.billing.c.dev.octopus.com,443,https://api.billing.c.dev.octopus.com:443,https,application/json,GET,13.107.246.45,/,-1840324437,2620:1ec:46::45,HSTS,1,False,,,,,,,,
api.billing.octopus.com,,200,44,api.billing.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T00:00:00Z,2023-09-20T23:59:59Z,CN=api.billing.octopus.com,api.billing.octopus.com,api.billing.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9fceb5c202e0533fde5757122dd50ca5,1c2c85755a40c33c99b85a6dd6e31fa1a1765bd713955d6f8d894cc14da319c3,ctls,api.billing.octopus.com,443,https://api.billing.octopus.com:443,https,application/json,GET,13.107.246.45,/,-1840324437,2620:1ec:46::45,HSTS,1,False,,,,,,,,
api.billing.preprod.octopus.com,,200,44,api.billing.preprod.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2023-08-08T23:59:59Z,CN=api.billing.preprod.octopus.com,api.billing.preprod.octopus.com,api.billing.preprod.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",2aeb7908ffc9fb2c69d66ad46aeb790c,f9bf338c3723bbf097db5e2d6139a26bc0ccf327e547e650e8708003df94be98,ctls,api.billing.preprod.octopus.com,443,https://api.billing.preprod.octopus.com:443,https,application/json,GET,13.107.246.45,/,-1840324437,2620:1ec:46::45,HSTS,1,False,,,,,,,,
