new,host,ttl,a,soa,status_code,aaaa,ns,txt,cname,caa,mx,has_internal_ips,internal_ips
[x],api-stage.bounteous.kkr.cloud,60,"34.224.189.176, 54.237.20.100, 54.227.144.68","{'name': 'bounteous.kkr.cloud', 'ns': 'ns-1051.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bounteous.kkr.cloud', 'ns': 'ns-1051.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bounteous.kkr.cloud', 'ns': 'ns-1051.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bounteous.kkr.cloud', 'ns': 'ns-1051.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bounteous.kkr.cloud', 'ns': 'ns-1051.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,
[x],cftest01.kkr.com,60,192.16.200.200,"{'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
[x],client.api.dev.lpportal.kkr.com,60,"18.211.116.14, 18.211.12.16, 54.204.12.151","{'name': 'dev.lpportal.kkr.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.lpportal.kkr.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.lpportal.kkr.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.lpportal.kkr.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.lpportal.kkr.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.lpportal.kkr.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,
[x],dataroom.subscribe-qa.kkr.com,1800,"104.18.29.62, 104.18.28.62","{'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,alias-dataroom-subscribe-qa-kkr-com.anduintransact.me,,,,
[x],fundsub.subscribe-qa.kkr.com,1800,,"{'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700::6812:1c3e, 2606:4700::6812:1d3e",,,alias-fundsub-subscribe-qa-kkr-com.anduintransact.me,,,,
[x],grafana.kkr.cloud,60,,"{'name': 'grafana.net', 'ns': 'ns-1470.awsdns-55.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'grafana.net', 'ns': 'ns-1470.awsdns-55.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'grafana.net', 'ns': 'ns-1470.awsdns-55.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'grafana.net', 'ns': 'ns-1470.awsdns-55.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'grafana.net', 'ns': 'ns-1470.awsdns-55.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"kkrgrafanaprod.grafana.net, hg-gateway-prod-us-east-0.grafana.net",,,,
[x],helix.kkr.com,300,"104.18.10.49, 104.18.11.49","{'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700::6812:a31, 2606:4700::6812:b31",,,,,,,
[x],hkpuag13.kkr.com,3600,116.66.211.62,"{'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'kkr.com', 'ns': 'amir.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357439163, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
[x],idm.subscribe-qa.kkr.com,1800,"104.18.29.62, 104.18.28.62","{'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'anduintransact.me', 'ns': 'edna.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356684774, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700::6812:1d3e, 2606:4700::6812:1c3e",,,alias-idm-subscribe-qa-kkr-com.anduintransact.me,,,,
[x],kkr.cloud,55,,"{'name': 'kkr.cloud', 'ns': 'ns-1489.awsdns-58.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'kkr.cloud', 'ns': 'ns-1489.awsdns-58.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'kkr.cloud', 'ns': 'ns-1489.awsdns-58.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'kkr.cloud', 'ns': 'ns-1489.awsdns-58.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'kkr.cloud', 'ns': 'ns-1489.awsdns-58.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"ns-1489.awsdns-58.org, ns-1547.awsdns-01.co.uk, ns-447.awsdns-55.com, ns-674.awsdns-20.net",sg20fav2c9csiudn4u8qhkslv2,,,,,
