input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,final_url,tls_expired
aadsconfig.kkr.com,403 Forbidden,403,199,aadsconfig.kkr.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-16T07:42:34Z,2024-03-19T07:42:34Z,CN=sipdc01a.kkr.com,sipdc01a.kkr.com,vasipfile.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a5eb7d55d560b19100150bd59686a596,df6f46cfa3aea585739a44e9245686e5aaf6acb46fa2feb2d86192b29f2a16e6,ctls,aadsconfig.kkr.com,,443,https://aadsconfig.kkr.com:443,https,nginx,text/html,GET,65.216.176.27,/,658325731,65.216.176.27,Nginx,8,False,,,True,,,,
aem-dev.kkr.com,en,200,5672,aem-dev.kkr.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-22T13:34:12Z,2024-07-23T13:34:12Z,"CN=kkr.com, O=Kohlberg Kravis Roberts & Co, L=New York, ST=New York, C=US",kkr.com,aem-stage.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",c21d39667b24ed1f17476ed22ba467a6,509870ceeba6855b3f317c22ea610d477d04b42f235fe2d9f3a63ee910909cd6,ctls,aem-dev.kkr.com,fastly,443,https://aem-dev.kkr.com:443,https,,text/html,GET,151.101.3.10,/,176097089,151.101.195.10,Java,178,False,True,,,Kohlberg Kravis Roberts & Co,,,
aem-stage.kkr.com,English,200,9110,aem-stage.kkr.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-22T13:34:12Z,2024-07-23T13:34:12Z,"CN=kkr.com, O=Kohlberg Kravis Roberts & Co, L=New York, ST=New York, C=US",kkr.com,aem-stage.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",c21d39667b24ed1f17476ed22ba467a6,509870ceeba6855b3f317c22ea610d477d04b42f235fe2d9f3a63ee910909cd6,ctls,aem-stage.kkr.com,fastly,443,https://aem-stage.kkr.com:443,https,,text/html,GET,151.101.3.10,/,176097089,151.101.195.10,Java,284,False,True,,,Kohlberg Kravis Roberts & Co,,,
ap.sso.kkr.com,Not Found,404,1637,ap.sso.kkr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-14T17:34:28Z,2024-04-26T07:40:26Z,CN=*.sso.kkr.com,*.sso.kkr.com,sso.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",4eced77e68bf9b4c7bcdb68e6897a462,8abaf432e7713cffb83f9ef775be1bc83ea9d34361f1ac94d5389ec4cdd9d82c,ctls,ap.sso.kkr.com,,443,https://ap.sso.kkr.com:443,https,,text/html,GET,203.193.8.54,/,681743650,203.193.8.54,,54,False,,True,,,,,
apacvpn.kkr.com,GlobalProtect Portal,200,11444,apacvpn.kkr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-14T07:01:07Z,2024-06-14T07:01:07Z,CN=*.kkr.com,*.kkr.com,kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",ec32adf3f019aa14c98680e0bee3e6f6,03d3d66e72429aabd758b540a7e291d800a99e7fc7c411f13c158ac0fdea3627,ctls,apacvpn.kkr.com,,443,https://apacvpn.kkr.com:443,https,,text/html,GET,202.95.104.25,/,-492339404,202.95.104.25,HSTS,317,False,,True,,,,https://apacvpn.kkr.com/global-protect/login.esp,
api.dash.kkr.com,,403,23,api.dash.kkr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-28T01:49:04Z,2023-10-14T15:12:16Z,CN=dash.kkr.com,dash.kkr.com,api.dash.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a1a36ec2fbbec3ee5a7476ddf9033df9,bf923328dbd390981e876107310cfbebde2b1b991e961ae482f68dd2efa9cae7,ctls,api.dash.kkr.com,,443,https://api.dash.kkr.com:443,https,,application/json,GET,34.198.123.209,/,968070783,35.153.114.41,,1,False,,,,,,,
api.dev.dash.kkr.com,,403,23,api.dev.dash.kkr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-12T14:00:11Z,2024-07-13T14:00:11Z,CN=dev.dash.kkr.com,dev.dash.kkr.com,api.qa.dash.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",da5f4618664afffd784cecee7c24c45e,60fb0014a1395828b910eb4756bdcac9b7b7363cb23b8118e374c8106aa519ee,ctls,api.dev.dash.kkr.com,,443,https://api.dev.dash.kkr.com:443,https,,application/json,GET,54.83.62.168,/,968070783,54.225.100.26,,1,False,,,,,,,
api.preprod.dash.kkr.com,,403,23,api.preprod.dash.kkr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-12T14:00:11Z,2024-07-13T14:00:11Z,CN=dev.dash.kkr.com,dev.dash.kkr.com,api.qa.dash.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",da5f4618664afffd784cecee7c24c45e,60fb0014a1395828b910eb4756bdcac9b7b7363cb23b8118e374c8106aa519ee,ctls,api.preprod.dash.kkr.com,,443,https://api.preprod.dash.kkr.com:443,https,,application/json,GET,34.196.206.11,/,968070783,54.209.9.105,,1,False,,,,,,,
api.qa.dash.kkr.com,,403,23,api.qa.dash.kkr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-12T14:00:11Z,2024-07-13T14:00:11Z,CN=dev.dash.kkr.com,dev.dash.kkr.com,api.qa.dash.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",da5f4618664afffd784cecee7c24c45e,60fb0014a1395828b910eb4756bdcac9b7b7363cb23b8118e374c8106aa519ee,ctls,api.qa.dash.kkr.com,,443,https://api.qa.dash.kkr.com:443,https,,application/json,GET,44.196.63.223,/,968070783,54.86.96.27,,1,False,,,,,,,
apmailhk.kkr.com,Not Found,404,1637,apmailhk.kkr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-14T17:34:28Z,2024-04-26T07:40:26Z,CN=*.sso.kkr.com,*.sso.kkr.com,sso.kkr.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",4eced77e68bf9b4c7bcdb68e6897a462,8abaf432e7713cffb83f9ef775be1bc83ea9d34361f1ac94d5389ec4cdd9d82c,ctls,apmailhk.kkr.com,,443,https://apmailhk.kkr.com:443,https,,text/html,GET,203.193.8.54,/,681743650,203.193.8.54,,54,False,,True,True,,,,
