new,host,ttl,cname,soa,caa,status_code,a,aaaa,mx,ns,txt
[x],ai.celo.org,30,,"{'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,54.194.41.141,,,,
[x],celo.org,300,,"{'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"104.18.14.71, 104.18.15.71","2606:4700::6812:f47, 2606:4700::6812:e47","alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","pat.ns.cloudflare.com, benedict.ns.cloudflare.com","bw=JpNELKSeEuPDvrRvZcgpsyqN9C5Im+FqKaK8P2fsqPlB, atlassian-domain-verification=g5brljbDAqHE21KKb64OQSiD1ewXI63kBteauz/hGGd4CjMkc2rbjSyhNqN6t8aY, docusign=14a670ec-5a0b-41f9-8dad-21933af7e984, google-site-verification=Nii2EvbgJGIuszTuKGyasEJLIVAie71V72zPkJiyzLk, v=spf1 include:_spf.google.com -all, ca3-7d28690279e144089cd066295d9b14ad, rm_verify=44dd8f6816, google-site-verification=2skQTvMACPhGlNarm7AxwGUXq5Cy1i3WoI4mcePYz1c, apple-domain-verification=R2sk6dl6x5Se6gb0, google-site-verification=IYZZbwDItkRRATq-7O6qq1nvbENgf63baIRi2FX8amw, google-site-verification=XtwGgEFWBsqD2_OrfMwKwTP0kxki02gQO7Joh2iwOWM, ca3-1d1eeb6e1b6642a3b66fc4879cedbba4, notion_verify_m7grqn4XD6ikgXjtTQqDBZuBRzqtZHCVYdZdkJkRkF4orApZwZEBExvrTduWx2VCu3yRtr"
[x],elink5eb.email.celo.org,60,branded-link.beehiiv.com,"{'name': 'beehiiv.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364601854, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'beehiiv.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364601854, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'beehiiv.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364601854, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'beehiiv.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364601854, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"104.18.68.40, 104.18.69.40","2606:4700::6812:4428, 2606:4700::6812:4528",,,
[x],newsletter.celo.org,180,cname.beehiiv.com,"{'name': 'beehiiv.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364601854, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'beehiiv.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364601854, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'beehiiv.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364601854, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"104.18.68.40, 104.18.69.40","2606:4700::6812:4528, 2606:4700::6812:4428",,,
,blog.celo.org,300,,"{'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"162.159.153.4, 162.159.152.4",,,,
,bloom.celo.org,300,,"{'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,54.194.41.141,,,,
,brave.celo.org,300,cname.vercel-dns.com,"{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,"76.76.21.61, 66.33.60.67",,,,
,chat.celo.org,300,,"{'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"104.18.14.71, 104.18.15.71","2606:4700::6812:e47, 2606:4700::6812:f47",,,
,creatorsfund.celo.org,300,,"{'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"104.18.14.71, 104.18.15.71",,,,
,developers.celo.org,300,,"{'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'celo.org', 'ns': 'benedict.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2364839108, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,"162.159.152.4, 162.159.153.4",,,,
,docs.celo.org,300,celo-docs.netlify.app,"{'name': 'netlify.app', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664979656, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 300}, {'name': 'netlify.app', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664979656, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 300}, {'name': 'netlify.app', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664979656, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 300}, {'name': 'netlify.app', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664979656, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 300}, {'name': 'netlify.app', 'ns': 'dns1.p01.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1664979656, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 300}",,NOERROR,"3.75.10.80, 3.124.100.143","2a05:d014:58f:6200::65, 2a05:d014:58f:6201::65",,,
