input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,knowledgebase_PageType,knowledgebase_pHash,tls_mismatched,csp_domains_,favicon,final_url,cdn_name,cdn,location,tls_wildcard_certificate
aio-testing.nextcloud.com,Login – Nextcloud,200,25681,aio-testing.nextcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-14T14:36:44Z,2025-04-14T14:36:43Z,CN=aio-testing.nextcloud.com,aio-testing.nextcloud.com,aio-testing.nextcloud.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,597d2f8dd893f40c45c2ee1ed78171f4,2185564e3446ab5803b774ade9c9815e7d3ee7249ca4a9b5acafb4ebe660e44a,ctls,aio-testing.nextcloud.com,443,https://aio-testing.nextcloud.com,https,,text/html,GET,65.108.215.1,/,/apps/theming/favicon,2a01:4f9:c010:6870::1,PHP,93,False,nonerror,0,,https://aio-testing.nextcloud.com,1463428994,https://aio-testing.nextcloud.com/login,,,,
alexanderm2.ltd3.nextcloud.com,Login – Office-X Cloud,200,28030,alexanderm2.ltd3.nextcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-21T15:08:06Z,2025-03-21T15:08:05Z,CN=alexanderm2.ltd3.nextcloud.com,alexanderm2.ltd3.nextcloud.com,alexanderm2.ltd3.nextcloud.com,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,c0f45b52c6284a684fe2ada29c00bf26,0f505dfd3e3cffa7f9d91152ac35f08b26c2e5ebc69c747103a15d27380e60c9,ctls,alexanderm2.ltd3.nextcloud.com,443,https://alexanderm2.ltd3.nextcloud.com,https,Caddy,text/html,GET,95.216.37.161,/,/apps/theming/favicon,2a01:4f9:2a:25de::2,PHP,93,False,nonerror,0,,wss://alexanderm2.ltd3.nextcloud.com,2029477601,https://alexanderm2.ltd3.nextcloud.com/login,,,,
amf.ltd2.nextcloud.com,Login – Nextcloud,200,24781,AMF.ltd2.nextcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-24T10:24:12Z,2025-04-24T10:24:11Z,CN=amf.ltd2.nextcloud.com,amf.ltd2.nextcloud.com,amf.ltd2.nextcloud.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,06fee201305d1a2327eaec1800c47b94,6c0ccf8702b404a6f103a59b1506bf523da9af3aa18d4e0f00a2fd46b1071886,ctls,AMF.ltd2.nextcloud.com,443,https://amf.ltd2.nextcloud.com,https,Caddy,text/html,GET,37.27.104.209,/,/apps/theming/favicon,2a01:4f9:3070:1b62::2,PHP,91,False,nonerror,0,,https://*.tile.openstreetmap.org,1464934096,https://AMF.ltd2.nextcloud.com/login,,,,
amx.ltd3.nextcloud.com,Login – Claro drive,200,24716,amx.ltd3.nextcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-22T01:48:06Z,2025-03-22T01:48:05Z,CN=amx.ltd3.nextcloud.com,amx.ltd3.nextcloud.com,amx.ltd3.nextcloud.com,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,872b99bb3ec49e848f46f27817e533ff,9cad3076d28a63dfdf4e48f501b95b6da84d83777f31def34d8a15b451cacd7a,ctls,amx.ltd3.nextcloud.com,443,https://amx.ltd3.nextcloud.com,https,Caddy,text/html,GET,95.216.37.161,/,/apps/theming/favicon,2a01:4f9:2a:25de::2,PHP,91,False,nonerror,0,,turn.services.nextcloud.com:443,74053520,https://amx.ltd3.nextcloud.com/login,,,,
antitrust.nextcloud.com,EU tech sector fights for a Level Playing Field with Microsoft,200,57557,antitrust.nextcloud.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2025-01-17T01:03:39Z,2025-04-17T01:03:38Z,CN=antitrust.nextcloud.com,antitrust.nextcloud.com,antitrust.nextcloud.com,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,6e035d043ea54584fe9aae53765eea9a,dbe9f64adf6ebd4c53c18033c772737002e6ddbd916b1d6c1f4661f7aa723ac0,ctls,antitrust.nextcloud.com,443,https://antitrust.nextcloud.com,https,Apache/2.4.52 (Ubuntu),text/html,GET,95.217.53.145,/,/favicon.ico,2a01:4f9:2b:29dc::145,Ubuntu,760,False,other,0,,,,,,,,
apps.nextcloud.com,All apps - App Store - Nextcloud,200,421720,apps.nextcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-05T18:08:41Z,2025-04-05T18:08:40Z,CN=apps.nextcloud.com,apps.nextcloud.com,apps.nextcloud.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,412b91cd7907b32d1ae57b39dd41540c,c9c3261e14779c9d0cb1be4401b42eb788ff8e0c5554a4f2847a6cdb9c0d9c93,ctls,apps.nextcloud.com,443,https://apps.nextcloud.com,https,NCSA/1.42;,text/html,GET,65.21.231.50,/,/static/assets/img/favicon.png,2a01:4f9:6a:1de8::2,HTTP/3,7131,False,other,0,,https://github.com,1025511440,,,,,
ariane.ltd2.nextcloud.com,Login – Ariane Group,200,26385,ariane.ltd2.nextcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-31T14:14:11Z,2025-05-01T14:14:10Z,CN=ariane.ltd2.nextcloud.com,ariane.ltd2.nextcloud.com,ariane.ltd2.nextcloud.com,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,b03924ca87ed00bae890663ece912bd6,64b95fe6b81d3cbe78ada9ca68c8998b0417288fec90538e923904bed43f12f7,ctls,ariane.ltd2.nextcloud.com,443,https://ariane.ltd2.nextcloud.com,https,Caddy,text/html,GET,37.27.104.209,/,/apps/theming/favicon,2a01:4f9:3070:1b62::2,PHP,93,False,nonerror,0,,wss://ariane.ltd2.nextcloud.com,238367568,https://ariane.ltd2.nextcloud.com/login,,,,
auth.nextcloud.com,,404,53,auth.nextcloud.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2025-01-06T01:03:39Z,2025-04-06T01:03:38Z,CN=auth.nextcloud.com,auth.nextcloud.com,auth.nextcloud.com,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,fc1d15d4afbb0f471c7836b972dd7e4a,a6967dc77c775b4d5ca49f472c7e0d9e1c5e713c98cca5fb1779694dbd38a533,ctls,auth.nextcloud.com,443,https://auth.nextcloud.com,https,Apache/2.4.52 (Ubuntu),text/html,GET,176.9.217.50,/,/favicon.ico,2a01:4f8:130:32f1::50,Ubuntu,1,False,error,0,,,,,,,,
backport.bots.nextcloud.com,502 Bad Gateway,502,166,backport.bots.nextcloud.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2025-02-03T04:54:37Z,2025-05-04T04:54:36Z,CN=backport.bots.nextcloud.com,backport.bots.nextcloud.com,backport.bots.nextcloud.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,4977707242ac6be7988d8b32332b67b3,b9b33a8833ed9d8c824aa59f539035f0b84b2a7ed20ac39a5e824e65c4d53d1f,ctls,backport.bots.nextcloud.com,443,https://backport.bots.nextcloud.com,https,nginx/1.18.0 (Ubuntu),text/html,GET,176.9.217.58,/,/favicon.ico,2a01:4f8:130:32f1::58,Ubuntu,8,False,error,0,,,,,,,,
bastian.ltd.nextcloud.com,Login – Nextcloud,200,27738,bastian.ltd.nextcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-26T06:22:43Z,2025-04-26T06:22:42Z,CN=bastian.ltd.nextcloud.com,bastian.ltd.nextcloud.com,bastian.ltd.nextcloud.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,3a221d3ef88c84cd7bb9e4ece86b2c24,0d496a969a5e586930ffddd54adc09cb20e0c887c159be0b759bd03938260067,ctls,bastian.ltd.nextcloud.com,443,https://bastian.ltd.nextcloud.com,https,Caddy,text/html,GET,95.217.44.166,/,/apps/theming/favicon,2a01:4f9:2a:3119::2,PHP,93,False,nonerror,0,,turn.services.nextcloud.com:443,1242599000,https://bastian.ltd.nextcloud.com/login,,,,
