input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,webserver,final_url,csp_domains_
107-okta-redirector-metrics-s3p-nldev-v-v15-services.cpcontacts.payportal.net,404 Not Found,404,146,107-okta-redirector-metrics-s3p-nldev-v-v15-services.cpcontacts.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,107-okta-redirector-metrics-s3p-nldev-v-v15-services.cpcontacts.payportal.net,google,443,https://107-okta-redirector-metrics-s3p-nldev-v-v15-services.cpcontacts.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
114-111-16.hp.payportal.net,404 Not Found,404,146,114-111-16.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,114-111-16.hp.payportal.net,google,443,https://114-111-16.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
14-courier2.hp.payportal.net,404 Not Found,404,146,14-courier2.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,14-courier2.hp.payportal.net,google,443,https://14-courier2.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
155-9-172-60.hp.payportal.net,404 Not Found,404,146,155-9-172-60.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,155-9-172-60.hp.payportal.net,google,443,https://155-9-172-60.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
155-9-182-80.hp.payportal.net,404 Not Found,404,146,155-9-182-80.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,155-9-182-80.hp.payportal.net,google,443,https://155-9-182-80.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
155-9-199-67.hp.payportal.net,404 Not Found,404,146,155-9-199-67.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,155-9-199-67.hp.payportal.net,google,443,https://155-9-199-67.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
155-9-202-84.hp.payportal.net,404 Not Found,404,146,155-9-202-84.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,155-9-202-84.hp.payportal.net,google,443,https://155-9-202-84.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
155-9-208-47.hp.payportal.net,404 Not Found,404,146,155-9-208-47.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,155-9-208-47.hp.payportal.net,google,443,https://155-9-208-47.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
155-9-210-41.hp.payportal.net,404 Not Found,404,146,155-9-210-41.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,155-9-210-41.hp.payportal.net,google,443,https://155-9-210-41.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
155-9-211-51.hp.payportal.net,404 Not Found,404,146,155-9-211-51.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-07-30T03:29:41Z,2024-07-29T03:29:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,853fca858fc5ba22415f0d1166176f96,658a5707a8454764feae26aed1d65a4c48e37489a86ff526d4221b55ee48e1be,ctls,155-9-211-51.hp.payportal.net,google,443,https://155-9-211-51.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True,,,,
