input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_expired,final_url,cdn_name,cdn,location,tls_self_signed
abholung-online.post.ch,Abholungen nach Bedarf,200,18913,abholung-online.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:38:40Z,2024-03-13T09:38:40Z,"CN=abholung-online.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",abholung-online.post.ch,Post CH AG,abholung-online2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,e7d2a7b294f63d0daba9e1b02d5aa251,5fe7e65be54a99aaa84512b7a75ac6db635dd48637d1e5f1cda0e581c61aab8c,ctls,abholung-online.post.ch,443,https://abholung-online.post.ch:443,https,Delivery1,text/html,GET,194.41.184.146,/,1694469138,194.41.184.146,Sitecore,401,False,,,,,https://abholung-online.post.ch/de,,,,
abholung-online1.post.ch,Abholungen nach Bedarf,200,18923,abholung-online1.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:38:40Z,2024-03-13T09:38:40Z,"CN=abholung-online.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",abholung-online.post.ch,Post CH AG,abholung-online2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,e7d2a7b294f63d0daba9e1b02d5aa251,5fe7e65be54a99aaa84512b7a75ac6db635dd48637d1e5f1cda0e581c61aab8c,ctls,abholung-online1.post.ch,443,https://abholung-online1.post.ch:443,https,Delivery1,text/html,GET,194.41.190.114,/,1694469138,194.41.190.114,Sitecore,401,False,,,,,https://abholung-online1.post.ch/de,,,,
abholung-online2.post.ch,Abholungen nach Bedarf,200,18923,abholung-online2.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:38:40Z,2024-03-13T09:38:40Z,"CN=abholung-online.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",abholung-online.post.ch,Post CH AG,abholung-online2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,e7d2a7b294f63d0daba9e1b02d5aa251,5fe7e65be54a99aaa84512b7a75ac6db635dd48637d1e5f1cda0e581c61aab8c,ctls,abholung-online2.post.ch,443,https://abholung-online2.post.ch:443,https,Delivery2,text/html,GET,194.41.190.122,/,1694469138,194.41.190.122,Sitecore,401,False,,,,,https://abholung-online2.post.ch/de,,,,
abholung-onlineint.post.ch,Die Post - HTTP Fehlerseite,401,5601,abholung-onlineint.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:09:11Z,2024-03-07T14:09:11Z,"CN=abholung-onlineint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",abholung-onlineint.post.ch,Post CH AG,abholung-onlineint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,fb88edc3ef7884ded3c85bd72948339f,0a37d28683793342c168a89fc289a11808b4ac4dbc23b530b50713ae0bacc5e4,ctls,abholung-onlineint.post.ch,443,https://abholung-onlineint.post.ch:443,https,Apache,text/html,GET,194.41.248.153,/,-721619264,194.41.248.153,HSTS,176,False,,,,,,,,,
abholung-onlineint2.post.ch,Die Post - HTTP Fehlerseite,401,5601,abholung-onlineint2.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:09:11Z,2024-03-07T14:09:11Z,"CN=abholung-onlineint.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",abholung-onlineint.post.ch,Post CH AG,abholung-onlineint2.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,fb88edc3ef7884ded3c85bd72948339f,0a37d28683793342c168a89fc289a11808b4ac4dbc23b530b50713ae0bacc5e4,ctls,abholung-onlineint2.post.ch,443,https://abholung-onlineint2.post.ch:443,https,Apache,text/html,GET,194.41.255.32,/,861819516,194.41.255.32,HSTS,176,False,,,,,,,,,
accounttest.post.ch,302 Found,302,317,accounttest.post.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T11:41:11Z,2024-04-03T11:41:11Z,"CN=accounttest.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",accounttest.post.ch,Post CH AG,accounttest.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,f1eb3340274ac1bea6c237a99fb1ebf0,8a5d1bd70ffee45159e62b39d7e67a1d61cde89767b9e34d8996877ca24159ca,ctls,accounttest.post.ch,443,https://accounttest.post.ch:443,https,Apache,text/html,GET,194.41.253.70,/,697268162,194.41.253.70,hCaptcha,8,False,,,*.analytics.google.com,,https://accounttest.post.ch/selfadmin/?login,,,https://accounttest.post.ch/selfadmin/?login,
adfspext.post.ch,Not Found,404,315,adfspext.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-13T08:43:43Z,2024-03-13T08:43:43Z,"CN=adfspext.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",adfspext.post.ch,Post CH AG,adfspext.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,3cf0549913ae59d0ca447330ab3e095d,de415a711513f8207c8f241c4198cab0c7a38f5a0e29635ec5847d7e00c503e3,ctls,adfspext.post.ch,443,https://adfspext.post.ch:443,https,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,194.41.159.22,/,225052475,194.41.159.22,Microsoft HTTPAPI:2.0,7,False,,,,,,,,,
admin-int.meetonline.post.ch,meetonline-admin,200,1897,admin-int.meetonline.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-08-30T23:59:59Z,"CN=admin-int.meetonline.post.ch, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",admin-int.meetonline.post.ch,Microsoft Corporation,admin-int.meetonline.post.ch,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,efc0f8c3618d811bdbc0b8ba375ca543,553b9fc266c6677681a96ac63f5818d66b743a6e5e2073c1da8e717c4dfc86f2,ctls,admin-int.meetonline.post.ch,443,https://admin-int.meetonline.post.ch:443,https,,text/html,GET,13.107.237.45,/,-1679308822,2620:1ec:46::45,Azure Front Door,28,False,,,https://login.microsoftonline.com,,,,,,
admin.incamail-dev.post.ch,Site is down for maintenence,200,1782,admin.incamail-dev.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-27T07:53:46Z,2023-06-27T07:53:46Z,"CN=*.incamail-dev.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",*.incamail-dev.post.ch,Post CH AG,*.incamail-dev.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,63d66fc9fe0a6ded36851e254ade3868,9e3ca029c8bf426b60db7bcae80591bb511410292f5d687949e56c6e5be3e941,ctls,admin.incamail-dev.post.ch,443,https://admin.incamail-dev.post.ch:443,https,Apache,text/html,GET,194.41.248.224,/,1694469138,194.41.248.224,HSTS,52,False,,True,,,,,,,
admin.places.post.ch,Die Post - HTTP Fehlerseite,404,4561,admin.places.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-21T07:57:09Z,2023-07-21T07:57:09Z,"CN=admin.places.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",admin.places.post.ch,Post CH AG,admin.places.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,422d2b9ce83151c0e9e98a624b3d9d08,41fe1e7b3dcee1a7a66815676ccd0229761a7ab734235d91c1c7979234800375,ctls,admin.places.post.ch,443,https://admin.places.post.ch:443,https,Apache,text/html,GET,194.41.184.75,/,318323496,194.41.184.75,HSTS,157,False,,,,,,,,,
adonis.post.ch,Die Post - HTTP Fehlerseite,401,5608,adonis.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-10T13:39:49Z,2023-11-10T13:39:49Z,"CN=adonis.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",adonis.post.ch,Post CH AG,adonis.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,248ed3c7b6cd0532b5c28a566e869342,826e43ad433114423dac8a8ccb6dc6acb0db5391eb341cdfbbca07e055890f96,ctls,adonis.post.ch,443,https://adonis.post.ch:443,https,Apache,text/html,GET,194.41.184.56,/,318323496,194.41.184.56,HSTS,176,False,,,,,https://adonis.post.ch/ADONIS/,,,,
adp.post.ch,Not Found,404,315,adp.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-13T08:03:16Z,2024-02-13T08:03:16Z,"CN=adp.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",adp.post.ch,Post CH AG,adp.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,2b187570383cdbd14232fa2e0aabac8d,e2970c97cdd44f395bdedaf71f3daac602e40e0711a7ad1cd9900e0b72d040c2,ctls,adp.post.ch,443,https://adp.post.ch:443,https,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,194.41.222.135,/,225052475,194.41.222.135,Microsoft HTTPAPI:2.0,7,False,,,,,,,,,
