input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,csp_domains_,final_url
account.hy-vee.com,Just a moment...,403,6999,accounts.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,accounts.hy-vee.com,cloudflare,443,https://account.hy-vee.com:443,https,cloudflare,text/html,GET,104.18.226.188,/,-6797548,2606:4700::6812:e3bc,Cloudflare Bot Management,88,False,True,"Cloudflare, Inc.",True,,https://accounts.hy-vee.com
api.hy-vee.com,,403,16,api.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,api.hy-vee.com,cloudflare,443,https://api.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.226.188,/,1253481126,2606:4700::6812:e1bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
celebratedev.hy-vee.com,,403,16,celebratedev.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,celebratedev.hy-vee.com,cloudflare,443,https://celebratedev.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.225.188,/,1268003052,2606:4700::6812:e3bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
chrwms.hy-vee.com,,403,16,chrwms.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,chrwms.hy-vee.com,cloudflare,443,https://chrwms.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.229.188,/,1253481126,2606:4700::6812:e3bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
cms-qa.hy-vee.com,,403,16,cms-qa.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,cms-qa.hy-vee.com,cloudflare,443,https://cms-qa.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.227.188,/,1253481126,2606:4700::6812:e2bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
cms.hy-vee.com,sanity-cms – Sanity,200,9414,cms.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,cms.hy-vee.com,cloudflare,443,https://cms.hy-vee.com:443,https,cloudflare,text/html,GET,104.18.228.188,/,895775386,2606:4700::6812:e3bc,Envoy,130,False,True,"Cloudflare, Inc.",True,,
confluence-test.hy-vee.com,Hy-Vee - Sign In,200,16797,hy-vee.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,ctls,hy-vee.okta.com,cloudflare,443,https://confluence-test.hy-vee.com:443,https,nginx,text/html,GET,104.18.227.188,/,,2606:4700::6812:e3bc,Nginx,464,False,True,"Okta, Inc.",True,app.pendo.io,https://hy-vee.okta.com/login/login.htm?fromURI=%2Fapp%2Fconfluence_onprem%2Fexk8tyq8biFsxFX5y4x7%2Fsso%2Fsaml%2F3.1.5%3FRelayState%3Dhttps%253A%252F%252Fconfluence-test.hy-vee.com%252Findex.action%26useRedirects%3Dtrue
confluence.hy-vee.com,,403,16,confluence.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,confluence.hy-vee.com,cloudflare,443,https://confluence.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.228.188,/,1253481126,2606:4700::6812:e4bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
content-dev.hy-vee.com,,403,16,content-dev.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,content-dev.hy-vee.com,cloudflare,443,https://content-dev.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.226.188,/,1268003052,2606:4700::6812:e5bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
content-prod.hy-vee.com,Not Found,404,1500,content-prod.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,content-prod.hy-vee.com,cloudflare,443,https://content-prod.hy-vee.com:443,https,cloudflare,text/html,GET,104.18.226.188,/,225052475,2606:4700::6812:e5bc,Cloudflare Bot Management,7,False,True,"Cloudflare, Inc.",True,,
