input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,tls_mismatched,cdn_name,cdn,tls_subject_org_
asm.bitdiscovery.com,,500,37,https://api-iam.intercom.io,asm.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,asm.bitdiscovery.com,443,https://asm.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,52.8.10.117,/,706918670,54.177.207.125,Nginx:1.18.0,1,False,,,,,
assetreport.bitdiscovery.com,The Bit Discovery Internet Asset Inventory Report,200,6210,,assetreport.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,assetreport.bitdiscovery.com,443,https://assetreport.bitdiscovery.com:443,https,Apache/2.4.53 (Amazon),text/html,GET,50.18.198.14,/,-1602564924,54.176.150.88,Node.js,188,False,https://assetreport.bitdiscovery.com/industry/internet,,,,
bitdiscovery.com,Tenable - Attack Surface Management,200,6274,https://www.googletagmanager.com,bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,bitdiscovery.com,443,https://bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,54.177.207.125,/,-1840324437,52.8.10.117,Nginx:1.18.0,141,False,,,,,
blog.bitdiscovery.com,,200,209,URL='https://www.tenable.com/blog',blog.bitdiscovery.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-01T23:59:59Z,CN=blog.bitdiscovery.com,blog.bitdiscovery.com,blog.bitdiscovery.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,982c0fd0f869e936b0f11d807e5f1632,ded260490c4cc933551a12ad767e416975aa92625fa0476b9177bc5eac78b782,,ctls,blog.bitdiscovery.com,443,https://blog.bitdiscovery.com:443,https,AmazonS3,text/html,GET,13.32.27.37,/,-1602564924,13.32.27.109,Amazon Web Services,3,False,,,cloudfront,True,
chubb.bitdiscovery.com,Chubb - Attack Surface Management,200,4246,https://app.pendo.io,chubb.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,chubb.bitdiscovery.com,443,https://chubb.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,54.177.207.125,/,-1069963161,52.8.10.117,Nginx:1.18.0,112,False,,,,,
dev.bitdiscovery.com,Tenable - Attack Surface Management,200,6274,https://*.tenable.com,dev.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,dev.bitdiscovery.com,443,https://dev.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,13.57.104.195,/,-1840324437,52.52.212.184,Nginx:1.18.0,141,False,,,,,
events.bitdiscovery.com,It's a NaN-Issue,200,7992,,events.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,events.bitdiscovery.com,443,https://events.bitdiscovery.com:443,https,Apache/2.4.53 (Amazon),text/html,GET,52.52.15.250,/,-1602564924,52.52.16.164,Node.js,237,False,https://events.bitdiscovery.com/nan-issue-webinar,,,,
https://api-iam.intercom.io,Making Internet Business Personal | Intercom,200,972754,dc.ads.linkedin.com,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,443,https://api-iam.intercom.io:443,https,nginx,text/html,GET,18.214.139.48,/,-1840324437,3.208.133.249,Nginx,12,False,https://www.intercom.com/,,,,
https://api.amplitude.com,,400,13,,api.amplitude.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-14T23:59:59Z,CN=*.amplitude.com,*.amplitude.com,amplitude.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,4666e0796ab29d5bbff77ea132d95ee2,b6fb73c2f4a87e5f215e1fd93dcfbdfe444fbd5254fb16a2eeef91fbcbeca6a0,True,ctls,api.amplitude.com,443,https://api.amplitude.com:443,https,,text/html,GET,52.34.159.22,/,-775619979,100.20.210.112,HSTS,1,False,,,,,
https://app.pendo.io,pendo.io,200,2443,,app.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:46:05Z,2023-09-14T01:42:00Z,CN=pendo.io,pendo.io,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,900e6766944486c762eb58ab1f7cdba0,ea305a8f289c8c4e29b58900113a21e5c91f73ae5b2f3851b585eca9d0378963,True,ctls,app.pendo.io,443,https://app.pendo.io:443,https,Google Frontend,text/html,GET,34.149.155.70,/,-2025924153,34.149.155.70,HTTP/3,1,False,,,google,True,
