new,host,ttl,soa,status_code,a,mx,txt
[x],mcssl.com,300,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"162.159.134.37, 162.159.133.37",mx.myregisteredsite.com,"spf2.0/pra ip4:209.17.125.0/24 -all, google-site-verification=13SYmIB3UFPXEjbFz4uNoBsto3OLgbGFvaxN0X16WYY, v=spf1 ip4:209.17.125.0/24 -all"
,911.mcssl.com,300,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,209.17.119.201,,
,crm.mcssl.com,300,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,209.17.119.185,,
,inbound01.mcssl.com,1798,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,inbound02.mcssl.com,300,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,209.17.126.102,,
,inbound03.mcssl.com,300,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,209.17.126.103,,
,inbound04.mcssl.com,300,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,209.17.126.104,,
,inbound05.mcssl.com,300,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,209.17.126.105,,
,inbound06.mcssl.com,115,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,209.17.126.106,,
,opt1.mcssl.com,289,"{'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'mcssl.com', 'ns': 'heidi.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349172443, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,209.17.125.18,,
