new,host,a,cname,mx,soa,ns,txt,caa,status_code,aaaa
[x],10newelasticbeanstalk.qwantbot-178-168-187-194.qwant.com,"194.187.168.99, 185.136.96.98, 185.136.97.98, 185.136.98.98, 185.136.99.98",qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns23.cloudns.net, gns24.cloudns.net, gns21.cloudns.net, gns22.cloudns.net","Dv9-b7p-47M, apple-domain-verification=p4IYUqjmTB4BXLwx, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all, MS=ms90901364","sectigo.com, letsencrypt.org",NOERROR,
[x],155-9-185-33.qwantbot-178-168-187-194.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns21.cloudns.net, gns22.cloudns.net, gns23.cloudns.net, gns24.cloudns.net","Dv9-b7p-47M, MS=ms90901364, apple-domain-verification=p4IYUqjmTB4BXLwx, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all","letsencrypt.org, sectigo.com",NOERROR,
[x],155-9-187-80.qwantbot-178-168-187-194.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns24.cloudns.net, gns21.cloudns.net, gns22.cloudns.net, gns23.cloudns.net","Dv9-b7p-47M, MS=ms90901364, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, apple-domain-verification=p4IYUqjmTB4BXLwx, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all","sectigo.com, letsencrypt.org",NOERROR,
[x],155-9-191-77.qwantbot-178-168-187-194.qwant.com,"194.187.168.99, 185.136.96.98, 185.136.97.98, 185.136.98.98, 185.136.99.98",qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns21.cloudns.net, gns23.cloudns.net, gns22.cloudns.net, gns24.cloudns.net","MS=ms90901364, apple-domain-verification=p4IYUqjmTB4BXLwx, Dv9-b7p-47M, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA","sectigo.com, letsencrypt.org",NOERROR,
[x],155-9-203-87.qwantbot-178-168-187-194.qwant.com,"194.187.168.99, 185.136.96.98, 185.136.97.98, 185.136.98.98, 185.136.99.98",qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns22.cloudns.net, gns24.cloudns.net, gns21.cloudns.net, gns23.cloudns.net","Dv9-b7p-47M, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, MS=ms90901364, apple-domain-verification=p4IYUqjmTB4BXLwx, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all","sectigo.com, letsencrypt.org",NOERROR,
[x],155-9-207-62.search.qwant.com,194.187.168.99,qwant.com,,"gns21.cloudns.net, support.cloudns.net",,,"letsencrypt.org, sectigo.com",NOERROR,
[x],155-9-51-80.qwantbot-178-168-187-194.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns22.cloudns.net, gns24.cloudns.net, gns21.cloudns.net, gns23.cloudns.net","v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all, Dv9-b7p-47M, apple-domain-verification=p4IYUqjmTB4BXLwx, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, MS=ms90901364","sectigo.com, letsencrypt.org",NOERROR,
[x],155-9-56-91.search.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns24.cloudns.net, gns21.cloudns.net, gns22.cloudns.net, gns23.cloudns.net","apple-domain-verification=p4IYUqjmTB4BXLwx, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all, Dv9-b7p-47M, MS=ms90901364","sectigo.com, letsencrypt.org",NOERROR,
[x],155-9-62-86.qwantbot-178-168-187-194.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns23.cloudns.net, gns22.cloudns.net, gns24.cloudns.net, gns21.cloudns.net","apple-domain-verification=p4IYUqjmTB4BXLwx, MS=ms90901364, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all, Dv9-b7p-47M, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA","letsencrypt.org, sectigo.com",NOERROR,
[x],155-9-75-15.search.qwant.com,,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns21.cloudns.net, gns22.cloudns.net, gns24.cloudns.net, gns23.cloudns.net",,,NOERROR,
[x],17-121-113-12.search.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns23.cloudns.net, gns22.cloudns.net, gns21.cloudns.net, gns24.cloudns.net","v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all, MS=ms90901364, Dv9-b7p-47M, apple-domain-verification=p4IYUqjmTB4BXLwx, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA","letsencrypt.org, sectigo.com",NOERROR,
[x],17-121-113-38.qwantbot-178-168-187-194.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns23.cloudns.net, gns22.cloudns.net, gns24.cloudns.net, gns21.cloudns.net","MS=ms90901364, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, Dv9-b7p-47M, apple-domain-verification=p4IYUqjmTB4BXLwx, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all","sectigo.com, letsencrypt.org",NOERROR,
[x],17-121-113-78.qwantbot-178-168-187-194.qwant.com,194.187.168.99,qwant.com,qwant-com.mail.protection.outlook.com,"gns21.cloudns.net, support.cloudns.net","gns21.cloudns.net, gns22.cloudns.net, gns23.cloudns.net, gns24.cloudns.net","Dv9-b7p-47M, MS=ms90901364, apple-domain-verification=p4IYUqjmTB4BXLwx, google-site-verification=NcOr9SlS_5_ozLbftZgGKfMjASv7Ob2a7m02z7AtrFA, v=spf1 ip4:194.187.168.35 ip4:194.187.168.37 ip4:194.187.168.38 ip4:94.23.181.132 ip4:52.28.158.135 ip4:52.29.12.146 include:spf.protection.outlook.com -all","letsencrypt.org, sectigo.com",NOERROR,
