new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,has_internal_ips,internal_ips
,apps1-ny4-vip.finra.org,75.98.60.122,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,apps1.qa.finra.org,198.202.240.24,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,ats.finra.org,"104.18.7.135, 104.18.6.135","2606:4700::6812:787, 2606:4700::6812:687",otctransparency.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,authsyn.dev.finra.org,34.228.181.134,,authsyn.finrastratusd.org,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1343.awsdns-39.org, ns-2004.awsdns-58.co.uk, ns-254.awsdns-31.com, ns-581.awsdns-08.net",,
,authsyn.finra.org,"104.18.19.64, 104.18.18.64",,authsyn.finra.org.cdn.cloudflare.net,,NOERROR,True,cloudflare,,,,,
,autodiscover.finra.org,198.202.240.193,,outlook.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,bff.dev.finra.org,,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,bff.finra.org,,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,bff.qa.finra.org,,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,blotterchat.finra.org,75.98.61.85,,fixmypc.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,blshts.qa.finra.org,,,,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,
,box.finra.org,,,"reg.finra.org, reg.finra.org.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,box.qa.finra.org,"104.18.26.139, 104.18.27.139","2606:4700::6812:1b8b, 2606:4700::6812:1a8b","reg.qa.finra.org, reg.qa.finra.org.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,brokercheck.qa.finra.org,"104.18.15.81, 104.18.14.81","2606:4700::6812:f51, 2606:4700::6812:e51",brokercheck.qa.finra.org.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,"edns1.ultradns.com, edns1.ultradns.net, edns1.ultradns.biz, edns1.ultradns.org, ns33.ultradns2.com, ns33.ultradns2.org",,
