new,host,ttl,a,soa,status_code,cname,ns,txt,aaaa,cdn,cdn-name,mx,has_internal_ips,internal_ips
[x],ah-erwin-schmidt.bmw.de,86400,,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-fett-wirtz.bmw.de,86400,,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-hakvoort.bmw.de,2526,160.46.244.54,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-herrnleben.bmw.de,86400,160.46.244.54,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-kammann.bmw.de,43200,160.46.244.54,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-karl-co.bmw.de,86400,160.46.244.54,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-konrad-fink.bmw.de,34511,160.46.244.54,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-krauth.bmw.de,86400,160.46.244.54,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-lange.bmw.de,84193,160.46.244.54,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
[x],ah-langenhan.bmw.de,86400,160.46.244.54,"{'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}, {'name': 'bmwgroup.com', 'ns': 'ns.bmw.de', 'mailbox': 'domadm.bmw.de', 'serial': 2011125797, 'refresh': 10800, 'retry': 3600, 'expire': 2592000, 'minttl': 900}",NOERROR,redirect.bmwgroup.com,,,,,,,,
