new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,mx,ns
[x],tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,tva-gov.mail.protection.outlook.com,"lina.ns.cloudflare.com, tanner.ns.cloudflare.com"
,autos.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,bpr.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,canoe.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,conhire.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,connect.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,connection.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,connections.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,crsg-training.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,crsg.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.237, 104.18.33.19","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,ctr.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,ctracc.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.237, 104.18.33.19","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,ctrportal.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,ctrportalacc.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,customer-supplierregistration.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,customer.supplierregistration.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,eam.glbx.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,ehb.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,eris.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,ers.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,facts.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,152.85.5.157,,,,facts.cflb.tva.com,,
,glbx.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,joa.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,jobs.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.237, 104.18.33.19","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,lakeinfo.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.237, 104.18.33.19","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,lcn.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,lightson.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,m.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,mdm.glbx.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,megasite.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,microsoft.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,multi.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,my.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,naspi.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,pb.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,pba.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,planeteenfolie.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,pq.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.237, 104.18.33.19","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,pqm.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.237, 104.18.33.19","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,psoportal.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.237, 104.18.33.19","2606:4700:4400::ac40:9aed, 2606:4700:4400::6812:2113",True,cloudflare,,,
,ptmain.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,ptsolaris.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,ptwinnt.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,quebec2007.canoe.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,recreation.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,reports.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,reseau.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,rsoca.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,sitedown.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,supplier.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",True,cloudflare,,,
,supplierregistration.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,tro.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237",,True,cloudflare,,,
,viqs.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,w.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,wcss.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.237, 104.18.33.19","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,ws.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.19, 172.64.154.237","2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,www.bpr.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.crsg-training.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.crsg.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.ctr.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.ctrportal.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.customer-supplierregistration.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.customer.supplierregistration.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.ehb.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.erem.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.glbx.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.investmentchallenge.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.joa.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.lecercle.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.psoportal.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.shopping.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.supplierregistration.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.tetesaclaqes.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.toutsimlementolcdine.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700:4400::6812:2113, 2606:4700:4400::ac40:9aed",True,cloudflare,,,
,www.usgov.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.viqs.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.wcss.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,www.wstest.tva.com,"lina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
