input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,tls_subject_org_,csp_domains_
*.myshopify.com,Create an Ecommerce Website and Sell Online! Ecommerce Software by Shopify,404,9078,myshopify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-21T23:59:59Z,"CN=myshopify.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",myshopify.com,account.myshopify.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",444c49d7069acc19b8e6de98e4c9dbfa,b05547cb6ea4c384997f4b1b839b8aaeaa1cd37855ac0aa1bfb47b4d370a3eee,True,ctls,myshopify.com,,443,https://myshopify.com:443,https,cloudflare,text/html,GET,23.227.38.32,/,-1840324437,,23.227.38.32,Shopify,155,False,,,,"Cloudflare, Inc.",
admin.shopify.com,,200,234,admin.shopify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-24T11:39:15Z,2023-08-22T11:39:14Z,CN=admin.shopify.com,admin.shopify.com,admin.shopify.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba302f7256a5e33fc7b78ff4348232f9,f1c1fa5e0fc1d3af4a9da7d6f65b0553eba8ca29d3a02f29d258a2bebebefe32,,ctls,admin.shopify.com,,443,https://admin.shopify.com:443,https,cloudflare,text/html,GET,23.227.38.33,/,-1132923558,,23.227.38.33,hCaptcha,8,False,,,,,c.paypal.com
alerts.rewind.com,,200,1592,alerts.rewind.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-06-15T23:59:59Z,CN=rewind.com,rewind.com,*.rewind.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8ba9301f220b7815e96e007bd3e9f679,c9542b7edd6d0b127e57158212410d44a6fb8d888cb53f46c42554a56aab8f86,True,ctls,alerts.rewind.com,cloudfront,443,https://alerts.rewind.com:443,https,AmazonS3,text/html,GET,13.225.78.57,/,885458574,,13.225.78.78,React,1,False,True,,,,
api.dev.rewind.com,,403,23,api.dev.rewind.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=*.dev.rewind.com,*.dev.rewind.com,dev.rewind.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b29b004617abda35572f276b2c08e6c,3de1e8ece836c390a0f71da891be22843f43b300695604d481ce186077e58b4a,True,ctls,api.dev.rewind.com,cloudfront,443,https://api.dev.rewind.com:443,https,,application/json,GET,18.66.122.107,/,968070783,,18.66.122.119,Amazon Web Services,1,False,True,,,,
app.dev.rewind.com,Rewind - SaaS Backups,200,33595,app.dev.rewind.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=*.dev.rewind.com,*.dev.rewind.com,dev.rewind.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b29b004617abda35572f276b2c08e6c,3de1e8ece836c390a0f71da891be22843f43b300695604d481ce186077e58b4a,True,ctls,app.dev.rewind.com,,443,https://app.dev.rewind.com:443,https,,text/html,GET,52.203.160.196,/,885458574,https://app.dev.rewind.com/users/sign_in,34.194.249.0,Ruby on Rails,137,False,,,,,http:
app.replay.sh,Install Rewind Staging,200,1386,app.replay.sh,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-11-24T23:59:59Z,CN=replay.sh,replay.sh,*.replay.sh,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a7197c5ff13db584a4cab332d400e038,91f6f8a89fccd1add6dbe1dd758f12534cea89482c570e47610bcfa09f9c399c,True,ctls,app.replay.sh,,443,https://app.replay.sh:443,https,,text/html,GET,44.198.113.234,/,885458574,https://app.replay.sh/login,3.233.181.200,HSTS,43,False,,,,,admin.shopify.com
app.rewind.com,Rewind - SaaS Backups,200,57865,app.rewind.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=*.rewind.com,*.rewind.com,rewind.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2484224e9825c887227950fcb0c7b87f,98231a77707966d55cb8c47748d9fdf8729629a0b2c87c80a0cf7d189e96e6a6,True,ctls,app.rewind.com,,443,https://app.rewind.com:443,https,,text/html,GET,52.205.244.83,/,885458574,https://app.rewind.com/users/sign_in,34.198.2.80,Ruby on Rails,285,False,,,,,app.rewind.com
auth.dev.rewind.com,Signin,200,4020,auth.dev.rewind.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=*.dev.rewind.com,*.dev.rewind.com,dev.rewind.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b29b004617abda35572f276b2c08e6c,3de1e8ece836c390a0f71da891be22843f43b300695604d481ce186077e58b4a,True,ctls,auth.dev.rewind.com,cloudfront,443,https://auth.dev.rewind.com:443,https,Server,text/html,GET,13.225.78.61,/,1101154029,,13.225.78.39,HSTS,135,False,True,,,,
auth.rewind.com,Signin,200,4020,auth.rewind.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=*.rewind.com,*.rewind.com,rewind.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2484224e9825c887227950fcb0c7b87f,98231a77707966d55cb8c47748d9fdf8729629a0b2c87c80a0cf7d189e96e6a6,True,ctls,auth.rewind.com,cloudfront,443,https://auth.rewind.com:443,https,Server,text/html,GET,52.222.214.10,/,1101154029,,52.222.214.46,HSTS,135,False,True,,,,
calc.dev.rewind.com,Downtime Cost Calculator,200,21239,calc.dev.rewind.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-06-15T23:59:59Z,CN=rewind.com,rewind.com,*.rewind.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f1e5389743df6f1219d720fa81e46051,e29ff738b4056feea46aa3b596ebc5d149e57a907e45eca8b517aac4c432dcd2,True,ctls,calc.dev.rewind.com,cloudfront,443,https://calc.dev.rewind.com:443,https,AmazonS3,text/html,GET,108.138.17.16,/,885458574,https://calc.dev.rewind.com/ecommerce-downtime,108.138.17.47,Google Tag Manager,73,False,True,,True,,
