new,host,ttl,a,aaaa,soa,status_code,cname,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],events.securityscorecard.com,300,146.75.118.133,,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",NOERROR,d.sni.global.fastly.net,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,,,
[x],gsnemail.securityscorecard.io,300,,,"{'name': 'wl104.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336931376, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl104.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336931376, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl104.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336931376, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl104.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336931376, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl104.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336931376, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,u34435103.wl104.sendgrid.net,,mx.sendgrid.net,v=spf1 ip4:198.37.159.181 -all,,,
[x],jp.securityscorecard.com,300,"104.16.226.80, 104.16.227.80","2606:4700::6810:e350, 2606:4700::6810:e250","{'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
[x],securityscorecard.com,300,"108.162.192.105, 172.64.32.105, 173.245.58.105, 108.162.193.192, 172.64.33.192, 173.245.59.192","2606:4700::6810:e350, 2606:4700::6810:e250, 2606:4700:50::adf5:3a69, 2803:f800:50::6ca2:c069, 2a06:98c1:50::ac40:2069, 2606:4700:58::adf5:3bc0, 2803:f800:50::6ca2:c1c0, 2a06:98c1:50::ac40:21c0","{'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"kirk.ns.cloudflare.com, dana.ns.cloudflare.com","alt3.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","v=spf1 include:securityscorecard.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email include:mktomail.com ~all, 0ed1fe018a443da7b7cdff4e2c9fd3b1d1725ae96e, google-site-verification=4Yd0sJRBSvFQBv7_XoSuI13wpU3nyMAcfI-W-T0qrAU, atlassian-domain-verification=VuPDkW1-7ToEJLnNyY7uDFOVcWu028CvH4ZKXqKGRLmbxogiQNuI44v5bPoliQPq, google-site-verification=Y9wuhLIIURnoK7bf5ANEX212FrnxOLfHSqH77-_jAJE, google-site-verification=EXIr8fnEYGVQ_U_anxtHE5oj7IBbyTowmHnOKaffEho, 0ed1fe018afbd2d650f6164ad09e93f8",,,
[x],securityscorecard.io,60,"18.239.83.31, 18.239.83.88, 18.239.83.114, 18.239.83.126",,"{'name': 'securityscorecard.io', 'ns': 'ns-1626.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'securityscorecard.io', 'ns': 'ns-1626.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'securityscorecard.io', 'ns': 'ns-1626.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"ns-245.awsdns-30.com, ns-846.awsdns-41.net, ns-1431.awsdns-50.org, ns-1626.awsdns-11.co.uk",,"atlassian-domain-verification=VuPDkW1-7ToEJLnNyY7uDFOVcWu028CvH4ZKXqKGRLmbxogiQNuI44v5bPoliQPq, docusign=5fc2be7b-d44d-4455-90b7-f178078ec759, drift-domain-verification=a1800b4f28d88576b630e69cd98dbe091ae3e87546ccf0118cc711a3eeaa0f3d, dropbox-domain-verification=qccdj261ntix, google-gws-recovery-domain-verification=37392224, google-gws-recovery-domain-verification=37401740, logmein-verification-code=5dc324ef-873b-4020-9f1d-7a691c04a6db, pendo-domain-verification=2228d7d3-9bca-4268-9b07-afd3ddd9baa3, v=BIMI1;l=https://bimi.entrust.net/securityscorecard.io/logo.svg;a=https://bimi.entrust.net/securityscorecard.io/certchain.pem, v=spf1 include:securityscorecard.io._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email include:mktomail.com ~all, 0ed1fe018abd88d6ec953d403a80017043ad92e12f, MS=ms29237670, ZOOM_verify_S5X_4NF0T4S1qmc3hm3Nxw, apple-domain-verification=zmFjOVKDlFGXo6rN",,,
[x],sqlhub.securityscorecard.io,170,,,"{'name': 'elb.us-east-1.amazonaws.com', 'ns': 'ns-1826.awsdns-36.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.us-east-1.amazonaws.com', 'ns': 'ns-1826.awsdns-36.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.us-east-1.amazonaws.com', 'ns': 'ns-1826.awsdns-36.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,"rubber-boar.aws-us-east-1-t-2112.cubecloudapp.dev, a39300393589742d19b6629547e8ef7e-4aac8579c92c664a.elb.us-east-1.amazonaws.com",,,,,,
,academy.securityscorecard.com,300,"141.193.213.11, 141.193.213.10",,"{'name': 'wpenginepowered.com', 'ns': 'darwin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336936067, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wpenginepowered.com', 'ns': 'darwin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336936172, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wpenginepowered.com', 'ns': 'darwin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336936172, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wpenginepowered.com', 'ns': 'darwin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336936172, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,wp.wpenginepowered.com,,,,,,
,academy2.securityscorecard.com,300,"104.16.227.80, 104.16.226.80","2606:4700::6810:e350, 2606:4700::6810:e250","{'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'securityscorecard.com', 'ns': 'dana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336875217, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,aig.atlas.securityscorecard.io,60,"3.160.150.49, 3.160.150.92, 3.160.150.90, 3.160.150.100",,"{'name': 'securityscorecard.io', 'ns': 'ns-1626.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'securityscorecard.io', 'ns': 'ns-1626.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'securityscorecard.io', 'ns': 'ns-1626.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'securityscorecard.io', 'ns': 'ns-1626.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,
,analytics.securityscorecard.io,300,"54.82.254.125, 18.204.69.180",,"{'name': '250analytics.com', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '250analytics.com', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '250analytics.com', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '250analytics.com', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,250analytics.com,"ns-1787.awsdns-31.co.uk, ns-281.awsdns-35.com, ns-663.awsdns-18.net, ns-1398.awsdns-46.org",,,,,
