input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,tech_,final_url,csp_domains_,cdn_name,cdn
*.conviva.com,Conviva | #1 in Streaming Analytics,200,60993,www.conviva.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-31T16:28:27Z,2023-08-29T16:28:26Z,CN=www.conviva.com,www.conviva.com,,www.conviva.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a907d8da2988220652d3786fa7a08382,06078248f98b3fd01332881690fbb4b231023eb880342d5603307fca89c30422,ctls,www.conviva.com,443,https://conviva.com:443,https,nginx,text/html,GET,104.198.99.79,/,-1840324437,35.199.182.204,805,False,,Yoast SEO:20.7,https://www.conviva.com/,,google,True
*.newrelic.com,"New Relic | Monitor, Debug and Improve Your Entire Stack",200,470077,newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,"New Relic, Inc.",newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,newrelic.com,443,https://newrelic.com:443,https,,text/html,GET,151.101.2.217,/,-422578660,151.101.194.217,5685,False,True,Varnish,,*.pathfactory.com,fastly,True
android-tv-integrity.clients.ott.showmax.com,Service Unavailable,503,267,android-tv-integrity.clients.ott.showmax.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-03-22T23:59:59Z,"CN=clients.ott.showmax.com, O=Sky UK Limited, L=Isleworth, C=GB",clients.ott.showmax.com,Sky UK Limited,sentry.clients.ott.showmax.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,975262c5ce7abfdf977dac44a1393e36,d3c8c470e09b36a64b24638088959aa1014c41f8c442e9de3d67f93b810a3711,ctls,android-tv-integrity.clients.ott.showmax.com,443,https://android-tv-integrity.clients.ott.showmax.com:443,https,AkamaiGHost,text/html,GET,95.100.158.50,/,-1458747983,2a02:26f0:1700:6::17d5:a18b,9,False,,,,,,
api-5.showmax.com,Showmax,200,6528,www.showmax.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-10T10:49:12Z,2024-03-13T10:49:12Z,CN=*.showmax.com,*.showmax.com,,showmax.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b1f4bfe62c7dbeb0a2f8b60d0d8b5358,ccdc42092182dbbd935d16988a972dcad05ede3d798832c2328fa5c53a6d06a8,ctls,www.showmax.com,443,https://api-5.showmax.com:443,https,,text/html,GET,18.168.28.22,/,,35.176.237.181,172,False,True,Ruby on Rails,https://www.showmax.com/v1.0/default/eng,,,
api.showmax.com,,404,82,api.showmax.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-10T10:49:12Z,2024-03-13T10:49:12Z,CN=*.showmax.com,*.showmax.com,,showmax.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b1f4bfe62c7dbeb0a2f8b60d0d8b5358,ccdc42092182dbbd935d16988a972dcad05ede3d798832c2328fa5c53a6d06a8,ctls,api.showmax.com,443,https://api.showmax.com:443,https,,application/json,GET,35.176.237.181,/,423543380,3.11.144.82,6,False,True,HSTS,,,,
appletv.clients.ott.showmax.com,,404,10,appletv.clients.ott.showmax.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-03-22T23:59:59Z,"CN=clients.ott.showmax.com, O=Sky UK Limited, L=Isleworth, C=GB",clients.ott.showmax.com,Sky UK Limited,sentry.clients.ott.showmax.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,975262c5ce7abfdf977dac44a1393e36,d3c8c470e09b36a64b24638088959aa1014c41f8c442e9de3d67f93b810a3711,ctls,appletv.clients.ott.showmax.com,80,http://appletv.clients.ott.showmax.com:80,http,AkamaiNetStorage,,GET,2.16.186.42,/,,2a02:26f0:1700:6::17d5:a191,2,False,,,https://appletv.clients.ott.showmax.com/,,,
atom-proton.ott.showmax.com,Access Denied,403,285,atom-proton.ott.showmax.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-11T00:00:00Z,2024-03-22T23:59:59Z,"CN=ott.showmax.com, O=Sky UK Limited, L=Isleworth, C=GB",ott.showmax.com,Sky UK Limited,click.messaging.showmax.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,3a879959aa563b6fdca63b3c5ac7d45f,068201a80b57e32b3e4568efb9145b0471e29e2364094ff6553b5c74966504d3,ctls,atom-proton.ott.showmax.com,443,https://atom-proton.ott.showmax.com:443,https,AkamaiGHost,text/html,GET,2.16.238.20,/,,2.16.238.17,10,False,,,,,,
atom.int-nft.ott.showmax.com,Access Denied,403,289,atom.int-nft.ott.showmax.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T00:00:00Z,2024-03-22T23:59:59Z,"CN=int-nft.ott.showmax.com, O=Sky UK Limited, L=Isleworth, C=GB",int-nft.ott.showmax.com,Sky UK Limited,content-tracing.disco.int-nft.ott.showmax.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ed82461470b03deb1ca7d479ceb99801,abd749cb85a2d27c2b772c3f914d5e75d10bc086db6cbabeaec60148ad66cbbf,ctls,atom.int-nft.ott.showmax.com,443,https://atom.int-nft.ott.showmax.com:443,https,AkamaiGHost,text/html,GET,2.16.186.27,/,,2.16.186.17,10,False,,,,,,
atom.ott.showmax.com,Access Denied,403,274,atom.ott.showmax.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-11T00:00:00Z,2024-03-22T23:59:59Z,"CN=ott.showmax.com, O=Sky UK Limited, L=Isleworth, C=GB",ott.showmax.com,Sky UK Limited,click.messaging.showmax.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,3a879959aa563b6fdca63b3c5ac7d45f,068201a80b57e32b3e4568efb9145b0471e29e2364094ff6553b5c74966504d3,ctls,atom.ott.showmax.com,443,https://atom.ott.showmax.com:443,https,AkamaiGHost,text/html,GET,2.16.186.32,/,,2.16.186.34,10,False,,,,,,
chat.showmax.com,Showmax Chat,200,5826,chat.showmax.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-10T10:49:12Z,2024-03-13T10:49:12Z,CN=*.showmax.com,*.showmax.com,,showmax.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b1f4bfe62c7dbeb0a2f8b60d0d8b5358,ccdc42092182dbbd935d16988a972dcad05ede3d798832c2328fa5c53a6d06a8,ctls,chat.showmax.com,443,https://chat.showmax.com:443,https,,text/html,GET,18.168.28.22,/,,35.176.237.181,193,False,True,HSTS,,,,
