input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,content_type,tls_mismatched,final_url,cdn_name,cdn,csp_domains_,tls_self_signed
401k.ual.com,United Login,200,5049,signon.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-01T00:00:00Z,2023-12-03T23:59:59Z,"CN=*.ual.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",*.ual.com,United Airlines Inc,ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,10ea5833c08b719a595cd6d97fef8db0,c6c1528843840448c868ef0171a5167684469b0b635594b3b93ca5b71ff27abc,ctls,signon.ual.com,443,https://401k.ual.com:443,https,Oracle-HTTP-Server,GET,23.215.22.102,/,895917408,23.215.22.102,Oracle HTTP Server,135,False,True,text/html,,https://signon.ual.com:443/oam/server/obrareq.cgi?encquery%3Dour6hht8nRigHHctxRp284zIGBMAFMDjIZ1dCtHrQzehPWs1Dpw9jEvVyXw1fs%2BZ9t0OgedCEeNm%2Bj%2FXZRuQGpbXylqK8XsYIUrjcSm1CdJDoXt3bDgCxGieBmgCgLGQgs%2FFPGegtvf%2BuCbKdlDvRRpVYzJ8bX8Pr4iOZOB7CAub1KwTX0gOtVYOFAJcLCTRkxuKyjVCURgXELQoM6jtyDejg5FpE48bd%2BhYBNSfgxjOUZC2G0q6HLRXAmmnvQDy%20agentid%3Dotd-webgate%20ver%3D1%20crmethod%3D2%26cksum%3D542d1b2dfdd31f9868f93f187bb553b1319d0073,,,/signon/pages/Error.jsp?message=expired,
accessedge.united.com,,404,78,accessedge.united.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-05-08T00:00:00Z,2024-05-10T23:59:59Z,"CN=accessedge.united.com, O=United Airlines\, Inc., L=Chicago, ST=Illinois, C=US",accessedge.united.com,"United Airlines, Inc.",avcon.unitedgroundexpress.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,307f75af4e88ee891dd3d7ff0cbe66b6,e0e053f3a66eb606192da7efc59cc922efb7737988aa5b9117d60556cf6b16aa,ctls,accessedge.united.com,443,https://accessedge.united.com:443,https,RTC/6.0,GET,209.87.119.30,/,-112719716,209.87.119.33,HSTS,4,False,,text/plain,,,,,,
activate.united.com,,204,,activate.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2018-01-02T00:00:00Z,2019-01-02T12:00:00Z,"CN=activate.united.com, OU=Technology, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",activate.united.com,United Airlines Inc,activate.united.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,010e408ccff41c021754a63250efa11d,e20a3d7980f409b76ad7708595be4871d62532ea621db028190be7d9c63925ce,ctls,activate.united.com,443,https://activate.united.com:443,https,nginx,GET,3.124.119.57,/,-1840324437,3.124.119.57,Nginx,1,False,,,,,,,,
activeagent.united.com,403 - Forbidden: Access is denied.,403,1233,activeagent.united.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2024-03-12T23:59:59Z,"CN=ucomapi.united.com, O=United Airlines\, Inc., L=Chicago, ST=Illinois, C=US",ucomapi.united.com,"United Airlines, Inc.",ucomapi.united.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9172ccb55c3ec5cae05048e5683b94c2,91a6ee8e07a224a46e06b0dd6cc3eb410e1a718a0151005af5dcdfd99c76e104,ctls,activeagent.united.com,443,https://activeagent.united.com:443,https,Microsoft-IIS/10.0,GET,12.169.195.153,/,1631801191,216.136.1.153,Windows Server,30,False,,text/html,True,,,,,
aiq-in.vacations.united.com,,404,18,aiq-in.vacations.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-07T00:00:00Z,2023-10-05T23:59:59Z,CN=alg-prod.actioniq.mr-in.com,alg-prod.actioniq.mr-in.com,,aiq-in.vacations.united.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,b6b95664c99a0107969142e75116520f,7fc4d7e602069e3de7a7f946396b5e944fa8fd58eab3ae225ac4d2925837973e,ctls,aiq-in.vacations.united.com,443,https://aiq-in.vacations.united.com:443,https,,GET,34.67.95.98,/,-429073533,34.67.95.98,HSTS,1,False,,text/plain,,,google,True,,
airporthubops-qa-authsvc.ual.com,,404,,airporthubops-qa-authsvc.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-01T00:00:00Z,2023-12-03T23:59:59Z,"CN=*.ual.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",*.ual.com,United Airlines Inc,ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,10ea5833c08b719a595cd6d97fef8db0,c6c1528843840448c868ef0171a5167684469b0b635594b3b93ca5b71ff27abc,ctls,airporthubops-qa-authsvc.ual.com,443,https://airporthubops-qa-authsvc.ual.com:443,https,,GET,23.212.202.113,/,-1840324437,23.212.202.113,IBM DataPower,1,False,True,,,,,,,
airtime.united.com,Invalid URL,400,209,airtime.united.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-08T00:00:00Z,2024-05-08T23:59:59Z,"CN=www.united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",www.united.com,United Airlines Inc,www.unitedairlines.co.uk,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,241777276b87adeb6e8b756eaf814a1f,c837dd1379e8ef4081e6003efed2c123fde8c3f8dfaad0d3d75915f6a9b09f65,ctls,airtime.united.com,443,https://airtime.united.com:443,https,AkamaiGHost,GET,104.119.145.60,/,754699816,104.119.145.60,,8,False,,text/html,True,,,,,
alpha.vacations.united.com,,200,139,alpha.vacations.united.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",alpha.vacations.united.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1852783ba41e79e0554a008750670ad3,8b08b72faa6c130a3e210b051f41730da85748513569cfe88c4d5899d3cd64d7,ctls,alpha.vacations.united.com,443,https://alpha.vacations.united.com:443,https,cloudflare,GET,104.18.16.8,/,782567373,2606:4700::6812:1108,Microsoft ASP.NET:4.0.30319,10,False,,text/html,,https://alpha.vacations.united.com/Error?errortypeid=0,cloudflare,True,,
aometrics.ual.com,,200,3121,samlsp.private.zscaler.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=samlsp.private.zscaler.com, O=Zscaler\, Inc., L=San Jose, ST=California, C=US",samlsp.private.zscaler.com,"Zscaler, Inc.",samlsp-bom5.private.zscaler.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f36e16f6c01589bda1b36374d4ac4341,4ff71a06d1cd296bc50872f2c9f159f98616f37ee05d092fa2b0a5248075cd20,ctls,samlsp.private.zscaler.com,443,https://aometrics.ual.com:443,https,,GET,18.194.144.26,/,-383826317,3.121.121.155,Java,26,False,,text/html,,https://samlsp.private.zscaler.com/auth/v2/login?ssotype=exporter&domain=global%2Eual%2Ecom&redrurl=https%3A%2F%2Fp%2Ezpa%2Dauth%2Enet%2FIevTunx4Bg%2Ffromsp%3Forigurl%3Dhttps%253A%252F%252Faometrics%252Eual%252Ecom%253A443%252F&ek=KmTWRERFjJE6ERI1UjnXx2tbXQsGCaeNnMS8oIptQoQ%3D&login_hint=&version=v2,,,,
api-cds-dr.ual.com,Invalid URL,400,208,api-cds-dr.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-01T00:00:00Z,2023-12-03T23:59:59Z,"CN=*.ual.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",*.ual.com,United Airlines Inc,ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,10ea5833c08b719a595cd6d97fef8db0,c6c1528843840448c868ef0171a5167684469b0b635594b3b93ca5b71ff27abc,ctls,api-cds-dr.ual.com,443,https://api-cds-dr.ual.com:443,https,AkamaiGHost,GET,23.215.22.102,/,1211924814,23.215.22.102,,8,False,True,text/html,,,,,,
