input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched
*.waze.com,"Driving directions, live traffic & road conditions updates - Waze",200,54414,www.waze.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T09:55:41Z,2023-08-15T10:48:33Z,CN=waze.com,waze.com,www.world.waze.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,00d48d1d039e66c54b87e5328359b013,e65ecf70ffad2b539136952bab1c7c55776d0414c7f03b1b7b4a39d9a0a2498a,ctls,www.waze.com,google,443,https://waze.com:443,https,Google Frontend,text/html,GET,130.211.9.172,/,-1283304251,130.211.9.172,HTTP/3,65,False,True,,,bid.g.doubleclick.net,https://www.waze.com/live-map/,
*.wikipedia.org,Wikipedia,200,73676,www.wikipedia.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-27T00:00:00Z,2023-11-17T23:59:59Z,"CN=*.wikipedia.org, O=Wikimedia Foundation\, Inc., L=San Francisco, ST=California, C=US",*.wikipedia.org,*.wikifunctions.org,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,635563c778bde896d4547b2c5810c018,95a6253cf5ba9e9c79c9e16674ae68da2899754393ff3faa5c4bd510b38d95a7,ctls,www.wikipedia.org,,443,https://wikipedia.org:443,https,ATS/9.1.4,text/html,GET,91.198.174.192,/,857403617,2620:0:862:ed1a::1,HSTS,836,False,,"Wikimedia Foundation, Inc.",True,,https://www.wikipedia.org/,
ads.waze.com,Waze Ads - Location-Based In-Car Ads to Boost Store Visits,200,388398,www.waze.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T09:55:41Z,2023-08-15T10:48:33Z,CN=waze.com,waze.com,www.world.waze.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,00d48d1d039e66c54b87e5328359b013,e65ecf70ffad2b539136952bab1c7c55776d0414c7f03b1b7b4a39d9a0a2498a,ctls,www.waze.com,google,443,https://ads.waze.com:443,https,Google Frontend,text/html,GET,35.190.21.95,/,-1283304251,35.190.21.95,HTTP/3,6608,False,True,,,https://docs.google.com,https://www.waze.com/ads/,
bid.g.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128632,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,ctls,marketingplatform.google.com,,443,https://bid.g.doubleclick.net:443,https,sffe,text/html,GET,142.251.5.157,/,302920777,74.125.133.155,HTTP/3,2177,False,,,True,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/enterprise/,
client.waze.com,"Driving directions, live traffic & road conditions updates - Waze",200,54414,www.waze.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T09:55:41Z,2023-08-15T10:48:33Z,CN=waze.com,waze.com,www.world.waze.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,00d48d1d039e66c54b87e5328359b013,e65ecf70ffad2b539136952bab1c7c55776d0414c7f03b1b7b4a39d9a0a2498a,ctls,www.waze.com,google,443,https://client.waze.com:443,https,Google Frontend,text/html,GET,35.241.37.241,/,-1283304251,35.241.37.241,HTTP/3,65,False,True,,,*.waze.com,https://www.waze.com/live-map/,
cobinhood.com,COBINHOOD Withdrawal Service,200,1769,cobinhood.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T00:00:00Z,2024-04-04T23:59:59Z,"CN=cobinhood.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cobinhood.com,cobinhood.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f44b08dce1955de000cc574f8c27b6b,2b5119f680d71d917f813335bf25a9d6d4aae53d7a3fbf68457605ec1a98a67a,ctls,cobinhood.com,cloudflare,443,https://cobinhood.com:443,https,cloudflare,text/html,GET,172.66.41.7,/,-680261362,2606:4700:3108::ac42:2af9,HTTP/3,13,False,True,"Cloudflare, Inc.",True,,,
https://csp.withgoogle.com/csp/waze-wfe,Error 405 (Bad Request)!!1,405,1681,csp.withgoogle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:15:55Z,2023-08-21T08:15:54Z,CN=*.appspot.com,*.appspot.com,*.app.google,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9eed103a836a3f59b993758bc724ba20,1110bab181bc33f0a110ac516703abf70a60d9b69b263c2f7782ba6c66f1ed20,ctls,csp.withgoogle.com,,443,https://csp.withgoogle.com:443/csp/waze-wfe,https,ESF,text/html,GET,142.250.186.177,/csp/waze-wfe,-582846888,2a00:1450:4001:827::2011,HTTP/3,1,False,,,True,,,True
https://csp.withgoogle.com/csp/wazelivemap/20230626_experiment,Error 405 (Bad Request)!!1,405,1681,csp.withgoogle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:15:55Z,2023-08-21T08:15:54Z,CN=*.appspot.com,*.appspot.com,*.app.google,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9eed103a836a3f59b993758bc724ba20,1110bab181bc33f0a110ac516703abf70a60d9b69b263c2f7782ba6c66f1ed20,ctls,csp.withgoogle.com,,443,https://csp.withgoogle.com:443/csp/wazelivemap/20230626_experiment,https,ESF,text/html,GET,142.250.186.177,/csp/wazelivemap/20230626_experiment,-582846888,2a00:1450:4001:827::2011,HTTP/3,1,False,,,True,,,True
maps.googleapis.com,Google Maps Platform  |  Google for Developers,200,218082,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,ctls,developers.google.com,,443,https://maps.googleapis.com:443,https,Google Frontend,text/html,GET,142.250.185.106,/,302920777,2a00:1450:4001:808::200a,HTTP/3,9530,False,,,True,https://csp.withgoogle.com/csp/devsite/v2,https://developers.google.com/maps/,
search.waze.com,Welcome to nginx!,200,612,search.waze.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-07T11:16:43Z,2023-09-05T12:10:17Z,CN=search.waze.com,search.waze.com,search-lb.waze.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e58a9c1bf41a693cf8aaef1cf594e5e9,e3f17c8e4958a7115c10b20538a209e840f51015233265aa11d42880afc37b68,ctls,search.waze.com,google,443,https://search.waze.com:443,https,nginx,text/html,GET,34.102.158.218,/,1494302000,34.102.158.218,Nginx,26,False,True,,,,,
stats.g.doubleclick.net,Analytics Tools & Solutions for Your Business - Google Analytics,200,118545,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,ctls,marketingplatform.google.com,,443,https://stats.g.doubleclick.net:443,https,sffe,text/html,GET,64.233.167.157,/,302920777,2a00:1450:400c:c0a::9d,HTTP/3,1833,False,,,True,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,
