new,host,ttl,a,cname,soa,status_code,aaaa,mx,ns,txt,cdn,cdn-name
[x],adventure-valued.scholarfund.io,300,,reward-beautiful.b-cdn.net,"{'name': 'reward-beautiful.b-cdn.net', 'ns': 'ns1.bunnydns.com', 'mailbox': 'hostmaster.bunnydns.com', 'serial': 2021043775, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'reward-beautiful.b-cdn.net', 'ns': 'ns1.bunnydns.com', 'mailbox': 'hostmaster.bunnydns.com', 'serial': 2021043775, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'reward-beautiful.b-cdn.net', 'ns': 'ns1.bunnydns.com', 'mailbox': 'hostmaster.bunnydns.com', 'serial': 2021043775, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'reward-beautiful.b-cdn.net', 'ns': 'ns1.bunnydns.com', 'mailbox': 'hostmaster.bunnydns.com', 'serial': 2021043775, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,2a02:6ea0:c454::1,,,,,
[x],app.scholarfund.io,1800,,,"{'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],ceo.scholarfundwa.org,1800,,,"{'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],docs.scholarfundwa.org,300,,hosting.gitbook.io,"{'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358687535, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358687535, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358687535, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358687535, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:4400::6812:282f, 2606:4700:4400::ac40:93d1",,,,,
[x],forms.scholarfundwa.org,300,144.126.217.127,domains.fillout.com,"{'name': 'fillout.com', 'ns': 'nena.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354012531, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'fillout.com', 'ns': 'nena.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354012531, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'fillout.com', 'ns': 'nena.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354012531, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'fillout.com', 'ns': 'nena.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354012531, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'fillout.com', 'ns': 'nena.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354012531, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'fillout.com', 'ns': 'nena.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2354012531, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],giving.scholarfundwa.org,300,"104.26.3.187, 172.67.73.199, 104.26.2.187",domain.donorsupport.co,"{'name': 'donorsupport.co', 'ns': 'coby.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355514844, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'donorsupport.co', 'ns': 'coby.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355514844, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'donorsupport.co', 'ns': 'coby.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355514844, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'donorsupport.co', 'ns': 'coby.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355514844, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],lx.scholarfund.io,300,"3.162.112.81, 3.162.112.112, 3.162.112.118, 3.162.112.42",scholar-fund-af2f6e4c5064.intercom-mail.com,"{'name': 'intercom-mail.com', 'ns': 'ns-1316.awsdns-36.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'intercom-mail.com', 'ns': 'ns-1316.awsdns-36.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'intercom-mail.com', 'ns': 'ns-1316.awsdns-36.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,inbound-smtp.us-east-1.amazonaws.com,,,True,cloudfront
[x],portals.scholarfund.io,300,"104.26.11.120, 104.26.10.120, 172.67.68.128",,"{'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],portals.scholarfundwa.org,300,"35.92.202.170, 35.92.202.168, 35.92.202.169",,"{'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfundwa.org', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2358198238, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],scholarfund.io,300,"104.26.11.120, 172.67.68.128, 104.26.10.120",,"{'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'scholarfund.io', 'ns': 'alexia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2357249644, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::681a:b78, 2606:4700:20::681a:a78, 2606:4700:20::ac43:4480",,"alexia.ns.cloudflare.com, jeremy.ns.cloudflare.com","v=spf1 include:spf.efwd.registrar-servers.com -all, google-site-verification=di3aRUPUBzV0uKMgVcw_Ftyusz_hgkWt95X6RSJoPJ4, google-site-verification=kXMzQZuQGwNOyvbgCFVZbw9zvtsRHviy9glBXLXXcBg, v=DMARC1; p=quarantine",,
