input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,csp_domains_,final_url
*.indmoney.com,"INDmoney - Invest in Stocks, SIP in Mutual Funds & Manage your Money",200,62321,www.indmoney.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,www.indmoney.com,cloudflare,443,https://indmoney.com:443,https,cloudflare,text/html,GET,104.18.31.240,/,-1201737176,104.18.30.240,HSTS,29,False,True,Finzoom Investment Advisors Private Limited,,*.indmoney.com,https://www.indmoney.com:443/
acc-test.indiawealth.in,,400,,acc-test.indiawealth.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-10-17T23:59:59Z,"CN=*.indiawealth.in, O=Finzoom Investment Advisors Private Limited, L=Gurgaon, ST=Haryana, C=IN",*.indiawealth.in,indiawealth.in,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,ef5d422358dfd1e43ab6487d4a4fd090,4176feee9fd4fda0be68c4a3fea809c1bebf5121f2c2d6c481e34e9776f58f27,True,ctls,acc-test.indiawealth.in,,443,https://acc-test.indiawealth.in:443,https,awselb/2.0,text/plain,GET,3.7.50.21,/,-1840324437,65.1.54.171,,1,False,,Finzoom Investment Advisors Private Limited,,,
api.indmoney.com,,500,5,api.indmoney.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,api.indmoney.com,,443,https://api.indmoney.com:443,https,awselb/2.0,text/plain,GET,13.234.41.146,/,-441251944,65.0.254.48,,1,False,,Finzoom Investment Advisors Private Limited,,,
assets.indmoney.com,404 Not Found,404,732,assets.indmoney.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,assets.indmoney.com,cloudflare,443,https://assets.indmoney.com:443,https,cloudflare,text/html,GET,104.18.30.240,/,679320761,104.18.31.240,HSTS,16,False,True,Finzoom Investment Advisors Private Limited,,,
beta.indmoney.com,"INDmoney - Invest in Stocks, SIP in Mutual Funds & Manage your Money",200,62386,beta.indmoney.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,beta.indmoney.com,cloudflare,443,https://beta.indmoney.com:443,https,cloudflare,text/html,GET,104.18.31.240,/,-1201737176,104.18.30.240,HSTS,29,False,True,Finzoom Investment Advisors Private Limited,,*.indmoney.com,
beta1.indmoney.com,"INDmoney - Invest in Stocks, SIP in Mutual Funds & Manage your Money",200,62386,beta1.indmoney.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,beta1.indmoney.com,cloudflare,443,https://beta1.indmoney.com:443,https,cloudflare,text/html,GET,104.18.30.240,/,-1201737176,104.18.31.240,HSTS,29,False,True,Finzoom Investment Advisors Private Limited,,*.indmoney.com,
builders.indmoney.com,Just a moment...,403,7261,builders.indmoney.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,builders.indmoney.com,cloudflare,443,https://builders.indmoney.com:443,https,cloudflare,text/html,GET,162.159.153.4,/,-280990926,162.159.153.4,HSTS,79,False,True,Finzoom Investment Advisors Private Limited,,,
cdn.indiawealth.in,,403,146,cdn.indiawealth.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-10-17T23:59:59Z,"CN=*.indiawealth.in, O=Finzoom Investment Advisors Private Limited, L=Gurgaon, ST=Haryana, C=IN",*.indiawealth.in,indiawealth.in,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,ef5d422358dfd1e43ab6487d4a4fd090,4176feee9fd4fda0be68c4a3fea809c1bebf5121f2c2d6c481e34e9776f58f27,True,ctls,cdn.indiawealth.in,cloudflare,443,https://cdn.indiawealth.in:443,https,cloudflare,text/xml,GET,104.18.8.213,/,-13968365,104.18.9.213,Cloudflare Bot Management,1,False,True,Finzoom Investment Advisors Private Limited,,,
cdn.indmoney.com,,403,243,cdn.indmoney.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,cdn.indmoney.com,cloudflare,443,https://cdn.indmoney.com:443,https,cloudflare,application/xml,GET,104.18.30.240,/,-661814635,104.18.31.240,HSTS,2,False,True,Finzoom Investment Advisors Private Limited,,,
core-dev-cdn.indiawealth.in,,403,146,core-dev-cdn.indiawealth.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-10-17T23:59:59Z,"CN=*.indiawealth.in, O=Finzoom Investment Advisors Private Limited, L=Gurgaon, ST=Haryana, C=IN",*.indiawealth.in,indiawealth.in,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,ef5d422358dfd1e43ab6487d4a4fd090,4176feee9fd4fda0be68c4a3fea809c1bebf5121f2c2d6c481e34e9776f58f27,True,ctls,core-dev-cdn.indiawealth.in,cloudflare,443,https://core-dev-cdn.indiawealth.in:443,https,cloudflare,text/xml,GET,104.18.8.213,/,-13968365,104.18.9.213,Cloudflare Bot Management,1,False,True,Finzoom Investment Advisors Private Limited,,,
core.indmoney.com,IND Wealth,200,49920,core.indmoney.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,core.indmoney.com,cloudflare,443,https://core.indmoney.com:443,https,cloudflare,text/html,GET,104.18.31.240,/,-812561003,104.18.30.240,Python,118,False,True,Finzoom Investment Advisors Private Limited,,,
crypto-test.indiawealth.in,,404,,crypto-test.indiawealth.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-10-17T23:59:59Z,"CN=*.indiawealth.in, O=Finzoom Investment Advisors Private Limited, L=Gurgaon, ST=Haryana, C=IN",*.indiawealth.in,indiawealth.in,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,ef5d422358dfd1e43ab6487d4a4fd090,4176feee9fd4fda0be68c4a3fea809c1bebf5121f2c2d6c481e34e9776f58f27,True,ctls,crypto-test.indiawealth.in,,443,https://crypto-test.indiawealth.in:443,https,awselb/2.0,text/plain,GET,65.0.175.132,/,-1840324437,52.66.48.144,,1,False,,Finzoom Investment Advisors Private Limited,,,
crypto-web.indmoney.com,,400,,crypto-web.indmoney.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.indmoney.com, O=Finzoom Investment Advisors Private Limited, L=Gurugram, ST=Haryana, C=IN",*.indmoney.com,indmoney.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,d5f202b3b45e6617b8190d21d056cffa,9453a0c5f28dd4feb0731c396b411aec949caf60cc331dba67f06de69891bef2,True,ctls,crypto-web.indmoney.com,,443,https://crypto-web.indmoney.com:443,https,awselb/2.0,text/plain,GET,65.1.139.41,/,-1840324437,65.1.54.171,,1,False,,Finzoom Investment Advisors Private Limited,,,
crypto.indmoney.com,Crypto POC,200,5716,crypto.indmoney.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-08-14T23:59:59Z,CN=*.indmoney.com,*.indmoney.com,indmoney.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1eb0e4e2dd45aafbf7e2d0f2e5193573,436cd2d9f23818ae2248b7bf44c02f10106551db7205ef0a8fb786c6344d8ad1,True,ctls,crypto.indmoney.com,cloudfront,443,https://crypto.indmoney.com:443,https,AmazonS3,text/html,GET,108.138.17.85,/,520507075,2600:9000:2491:1800:1e:9a12:6b40:93a1,Bootstrap:3,214,False,True,,,,
dev-cdn.indiawealth.in,,403,146,dev-cdn.indiawealth.in,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-29T23:59:59Z,CN=*.indiawealth.in,*.indiawealth.in,*.indiawealth.in,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d5aff768bc71d4382d98982c0ca4dd71,2f3c01be7ebd2936b31ed61482396944ef40dbe89bdefe16d0774e14545ff01b,True,ctls,dev-cdn.indiawealth.in,cloudfront,443,https://dev-cdn.indiawealth.in:443,https,CloudFront,text/xml,GET,143.204.215.16,/,-13968365,143.204.215.38,Amazon Web Services,1,False,True,,,,
