new,host,soa,status_code,a,cdn,cdn-name,cname,mx,ns,txt,aaaa,caa
[x],dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229",True,cloudflare,,"cluster5a.eu.messagelabs.com, dolap-com.mail.protection.outlook.com, cluster5.eu.messagelabs.com","neil.ns.cloudflare.com, hera.ns.cloudflare.com","MS=ms44276549, ZOOM_verify_YO8zwtgnS9-M35Zf0MpGIA, globalsign-domain-verification=C57iGHmGu3HSI6T_5gfZ56r4wyaEqlbNPZmjMiDBMD, google-site-verification=2KkdVLgi3JcEXRoobfZJZ6gOhMMXd--IgjQx5SffoFQ, google-site-verification=QcWqG12D6W10TcaImyTmdCqCAjGvPRB5f4KGLcE6Ddk, google-site-verification=u8BscD4aMPEO7x3HiDKCY-5aKtFkFV39qDiVY8LLtL0, google-site-verification=z48FWGs_b96oUPAt7qUIa6bfUreOMaxFo92mf5IMgcQ, v=spf1 include:spf.messagelabs.com include:spf.mandrillapp.com include:_spf.google.com include:amazonses.com include:spf.protection.outlook.com ~all, D0S4M73749",,
[x],dolapqacdn.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],earth.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],ecm.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],ecp.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],efaturam.trendyol.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.247.25.28, 99.80.84.225, 52.208.102.232",,,,,"ns-1129.awsdns-13.org, ns-1700.awsdns-20.co.uk, ns-208.awsdns-26.com, ns-918.awsdns-50.net",,,
[x],email.trendyol.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,13.111.18.27,,,,reply.s10.exacttarget.com,"ns4.exacttarget.com, ns3.exacttarget.com, ns1.exacttarget.com, ns2.exacttarget.com",v=spf1 include:cust-spf.exacttarget.com -all,,
[x],enm.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],flash.dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.97, 104.18.12.97",True,cloudflare,,,,,,
[x],gib.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],gitlab.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],gpi.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],helpcenter.trendyol.com,"edns140.ultradns.com, root.service-now.com",NOERROR,148.139.68.208,,,trendyol.service-now.com,,,,,
[x],image.email.trendyol.com,"n0b.akamai.net, hostmaster.akamai.com",NOERROR,"2.19.126.73, 2.19.126.85",,,"images.s10.exacttarget.com.edgesuite.net, a1951.b.akamai.net",,,,,
[x],influencerakademi.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],inframetrics.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],insightvm.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],isg.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],itsmtest.trendyol.com,"edns140.ultradns.com, root.service-now.com",NOERROR,148.139.68.208,,,"servicenowtest.trendyol.com, trendyoltest.service-now.com",,,,,
[x],kdc.trendyol.com,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,172.65.209.30,True,cloudflare,59fef6f9b56e4d259b970b32273ba9e4.pacloudflare.com,,,,2606:4700:90:0:19a:e9ce:6e0e:e77f,
[x],l10n.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],link.dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.97, 104.18.12.97",True,cloudflare,,,,,,
[x],link.email.dolap.com,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,"167.89.115.120, 167.89.115.56, 167.89.123.124, 167.89.123.54",,,sendgrid.net,"mx2.sendgrid.net, mx.sendgrid.net","ns12.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns11.dnsmadeeasy.com","mailru-verification: 2e3995fa8a7d00e0, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE",,"amazonaws.com, godaddy.com"
[x],link.trendyol.com,"infoblox1.bo3.e-dialog.com, info.e-dialog.com",NOERROR,,,,trendyol.ed10.net,mail-router.e-dialog.com,,,,
[x],link2.trendyol.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"cb.sailthru.com, ha-link.sailthru.com, haproxy-prod-link-nlb-9484743b55d7f6b1.elb.us-east-1.amazonaws.com",,,,,
[x],links.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],login.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],loginapp.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],looker-hr.trendyol.com,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,34.159.94.2,True,google,8d5a8142-9dc1-4155-b805-0f5f3456c1b6.cloud.looker.com,,,,,
[x],m-ti.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],m.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.166.78, 104.18.165.78",True,cloudflare,,,,,,
[x],malkabul.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],mdm.trendyol.com,"ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,18.158.156.67,,,"ds2034.awmdm.com, de01pgroup1.awmdm.com",,"ns-1235.awsdns-26.org, ns-1766.awsdns-28.co.uk, ns-187.awsdns-23.com, ns-899.awsdns-48.net",,,
[x],metrics.trendyol.com,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,"63.140.62.135, 63.140.62.160, 63.140.62.164",,,trendyol.com.ldc.d3.sc.omtrdc.net,,,,,
[x],mobile2.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],ms.cozumortaklari.trendyol.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,52.30.217.152,,,15972990-kubesystem-limite-d662-1054943982.eu-west-1.elb.amazonaws.com,,,,,
[x],mta.email.trendyol.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,13.111.60.193,,,,,,,,
[x],mta2.email.trendyol.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,13.111.60.77,,,,,,,,
[x],mta3.email.trendyol.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,13.111.83.144,,,,,,,,
[x],mta4.email.trendyol.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,13.111.87.63,,,,,,,,
[x],mta5.email.trendyol.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,13.111.87.64,,,,,,,,
[x],mvpn.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,159.20.113.113,,,,,,,,
[x],o613.email.dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.97, 104.18.12.97",True,cloudflare,,,,,,
[x],o614.email.dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.97, 104.18.12.97",True,cloudflare,,,,,,
