input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,webserver,tls_mismatched,tls_wildcard_certificate,tls_subject_org_
02.serverdensity.com,,200,143467,www.serverdensity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-19T20:51:28Z,2023-06-17T21:49:46Z,CN=www.veiganegocios.com.br,www.veiganegocios.com.br,app.amphamo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,8d615d290031785a82ec14ee343a7d11,02b31a7854e69c9e4cedd49e8956a4d2c6151737cbd780d8ace01348d4b1519b,ctls,www.serverdensity.com,google,443,https://02.serverdensity.com:443,https,text/html,GET,35.196.248.204,/,-1243330085,https://www.serverdensity.com/,35.196.248.204,React,312,False,True,,,,
14.serverdensity.com,,200,143467,www.serverdensity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-19T20:51:28Z,2023-06-17T21:49:46Z,CN=www.veiganegocios.com.br,www.veiganegocios.com.br,app.amphamo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,8d615d290031785a82ec14ee343a7d11,02b31a7854e69c9e4cedd49e8956a4d2c6151737cbd780d8ace01348d4b1519b,ctls,www.serverdensity.com,google,443,https://14.serverdensity.com:443,https,text/html,GET,35.196.248.204,/,-1243330085,https://www.serverdensity.com/,35.196.248.204,React,312,False,True,,,,
168.serverdensity.com,,200,143467,www.serverdensity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-19T20:51:28Z,2023-06-17T21:49:46Z,CN=www.veiganegocios.com.br,www.veiganegocios.com.br,app.amphamo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,8d615d290031785a82ec14ee343a7d11,02b31a7854e69c9e4cedd49e8956a4d2c6151737cbd780d8ace01348d4b1519b,ctls,www.serverdensity.com,google,443,https://168.serverdensity.com:443,https,text/html,GET,35.196.248.204,/,-1243330085,https://www.serverdensity.com/,35.196.248.204,React,312,False,True,,,,
17-121-117-251.serverdensity.com,,200,143467,www.serverdensity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-19T20:51:28Z,2023-06-17T21:49:46Z,CN=www.veiganegocios.com.br,www.veiganegocios.com.br,app.amphamo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,8d615d290031785a82ec14ee343a7d11,02b31a7854e69c9e4cedd49e8956a4d2c6151737cbd780d8ace01348d4b1519b,ctls,www.serverdensity.com,google,443,https://17-121-117-251.serverdensity.com:443,https,text/html,GET,35.196.248.204,/,20984075,https://www.serverdensity.com/,35.196.248.204,React,312,False,True,,,,
sm.monitoring.stackpath.com,StackPath,403,3824,,,,,,,,,,,,,,,,,,,80,http://sm.monitoring.stackpath.com:80,http,text/html,GET,151.139.128.10,/,-148786333,,151.139.128.10,Fireblade,1,False,,fbs,,,
striketracker-origin.highwinds.com,StrikeTracker,200,75880,striketracker-origin.highwinds.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-16T00:00:00Z,2024-02-03T23:59:59Z,CN=*.highwinds.com,*.highwinds.com,highwinds.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,9476ec3efec2465e5a53bc47c8948761,3e58ec6fe1d7462697baa9520c786b1df061d8e24fa46186c3cc74ac3b49aaef,ctls,striketracker-origin.highwinds.com,,80,http://striketracker-origin.highwinds.com:80,http,text/html,GET,151.139.44.226,/,1160053853,https://striketracker-origin.highwinds.com/,151.139.44.226,Nginx,1586,False,,nginx,,True,
swa-146-16-163-90.serverdensity.com,,200,143467,www.serverdensity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T20:51:28Z,2023-06-17T21:49:46Z,CN=www.veiganegocios.com.br,www.veiganegocios.com.br,app.amphamo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,8d615d290031785a82ec14ee343a7d11,02b31a7854e69c9e4cedd49e8956a4d2c6151737cbd780d8ace01348d4b1519b,ctls,www.serverdensity.com,google,80,http://swa-146-16-163-90.serverdensity.com:80,http,text/html,GET,35.196.248.204,/,-645078434,https://www.serverdensity.com,35.196.248.204,React,312,False,True,,,,
tracking.stackpath.com,Dead End,404,248,,,,,,,,,,,,,,,,,,,80,http://tracking.stackpath.com:80,http,text/html,GET,18.211.188.220,/,1351214488,,107.20.92.14,Amazon Web Services,14,False,,,,,
twemoji.maxcdn.com,"twemoji CDN by jsDelivr - A free, fast, and reliable Open Source CDN",200,22954,,,,,,,,,,,,,,,,,,,80,http://twemoji.maxcdn.com:80,http,text/html,GET,138.199.36.11,/,2049363819,,2400:52e0:1e00::1077:1,HTTP/3,560,False,,BunnyCDN-DE1-1054,,,
ucp1-as-images.serverdensity.com,,200,143467,www.serverdensity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-19T20:51:28Z,2023-06-17T21:49:46Z,CN=www.veiganegocios.com.br,www.veiganegocios.com.br,app.amphamo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,8d615d290031785a82ec14ee343a7d11,02b31a7854e69c9e4cedd49e8956a4d2c6151737cbd780d8ace01348d4b1519b,ctls,www.serverdensity.com,google,80,http://ucp1-as-images.serverdensity.com:80,http,text/html,GET,35.196.248.204,/,-645078434,https://www.serverdensity.com,35.196.248.204,React,312,False,True,,,,
