input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_wildcard_certificate,csp_domains_,tls_mismatched,tls_expired
0-0-1.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://0-0-1.journal.cbre.com:80,http,,GET,165.160.13.20,/,820150424,,165.160.15.20,,2,False,,,,,,,
0-02.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://0-02.journal.cbre.com:80,http,,GET,165.160.15.20,/,820150424,,165.160.13.20,,2,False,,,,,,,
0-7-4.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://0-7-4.journal.cbre.com:80,http,,GET,165.160.13.20,/,820150424,,165.160.15.20,,2,False,,,,,,,
00fb793b.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://00fb793b.journal.cbre.com:80,http,,GET,165.160.15.20,/,820150424,,165.160.13.20,,2,False,,,,,,,
031-9-24.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://031-9-24.journal.cbre.com:80,http,,GET,165.160.13.20,/,820150424,,165.160.15.20,,2,False,,,,,,,
035-0.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://035-0.journal.cbre.com:80,http,,GET,165.160.13.20,/,820150424,,165.160.15.20,,2,False,,,,,,,
05-62-1-2.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://05-62-1-2.journal.cbre.com:80,http,,GET,165.160.15.20,/,820150424,,165.160.13.20,,2,False,,,,,,,
054-81.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://054-81.journal.cbre.com:80,http,,GET,165.160.15.20,/,820150424,,165.160.13.20,,2,False,,,,,,,
069a.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://069a.journal.cbre.com:80,http,,GET,165.160.13.20,/,820150424,,165.160.15.20,,2,False,,,,,,,
08-46.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://08-46.journal.cbre.com:80,http,,GET,165.160.15.20,/,820150424,,165.160.13.20,,2,False,,,,,,,
0ede8dce.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://0ede8dce.journal.cbre.com:80,http,,GET,165.160.13.20,/,820150424,,165.160.15.20,,2,False,,,,,,,
0w9g.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://0w9g.journal.cbre.com:80,http,,GET,165.160.13.20,/,820150424,,165.160.15.20,,2,False,,,,,,,
1-75.journal.cbre.com,,200,94,,,,,,,,,,,,,,,,,,,80,http://1-75.journal.cbre.com:80,http,,GET,165.160.15.20,/,820150424,,165.160.13.20,,2,False,,,,,,,
