input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,cdn_name,cdn,tls_mismatched,csp_domains_,tls_subject_org_,tls_expired
sephora.odoo.com,Activate your database,200,1481,sephora.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,sephora.odoo.com,443,https://sephora.odoo.com:443,https,nginx,text/html,GET,35.200.176.114,/,-581246483,35.200.176.114,Nginx,30,False,https://sephora.odoo.com/_activate_your_database/sephora,google,True,,,,
sequoia.odoo.com,Home | Sequoia,200,12339,sequoia.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,sequoia.odoo.com,443,https://sequoia.odoo.com:443,https,Odoo.sh,text/html,GET,34.71.66.179,/,-617743584,34.71.66.179,Python,362,False,https://sequoia.odoo.com/en/,google,True,,,,
sergiev-posad.test.odoo.com,Typo | Odoo,200,41210,www.test.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T08:28:21Z,2023-07-14T08:28:20Z,CN=*.test.odoo.com,*.test.odoo.com,test.odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab8c63bf38925536fa9fd463320dc507,5d26a638d3072aff068347736d6523215f5288f923724af97320fe5307f2d49b,True,ctls,www.test.odoo.com,443,https://sergiev-posad.test.odoo.com:443,https,nginx,text/html,GET,35.187.65.6,/,-144800065,35.187.65.6,Python,589,False,https://www.test.odoo.com/typo?domain=sergiev-posad.test.odoo.com&autodbname=sergiev-posad&hosting=tt1.test.odoo.com,google,True,,,,
seriesdroid-s2.test.odoo.com,Typo | Odoo,200,41285,www.test.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T08:28:21Z,2023-07-14T08:28:20Z,CN=*.test.odoo.com,*.test.odoo.com,test.odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab8c63bf38925536fa9fd463320dc507,5d26a638d3072aff068347736d6523215f5288f923724af97320fe5307f2d49b,True,ctls,www.test.odoo.com,443,https://seriesdroid-s2.test.odoo.com:443,https,nginx,text/html,GET,35.187.65.6,/,1185602837,35.187.65.6,Python,589,False,https://www.test.odoo.com/typo?domain=seriesdroid-s2.test.odoo.com&autodbname=seriesdroid-s2&hosting=tt1.test.odoo.com,google,True,,,,
service5.odoo.com,Database not available,200,1092,service5.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,service5.odoo.com,443,https://service5.odoo.com:443,https,nginx,text/html,GET,35.189.174.139,/,-1543800036,35.189.174.139,Nginx,24,False,https://service5.odoo.com/_odoo/upgrade/service5,google,True,,,,
service91.odoo.com,Typo | Odoo,200,42131,www.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,www.odoo.com,443,https://service91.odoo.com:443,https,nginx,text/html,GET,141.94.74.34,/,-1819456870,141.94.74.34,Python,596,False,https://www.odoo.com/typo?domain=service91.odoo.com&autodbname=service91&hosting=eu177a.odoo.com,,,,,,
serviceplus.odoo.com,Odoo,200,5105,serviceplus.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,serviceplus.odoo.com,443,https://serviceplus.odoo.com:443,https,nginx,text/html,GET,145.239.155.32,/,719387224,145.239.155.32,Nginx,68,False,https://serviceplus.odoo.com/web/login,,,,,,
services.odoo.com,Open Source ERP and CRM | Odoo,200,56907,services.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,services.odoo.com,443,https://services.odoo.com:443,https,nginx,text/html,GET,178.33.40.43,/,-617743584,2001:41d0:203:7958::,Python,874,False,,,,,,,
services5.odoo.com,Database not available,200,1092,services5.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,services5.odoo.com,443,https://services5.odoo.com:443,https,nginx,text/html,GET,35.244.48.57,/,536563548,35.244.48.57,Nginx,24,False,https://services5.odoo.com/_odoo/upgrade/services5,google,True,,,,
serviciosarss.odoo.com,Database not available,200,1092,serviciosarss.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,serviciosarss.odoo.com,443,https://serviciosarss.odoo.com:443,https,nginx,text/html,GET,34.133.237.162,/,-634794095,34.133.237.162,Nginx,24,False,https://serviciosarss.odoo.com/_odoo/upgrade/serviciosarss,google,True,,,,
