new,host,soa,txt,status_code,a,cdn,cdn-name,aaaa,cname,caa,ns,mx
[x],at132.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],at136.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,37.19.195.153,,,,,,,
[x],at139.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],dns1.public.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,103.86.96.100,,,,,,,
,80.93.177.7.ru-msk.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,account.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"104.17.49.74, 104.17.50.74",True,cloudflare,,,,,
,admin.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"104.17.50.74, 104.17.49.74",True,cloudflare,,,,,
,al10.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,al11.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,al12.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,al20.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,al7.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,al9.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,anon-uk1-248.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,api.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,
,applytics.nordvpn.com,"elaine.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,"elaine.ns.cloudflare.com, nile.ns.cloudflare.com",
,ar12.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,ar13.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,ar15.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,ar16.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,ar17.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,ar20.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,ar4.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,ar7.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at13.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at134.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,at135.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,at137.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,at21.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at23.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at25.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at30.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at32.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at39.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,at40.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,at41.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at45.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at46.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at50.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,at60.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,at80.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,5.253.207.203,,,,,,,
,at86.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,185.216.34.100,,,,,,,
,au143.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au165.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au210.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,au260.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au270.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au290.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,au301.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au310.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au311.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au313.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au35.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au350.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au370.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,au400.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au401.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au410.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au420.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au430.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,au440.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au450.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au460.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au470.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au490.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au520.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au522.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au523.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,au527.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,au529.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,103.1.212.91,,,,,,,
,au530.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,103.1.212.99,,,,,,,
,au531.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,103.1.212.107,,,,,,,
,au533.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,103.1.212.123,,,,,,,
,au534.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,103.1.212.131,,,,,,,
,au535.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,103.1.212.139,,,,,,,
,au536.nordvpn.com,"lily.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,103.1.212.147,,,,,,,
