input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,final_url,tech_,cdn,tls_wildcard_certificate,tls_subject_org_
aff.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47275,aff.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,aff.recarga.com,443,https://aff.recarga.com:443,https,text/html,GET,13.32.27.21,/,2025554730,13.32.27.88,927,False,cloudfront,istio-envoy,,Node.js,True,True,
affiliates.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47331,affiliates.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,affiliates.recarga.com,443,https://affiliates.recarga.com:443,https,text/html,GET,13.32.27.11,/,2025554730,13.32.27.88,927,False,cloudfront,istio-envoy,,Node.js,True,True,
api.of.recargapay.com.br,,404,48,api.of.recargapay.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-06T00:00:00Z,2024-01-24T23:59:59Z,"CN=api.of.recargapay.com.br, O=RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA, ST=São Paulo, C=BR, businessCategory=Private Organization, jurisdictionCountry=BR, serialNumber=11.275.560/0001-75, businessCategory=Private Organization, jurisdictionCountry=BR",api.of.recargapay.com.br,www.api.of.recargapay.com.br,"CN=SSL Blindado EV 2, OU=Certificação Digital, OU=Controlled by COMODO exclusively for Site Blindado S.A., O=Site Blindado S.A., L=São Paulo, ST=SP, C=BR",SSL Blindado EV 2,Site Blindado S.A.,ddf285d6190ef04c64d88fcb92cdc16a,6d828d7177cfe67bef07babbac85af8f8ebdd70c78644e9ddf57abb74a2d42bd,ctls,api.of.recargapay.com.br,443,https://api.of.recargapay.com.br:443,https,application/json,GET,2.17.100.226,/,834205737,2a02:26f0:ab00::5c7a:d721,1,False,,,,,,,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA
api.recarga.com,,200,95,api.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,api.recarga.com,443,https://api.recarga.com:443,https,application/hal+json,GET,143.204.98.115,/,-1840324437,143.204.98.129,7,False,cloudfront,istio-envoy,,Envoy,True,True,
api2.recarga.com,,404,,api2.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,api2.recarga.com,443,https://api2.recarga.com:443,https,,GET,65.9.86.43,/,-1840324437,65.9.86.109,1,False,cloudfront,istio-envoy,,Amazon Web Services,True,True,
argentina.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47188,recargapay.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-25T00:00:00Z,2024-08-06T23:59:59Z,"CN=www.recargapay.com.br, O=RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA, ST=São Paulo, C=BR, businessCategory=Private Organization, jurisdictionCountry=BR, serialNumber=11.275.560/0001-75, businessCategory=Private Organization, jurisdictionCountry=BR",www.recargapay.com.br,recargapay.com.br,"CN=SSL Blindado EV 2, OU=Certificação Digital, OU=Controlled by COMODO exclusively for Site Blindado S.A., O=Site Blindado S.A., L=São Paulo, ST=SP, C=BR",SSL Blindado EV 2,Site Blindado S.A.,352cc09a23c0a562813628456ea7f684,9062894e83444eb10e03070a89eebf3040663929143ab0bcd51cbd809d235b18,ctls,recargapay.com.br,443,https://argentina.recarga.com:443,https,text/html,GET,13.32.110.129,/,142300343,13.32.110.64,927,False,cloudfront,istio-envoy,https://recargapay.com.br,Node.js,True,,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA
brasil.recarga.com,RecargaPay: Recarga rápida e simples,200,74021,brasil.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,brasil.recarga.com,443,https://brasil.recarga.com:443,https,text/html,GET,13.226.175.22,/,2025554730,13.226.175.89,764,False,cloudfront,istio-envoy,,Node.js,True,True,
brazil.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47188,recargapay.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-25T00:00:00Z,2024-08-06T23:59:59Z,"CN=www.recargapay.com.br, O=RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA, ST=São Paulo, C=BR, businessCategory=Private Organization, jurisdictionCountry=BR, serialNumber=11.275.560/0001-75, businessCategory=Private Organization, jurisdictionCountry=BR",www.recargapay.com.br,recargapay.com.br,"CN=SSL Blindado EV 2, OU=Certificação Digital, OU=Controlled by COMODO exclusively for Site Blindado S.A., O=Site Blindado S.A., L=São Paulo, ST=SP, C=BR",SSL Blindado EV 2,Site Blindado S.A.,352cc09a23c0a562813628456ea7f684,9062894e83444eb10e03070a89eebf3040663929143ab0bcd51cbd809d235b18,ctls,recargapay.com.br,443,https://brazil.recarga.com:443,https,text/html,GET,13.32.27.88,/,142300343,13.32.27.102,927,False,cloudfront,istio-envoy,https://recargapay.com.br,Node.js,True,,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA
callback.recarga.com,,200,100,callback.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,callback.recarga.com,443,https://callback.recarga.com:443,https,application/hal+json,GET,65.9.86.45,/,-1840324437,65.9.86.100,7,False,cloudfront,istio-envoy,,Envoy,True,True,
cdn.recarga.com,,404,,cdn.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,cdn.recarga.com,443,https://cdn.recarga.com:443,https,,GET,143.204.98.76,/,-1840324437,143.204.98.129,1,False,cloudfront,istio-envoy,,Amazon Web Services,True,True,
chile.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47188,recargapay.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-25T00:00:00Z,2024-08-06T23:59:59Z,"CN=www.recargapay.com.br, O=RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA, ST=São Paulo, C=BR, businessCategory=Private Organization, jurisdictionCountry=BR, serialNumber=11.275.560/0001-75, businessCategory=Private Organization, jurisdictionCountry=BR",www.recargapay.com.br,recargapay.com.br,"CN=SSL Blindado EV 2, OU=Certificação Digital, OU=Controlled by COMODO exclusively for Site Blindado S.A., O=Site Blindado S.A., L=São Paulo, ST=SP, C=BR",SSL Blindado EV 2,Site Blindado S.A.,352cc09a23c0a562813628456ea7f684,9062894e83444eb10e03070a89eebf3040663929143ab0bcd51cbd809d235b18,ctls,recargapay.com.br,443,https://chile.recarga.com:443,https,text/html,GET,13.32.27.11,/,-768517062,13.32.27.102,927,False,cloudfront,istio-envoy,https://recargapay.com.br,Node.js,True,,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA
cnt2.recarga.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://cnt2.recarga.com:80,http,text/html,GET,13.226.175.129,/,-808563617,13.226.175.106,20,False,cloudfront,CloudFront,,Amazon Web Services,True,,
