new,host,a,cname,soa,status_code,ns,aaaa,cdn,cdn-name,txt,mx,caa
[x],0-73.dev.buffer.com,"54.145.245.164, 52.54.124.215, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],024-v3-client.dev.buffer.com,"52.204.84.145, 52.86.92.6, 52.54.124.215, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],03-77.dev.buffer.com,"52.86.92.6, 52.204.84.145, 54.145.245.164, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],05-9-9-7.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],075-v3-client.dev.buffer.com,"52.86.92.6, 54.145.245.164, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0fwww-58.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],11-95.dev.buffer.com,"52.86.92.6, 52.54.124.215, 54.145.245.164, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],111enterprise.dev.buffer.com,"52.86.92.6, 54.145.245.164, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],15-49.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],15-71-47.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.204.84.145, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
