input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,final_url,csp_domains_
analytics.yacht.nl,Yacht: Pushing Horizons | YACHT,200,74638,www.yacht.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-23T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.yacht.nl, O=Randstad Nederland B.V., L=Diemen, C=NL",*.yacht.nl,yacht.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,232fd07bb325a9321994b21f896bab7a,4e3715c2e2c4e9e6b5a132ac815531152ad690ceb5bab88c09d16f3d07c2c9bf,ctls,www.yacht.nl,443,https://analytics.yacht.nl:443,https,,text/html,GET,63.33.239.21,/,117817516,54.220.185.231,HSTS,2173,False,Randstad Nederland B.V.,True,https://www.yacht.nl/,
blog.yacht.nl,Yacht: Pushing Horizons | YACHT,200,74638,www.yacht.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-23T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.yacht.nl, O=Randstad Nederland B.V., L=Diemen, C=NL",*.yacht.nl,yacht.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,232fd07bb325a9321994b21f896bab7a,4e3715c2e2c4e9e6b5a132ac815531152ad690ceb5bab88c09d16f3d07c2c9bf,ctls,www.yacht.nl,443,https://blog.yacht.nl:443,https,,text/html,GET,34.240.142.125,/,-2088447911,52.212.240.230,HSTS,2173,False,Randstad Nederland B.V.,True,https://www.yacht.nl,
gegevens.yacht.nl,,200,8016,www.yacht.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-23T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.yacht.nl, O=Randstad Nederland B.V., L=Diemen, C=NL",*.yacht.nl,yacht.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,232fd07bb325a9321994b21f896bab7a,4e3715c2e2c4e9e6b5a132ac815531152ad690ceb5bab88c09d16f3d07c2c9bf,ctls,www.yacht.nl,443,https://gegevens.yacht.nl:443,https,,text/html,GET,52.212.240.230,/,1163771248,34.240.142.125,HSTS,26,False,Randstad Nederland B.V.,True,https://www.yacht.nl/mijn-yacht,
https://www.yacht.nl,Yacht: Pushing Horizons | YACHT,200,74638,www.yacht.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-23T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.yacht.nl, O=Randstad Nederland B.V., L=Diemen, C=NL",*.yacht.nl,yacht.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,232fd07bb325a9321994b21f896bab7a,4e3715c2e2c4e9e6b5a132ac815531152ad690ceb5bab88c09d16f3d07c2c9bf,ctls,www.yacht.nl,443,https://www.yacht.nl:443,https,,text/html,GET,54.220.185.231,/,117817516,63.33.239.21,HSTS,2173,False,Randstad Nederland B.V.,True,,
id.yacht.nl,Yacht: Pushing Horizons | YACHT,200,74638,www.yacht.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-23T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.yacht.nl, O=Randstad Nederland B.V., L=Diemen, C=NL",*.yacht.nl,yacht.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,232fd07bb325a9321994b21f896bab7a,4e3715c2e2c4e9e6b5a132ac815531152ad690ceb5bab88c09d16f3d07c2c9bf,ctls,www.yacht.nl,443,https://id.yacht.nl:443,https,,text/html,GET,52.212.240.230,/,1929187312,34.240.142.125,HSTS,2173,False,Randstad Nederland B.V.,True,https://www.yacht.nl,
ides.yacht.nl,Yacht: Pushing Horizons | YACHT,200,74638,www.yacht.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-23T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.yacht.nl, O=Randstad Nederland B.V., L=Diemen, C=NL",*.yacht.nl,yacht.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,232fd07bb325a9321994b21f896bab7a,4e3715c2e2c4e9e6b5a132ac815531152ad690ceb5bab88c09d16f3d07c2c9bf,ctls,www.yacht.nl,443,https://ides.yacht.nl:443,https,,text/html,GET,34.240.142.125,/,-1043166249,52.212.240.230,HSTS,2173,False,Randstad Nederland B.V.,True,https://www.yacht.nl,
image.email.yacht.nl,Access Denied,403,272,image.email.yacht.nl,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2022-11-14T00:00:00Z,2023-12-15T23:59:59Z,"CN=akamai-san9.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",akamai-san9.exacttarget.com,image.atyourservice.onstar.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,671bc641b24f9897be5c1a7d6950c591,a651bd897d5b40c142dda5453ac0a60a7859462603632b97d9f1255437b3c5fd,ctls,image.email.yacht.nl,443,https://image.email.yacht.nl:443,https,AkamaiGHost,text/html,GET,23.37.34.17,/,-934295414,23.37.34.17,,10,False,"SALESFORCE.COM, INC.",,,
ing.yacht.nl,zCalendar,404,840,ing.yacht.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2023-05-24T00:00:00Z,2024-06-14T23:59:59Z,CN=inzamelkalender-test.hvcgroep.nl,inzamelkalender-test.hvcgroep.nl,www.inzamelkalender-test.hvcgroep.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,17e9ffcbb71f090fb45249d3ea2a1725,f643014b895e32cf1843660ea77f9cff928a373dcb255cb5874c664f91728cb2,ctls,ing.yacht.nl,443,https://ing.yacht.nl:443,https,Apache,text/html,GET,213.197.248.200,/,2109261826,213.197.248.200,Apache,22,False,,,,
intranet.yacht.nl,Randstad Groep Nederland,403,2034,randstadgroep.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-16T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.randstadgroep.nl, O=Randstad Nederland B.V., L=Diemen, C=NL",*.randstadgroep.nl,randstadgroep.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,9d382f66c6c42fa1c7e218bd1b322928,b57f690ba27d7c840220b7594b621e43fb5bdcbd291baff67ed641a9c8f49dc6,ctls,randstadgroep.nl,443,https://intranet.yacht.nl:443,https,Apache,,GET,34.240.142.125,/,-1628211723,52.212.240.230,HSTS,30,False,Randstad Nederland B.V.,True,https://randstadgroep.nl,
iservice.yacht.nl,ServiceNow  RGN,200,29848,iservice.randstadgroep.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-11T20:33:57Z,2023-08-09T20:33:56Z,CN=iservice.randstadgroep.nl,iservice.randstadgroep.nl,iservice.randstadgroep.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,09a95ee67c21df56c16ad42e02659089,c9e90bf3ec66b78a6915dcc62901069a6bbf7e693c27bd41dfe38c027d3fd6e0,ctls,iservice.randstadgroep.nl,443,https://iservice.yacht.nl:443,https,snow_adc,text/html,GET,52.212.240.230,/,-244700875,34.240.142.125,Java,425,False,,,https://iservice.randstadgroep.nl/auth_redirect.do?sysparm_stack=no&sysparm_url=https%3A%2F%2Fglobalidp.randstadservices.com%2Fsamlp%2FQaIlVmdf6LYY07D4pd1g7Ml3ufPpByYI%3FSAMLRequest%3DlVLLbtswEPwVgXc9LFt%252BEJYBxUYQAU6qxG4A90aJK4UARbJcymn%252BvrKsNOmhAQrwRM7OzM5wjayVsaFZ517UE%252FzsAJ33q5UK6fUlJZ1VVDMUSBVrAamr6CG739M4iKix2ulKS%252BJliGCd0GqrFXYt2APYs6jg%252B9M%252BJS%252FOGaRhKPB6GVimODrGG6vBBEqGip0NayDgmni73oNQ7EL2MdpIXTIpuPkzO3JhUOk2vJg14SPL5XPL6%252Fn%252BdIoWu5nhk2ZxL6ddXZibt1NOvFttKxiWTUnNJALx8l1KDg%252FbaLosp7N6sqpnUVIvyiouOU%252BqFV8lsFxB0gOxYIjiDB%252BjiB3kqnejXEriKJ760cKP5scoprP%252BzIM4Wf4gXjHGdCMUF6r5OtPyCkJ6dzwWfvHtcBwIzoKDfejR%252FxvnM1gcouzJyWY91EoH5%252FZz01%252BbYu%252F1ks27um0UYmUsD0YbvtKvlzLW4WeNUdHQi%252Fd8V2gpqjcvk1K%252Fbi0w1%252B%252FjbAdDNS1z%252F7YxCSbDjeB%252BPUAptEzIjHMLiCTcjLp%252Ff%252BbNbw%253D%253D%26RelayState%3Dhttps%253A%252F%252Fiservice.randstadgroep.nl%252Fiservice%252F,
