input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_expired,tls_mismatched,csp_domains_,final_url,tls_subject_org_
1.nozbe.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,80,http://1.nozbe.com:80,http,CloudFront,text/html,GET,108.138.7.79,/,1682397521,108.138.7.19,Amazon Web Services,20,False,,cloudfront,True,,,,,
10steps-payments.nozbe.com,Nozbe - najlepsze narzędzie do zarządzania projektami i współpracy w zespole,200,132400,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://10steps-payments.nozbe.com:443,https,AmazonS3,text/html,GET,85.10.232.84,/,-748669091,85.10.232.84,Hugo:0.80.0,5550,False,True,,,,,,https://nozbe.com/pl,
213-87.staging.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://213-87.staging.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
2fa.nozbe.com,,200,12,2fa.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,2fa.nozbe.com,443,https://2fa.nozbe.com:443,https,,,GET,52.59.65.107,/,619653921,52.59.65.107,,1,False,True,,,,,,,
4.nozbe.com,Nozbe,200,3102,nozbe.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f30dda2b57ebaa69d4d9c06793577b86,41b693112eef2008533b144a3990aaffa097e2affc92e9dd694bb704bb882c9a,ctls,nozbe.app,443,https://4.nozbe.com:443,https,cloudflare,text/html,GET,108.62.123.206,/,1226447239,108.62.123.206,HTTP/3,1,False,True,,,,,https://nozbe.com,https://nozbe.app/,"Cloudflare, Inc."
8s.staging.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://8s.staging.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
about.staging.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://about.staging.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
admin.staging.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://admin.staging.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
api.nozbe.com,,404,13,api.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,api.nozbe.com,443,https://api.nozbe.com:443,https,nginx,text/html,GET,52.16.173.74,/,673264342,52.16.173.74,Node.js,2,False,True,,,,,,,
api4-2.nozbe.com,403 Forbidden,403,150,api4-2.nozbe.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-15T22:22:04Z,2023-09-13T22:22:03Z,CN=devapi4.nozbe.com,devapi4.nozbe.com,devapi4.nozbe.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,635f2ff680d01b9e987d51d38fff4e5b,67a843572008c681ef0c2f858e39c9f000d2fd2d2ffcb989bccc573fb784f3e4,ctls,api4-2.nozbe.com,443,https://api4-2.nozbe.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,116.202.203.198,/,29599957,116.202.203.198,Ubuntu,8,False,,,,,,,,
