input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url
airdrop.virtuswap.io,Virtuswap | Airdrop,200,1999,airdrop.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-06-14T23:59:59Z,CN=airdrop.virtuswap.io,airdrop.virtuswap.io,airdrop.virtuswap.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0c8779638d6cbdd62b188807c9dcc4f0,8b0f28e2c263b23120862f4f53d7e7ce9f7d5b4c50c517031f8fda5acf6d8d52,ctls,airdrop.virtuswap.io,cloudfront,443,https://airdrop.virtuswap.io:443,https,AmazonS3,text/html,GET,13.225.78.71,/,-251165214,13.225.78.102,Font Awesome,4,False,True,,
airdropapi.virtuswap.io,Error,404,139,airdropapi.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T21:44:31Z,2023-10-18T21:44:30Z,CN=airdropapi.virtuswap.io,airdropapi.virtuswap.io,airdropapi.virtuswap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b43b0e03b8d395672291f3ec2b7fde80,8f142a9ee999b979b398c877072081de4b64fabef98e2222e5647966adc21adb,ctls,airdropapi.virtuswap.io,,443,https://airdropapi.virtuswap.io:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,34.228.197.110,/,1593207841,34.228.197.110,Ubuntu,11,False,,,
api-integration.virtuswap.io,,404,72,api-integration.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,2024-03-01T23:59:59Z,CN=api-integration.virtuswap.io,api-integration.virtuswap.io,api-stage.virtuswap.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b4cfd38c3a047d11f32df55e87909696,860a11ce8b92a821abac05267abfe5b65a0ebf6497da2bcbca6db479930a811b,ctls,api-integration.virtuswap.io,cloudfront,443,https://api-integration.virtuswap.io:443,https,,application/json,GET,13.227.219.83,/,-522708096,13.227.219.66,HTTP/3,1,False,True,,
api.virtuswap.io,,404,72,api.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-29T00:00:00Z,2024-02-27T23:59:59Z,CN=api.virtuswap.io,api.virtuswap.io,api.virtuswap.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3a0dae752adc778727d831c32a1098a5,c0d1c6992ba6b8ef712abd4a026aba8976213c666f7e244032d55a8aff670c5a,ctls,api.virtuswap.io,cloudfront,443,https://api.virtuswap.io:443,https,,application/json,GET,65.9.86.64,/,-522708096,65.9.86.18,HTTP/3,1,False,True,,
app.virtuswap.io,Virtuswap Interface,200,1879,app.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-31T00:00:00Z,2024-06-28T23:59:59Z,CN=app.virtuswap.io,app.virtuswap.io,app.virtuswap.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7de885b8bf1808b12604e36fa4ec14a2,89dd6affd8992aa6e4e522c68bc565203fa59981c3501b1bb89d7bfee6a14f2b,ctls,app.virtuswap.io,cloudfront,443,https://app.virtuswap.io:443,https,AmazonS3,text/html,GET,13.224.189.97,/,-2123205636,13.224.189.120,HTTP/3,3,False,True,,
discourse.virtuswap.io,VirtuSwapDAO,200,83174,discourse.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T23:43:06Z,2023-09-23T23:43:05Z,CN=discourse.virtuswap.io,discourse.virtuswap.io,discourse.virtuswap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fa11b4a1a9d52e85249f537d310f0927,bd999cd33db4bae1daa60847f9c42ec6d6a639197bf18751118375f8218457c1,ctls,discourse.virtuswap.io,,443,https://discourse.virtuswap.io:443,https,nginx,text/html,GET,3.224.117.241,/,-1840324437,3.224.117.241,Ruby on Rails,421,False,,https://discourse.virtuswap.io/plugins/,
docs.virtuswap.io,What is VirtuSwap? - VirtuSwap Documentation,200,169211,docs.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T09:19:04Z,2023-10-04T09:19:03Z,CN=docs.virtuswap.io,docs.virtuswap.io,docs.virtuswap.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c90d881cce5b85e25826f8d163b22398,2d773d6471b7fa9f6096a1e56d0a654c07d6fddb9a9e412170e9aa74140d48ed,ctls,docs.virtuswap.io,cloudflare,443,https://docs.virtuswap.io:443,https,cloudflare,text/html,GET,104.18.3.117,/,-1773577842,2606:4700::6812:375,HTTP/3,1077,False,True,https://cdn.polyfill.io,https://docs.virtuswap.io/virtuswap-documentation/virtuswap-basics/what-is-virtuswap
https://discourse.virtuswap.io/assets/,Page Not Found - VirtuSwapDAO,404,9589,discourse.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T23:43:06Z,2023-09-23T23:43:05Z,CN=discourse.virtuswap.io,discourse.virtuswap.io,discourse.virtuswap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fa11b4a1a9d52e85249f537d310f0927,bd999cd33db4bae1daa60847f9c42ec6d6a639197bf18751118375f8218457c1,ctls,discourse.virtuswap.io,,443,https://discourse.virtuswap.io:443/assets/,https,nginx,text/html,GET,3.224.117.241,/assets/,-1840324437,3.224.117.241,Ruby on Rails,156,False,,,
https://discourse.virtuswap.io/brotli_asset/,Page Not Found - VirtuSwapDAO,404,9589,discourse.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T23:43:06Z,2023-09-23T23:43:05Z,CN=discourse.virtuswap.io,discourse.virtuswap.io,discourse.virtuswap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fa11b4a1a9d52e85249f537d310f0927,bd999cd33db4bae1daa60847f9c42ec6d6a639197bf18751118375f8218457c1,ctls,discourse.virtuswap.io,,443,https://discourse.virtuswap.io:443/brotli_asset/,https,nginx,text/html,GET,3.224.117.241,/brotli_asset/,-1840324437,3.224.117.241,Ruby on Rails,156,False,,,
https://discourse.virtuswap.io/extra-locales/,Page Not Found - VirtuSwapDAO,404,9589,discourse.virtuswap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T23:43:06Z,2023-09-23T23:43:05Z,CN=discourse.virtuswap.io,discourse.virtuswap.io,discourse.virtuswap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fa11b4a1a9d52e85249f537d310f0927,bd999cd33db4bae1daa60847f9c42ec6d6a639197bf18751118375f8218457c1,ctls,discourse.virtuswap.io,,443,https://discourse.virtuswap.io:443/extra-locales/,https,nginx,text/html,GET,3.224.117.241,/extra-locales/,-1840324437,3.224.117.241,Ruby on Rails,156,False,,,
