input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tech_,cdn_name,webserver,cdn,tls_mismatched,tls_wildcard_certificate,final_url,csp_domains_,location
aaaaaab5.backtoschool.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://aaaaaab5.backtoschool.jfrog.com:80,http,text/html,GET,143.204.98.28,/,1980714535,143.204.98.99,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
abgyan-overseas.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://abgyan-overseas.jfrog.com:80,http,text/html,GET,143.204.98.28,/,-53726138,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
abtesting.academy.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://abtesting.academy.jfrog.com:80,http,text/html,GET,143.204.98.46,/,1428965179,143.204.98.28,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
academy.jfrog.com,JFrog Academy,200,364521,academy.jfrog.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=*.jfrog.com,*.jfrog.com,,jfrog.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b635c942074773c3c4eddfeaa5c6225,50baee5ea3b5f87a55eb0a7524bade1b7987920c624e4970e348629540539a83,ctls,academy.jfrog.com,443,https://academy.jfrog.com:443,https,text/html,GET,13.32.99.56,/,-286035390,13.32.99.125,5868,False,gunicorn,cloudfront,gunicorn,True,,True,,https://*.force.com,
accounts-beta-ru.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://accounts-beta-ru.jfrog.com:80,http,text/html,GET,143.204.98.28,/,-1541936260,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
adamlambertmerch.liquidsoftware.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://adamlambertmerch.liquidsoftware.jfrog.com:80,http,text/html,GET,143.204.98.99,/,-920686232,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
administrator.swampowertravel.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://administrator.swampowertravel.jfrog.com:80,http,text/html,GET,143.204.98.46,/,443075455,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
afc-6-48-155-3.staysafe.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://afc-6-48-155-3.staysafe.jfrog.com:80,http,text/html,GET,143.204.98.99,/,-145943467,143.204.98.46,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
afmspdc.safeswamps.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://afmspdc.safeswamps.jfrog.com:80,http,text/html,GET,143.204.98.99,/,-280485795,143.204.98.28,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
airtelafrica.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,80,http://airtelafrica.jfrog.com:80,http,text/html,GET,143.204.98.28,/,1897665762,143.204.98.6,20,False,Amazon Web Services,cloudfront,CloudFront,True,,,,,
