input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_,location
*.adsrvr.org,Object moved,302,148,adsrvr.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-12T16:51:15Z,2024-05-13T16:51:14Z,CN=*.adsrvr.org,*.adsrvr.org,,adsrvr.org,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f79c5141df51cffd9e9cea4c7036588a,e68c571f6556fdc7e62e944d5f644f99c25aaf7a1da0f14714fcc9e2b0411832,True,ctls,adsrvr.org,,443,https://adsrvr.org:443,https,Microsoft-IIS/10.0,text/html,GET,54.243.77.29,/,-2003816794,3.83.71.52,Windows Server,4,False,,,https://adsrvr.org/?AspxAutoDetectCookieSupport=1,https://js-agent.newrelic.com,/?AspxAutoDetectCookieSupport=1
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128657,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:19:15Z,2023-09-25T08:19:14Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,d38b2399690f104027969838ca3503d1,b5ec0a1e9d334b426410c0cebe858a37f3ff6997a5cd787ff13a7fa77f589c77,True,ctls,marketingplatform.google.com,,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.186.174,/,708578229,2a00:1450:4001:82b::200e,HTTP/3,2177,False,,,https://marketingplatform.google.com/about/enterprise/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:19:15Z,2023-09-25T08:19:14Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,11051355151e2a8a6472f13dda546c05,1c961f4ff86b10afdcc827d5d23799e61c31b25b8ca2e5baf01283382178c46b,True,ctls,googletagmanager.com,,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.186.40,/,302920777,2a00:1450:4001:80b::2008,HTTP/3,12,False,,,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:23:57Z,2023-09-25T08:23:56Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3fccc39381a19ebf3cd39b539221dd29,650f9dd06c8ea335c94b5eaa983924e84775b2ce310c699e1a47c36e9fe7cc84,True,ctls,www.gstatic.com,,443,https://gstatic.com:443,https,sffe,text/html,GET,172.217.23.99,/,302920777,2a00:1450:4001:800::2003,HTTP/3,12,False,,,https://www.gstatic.com/,,
*.gstatic.com/recaptcha/,Error 404 (Not Found)!!1,404,1571,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:23:57Z,2023-09-25T08:23:56Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3fccc39381a19ebf3cd39b539221dd29,650f9dd06c8ea335c94b5eaa983924e84775b2ce310c699e1a47c36e9fe7cc84,True,ctls,www.gstatic.com,,443,https://gstatic.com:443/recaptcha/,https,sffe,text/html,GET,172.217.23.99,/recaptcha/,302920777,2a00:1450:4001:800::2003,HTTP/3,12,False,,,https://www.gstatic.com/recaptcha/,,
*.linkedin.com,,429,24558,www.linkedin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-02T00:00:00Z,2023-12-02T23:59:59Z,"CN=www.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",www.linkedin.com,LinkedIn Corporation,status.linkedin.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3eecc485294fa557592f1b66319d6a07,378677dc26b2a8d65824456b343479bc77ef498352c21f77d13995b70014b9ad,,ctls,www.linkedin.com,,443,https://linkedin.com:443,https,,text/html,GET,13.107.42.14,/,1882172304,2620:1ec:21::14,,5,False,,,https://www.linkedin.com/,,
*.oribi.io,Helping Customers Build Smarter Campaigns With a New Investment in Marketing Attribution Technology,200,60744,www.linkedin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-02T00:00:00Z,2023-12-02T23:59:59Z,"CN=www.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",www.linkedin.com,LinkedIn Corporation,status.linkedin.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3eecc485294fa557592f1b66319d6a07,378677dc26b2a8d65824456b343479bc77ef498352c21f77d13995b70014b9ad,,ctls,www.linkedin.com,,443,https://oribi.io:443,https,,text/html,GET,34.218.159.2,/,-950964867,35.163.1.238,Java,1037,False,,,https://www.linkedin.com/business/marketing/blog/linkedin-ads/helping-customers-build-smarter-campaigns-with-a-new-investment-in-marketing-attribution-technology,www.slideshare.net,
*.twitter.com,,302,60,twitter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-25T00:00:00Z,2023-12-25T23:59:59Z,"CN=twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",twitter.com,"Twitter, Inc.",www.twitter.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,14608795d2a458d92480ea3da257412a,6303deba8b6ea738677678bb4eb36ec38959b9f334f253cbcd9eb0d5786f9cd0,,ctls,twitter.com,,443,https://twitter.com:443,https,tsa_f,text/plain,GET,104.244.42.1,/,-1831547740,104.244.42.1,Node.js,1,False,,,https://twitter.com/i/flow/login?redirect_after_login=%2F,,/i/flow/login?redirect_after_login=%2F
*.youtube.com,YouTube,200,286338,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:19:15Z,2023-09-25T08:19:14Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,d38b2399690f104027969838ca3503d1,b5ec0a1e9d334b426410c0cebe858a37f3ff6997a5cd787ff13a7fa77f589c77,True,ctls,m.youtube.com,,443,https://youtube.com:443,https,ESF,text/html,GET,142.250.185.142,/,1179099333,2a00:1450:4001:80f::200e,HTTP/3,13,False,,True,https://m.youtube.com/,,
api.exchange.bullish.com,,404,,api.exchange.bullish.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-01T00:00:00Z,2023-10-01T23:59:59Z,"CN=bullish.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bullish.com,"Cloudflare, Inc.",sn-cdata.ext-api.simnext.bullish.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",39711d3ea0f5a59c2456643042d582af,23d4fa05135e46cd05297f5f96f19fe1af183d12a71640932be44f12627ec6cf,,ctls,api.exchange.bullish.com,cloudflare,443,https://api.exchange.bullish.com:443,https,cloudflare,,GET,104.18.21.32,/,-1840324437,2606:4700::6812:1420,HSTS,1,False,True,,,,
