new,host,ttl,a,soa,status_code,cname,txt,mx,cdn,cdn-name,ns,has_internal_ips,internal_ips,caa,aaaa
[x],accessmc.cvshealth.com,28800,12.46.112.197,"{'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,,,,,,,
[x],aiminterop.aetapps.dev.cvshealth.com,43,,"{'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,True,google,,,,,
[x],aiminterop.aetapps.qa.cvshealth.com,28800,34.54.6.102,"{'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,True,google,,,,,
[x],cvs.com,900,2.23.196.166,"{'name': 'cvs.com', 'ns': 'a1-84.akam.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 734, 'refresh': 3600, 'retry': 3600, 'expire': 600000, 'minttl': 86400}, {'name': 'cvs.com', 'ns': 'a1-84.akam.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 734, 'refresh': 3600, 'retry': 3600, 'expire': 600000, 'minttl': 86400}, {'name': 'cvs.com', 'ns': 'a1-84.akam.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 734, 'refresh': 3600, 'retry': 3600, 'expire': 600000, 'minttl': 86400}, {'name': 'cvs.com', 'ns': 'a1-84.akam.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 734, 'refresh': 3600, 'retry': 3600, 'expire': 600000, 'minttl': 86400}",NOERROR,,"ciscocidomainverification=705549d27a843b32e758d0bc4801c7cf91dfa97d4b45cb50efc47b13030ba4ac, v=spf1 include:%{d}.4e.spf-protect.agari.com exists:%{i}._i.%{d}._d.espf.agari.com ~all, google-site-verification=fbUhfHbwllvn7M-gVcJLrXqhChHrJRebHaNWEUXKQ4Y, globalsign-domain-verification=35D74D4BC499739924983CC503706461, MS=ms12542358, br5t6tzd4ncxdc47ybj5v5d7f6zbcsgf, MS=ms29505977, atlassian-domain-verification=QCO/Xs3aTyZngwI+1uAl/OQf/Lv1jLEFCbceUN4nwS4W/LCLn1NCGcXM0L1Wmo1q, adobe-idp-site-verification=9ed98e4fe0be32e6690cdcb5ee4b1ea0c0055ba3671cf84cf812835d2f7440ec, zSZzqNzhqd3jeA0sjuVLU1gy-EJd, _globalsign-domain-verification=9AWO6eE8iMSKeIygo2VMUx5wyEkE7Cz_acdjCtoZLg, facebook-domain-verification=fcmkf1t2keuxq4bv8l9vj74dupmhqx, google-site-verification=PtyQW87Ifu9afb-6HCn9nu2wNU174FHuolJpdRrQQms, google-site-verification=foi1atYupGP-omlZoFn9dysIx9u0fy0rdsQyuGY8Pvg","usb-smtp-inbound-1.mimecast.com, usb-smtp-inbound-2.mimecast.com",,,,,,,
[x],cvshealth.com,900,,"{'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}, {'name': 'cvshealth.com', 'ns': 'eazshdcdnsextdns.cvshealth.com', 'mailbox': 'please_set_email.absolutely.nowhere', 'serial': 2017012849, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 900}",NOERROR,,"j=c4ajO@e, cisco-ci-domain-verification=5049e7639f3c5e35f8787687f6fcd4e19d0e59a1c1e2f4aeb39c518f77361e38, webexdomainverification.47738c885ec916a8e053ad06fc0aacb9=73cba20b-4c7b-4543-9998-88a375c0b641, google-site-verification=uo7c2E2jlX2tXZBRxLO-6D8-iKR6Y--N-lRhj3eZOvU, yTyx2ItBUQcN2ytgljBEPmU, globalsign-domain-verification=22405B73BB68CC04596C5E70F36D52B9, ibmid=6a7f324a-c117-45c7-8fb3-1c672456fb17, airtable-verification=0b190fefb80713c9a0a4dc7aeff7f601, v=spf1 include:%{d}.4e.spf-protect.agari.com exists:%{i}._i.%{d}._d.espf.agari.com ~all, atlassian-domain-verification=rbol7KO24uqmmUHRKbNXFEa0c8sahzqVqMLaoJG20b/2ZpfAf1QupTemS/Y98OYn, postman-domain-verification=7cdf2991068afb84c939c2b98255c00d0a65a51207fee28b29ec6e0d946541c35eaffae79d207f73d6a299460386e39ac6cf0cb54201b5264b87d332f1be6c69, 4Lvx0roG6OYQvkr7RVXPj+B7WTk6Q8z23A+bzkkYRxB70jMtaZxSYrwRS0S7jYxuHG4+sYYmKCc0gQDaFYhlbQ==, 1z8m5sbr1fxnxj650zxz43sw94bjlv6z, miro-verification=e7f7895da21424dcdb1bfddde604670aa298f32f, cisco-ci-domain-verification=58ca39aa508f70bd78c67b673a97e38948b6de7d9455d96b506f8359acb790b4, atlassian-domain-verification=QCO/Xs3aTyZngwI+1uAl/OQf/Lv1jLEFCbceUN4nwS4W/LCLn1NCGcXM0L1Wmo1q, nintex.5a6645b085ad31285dd18aee, MS=ms27311851, SFMC-VzfvElr_b-u1T29BcCU0pSIgXFQekLkNUby4x2Xp, box-domain-verification=83fc24f976903750e8495b81deffd64d556c95779d6a12826518b991dbeec013, webexdomainverification.5061ac3ea7e6d1cae053ab06fc0af3d7=b377c315-004c-46c6-93f9-0f6aa95b0d69, ciscocidomainverification=2ef31adcd82fe832e5619a99639f95354e2e7465bc686df299841cff813b9291, mongodb-site-verification=88uqFlOIUURbaHS9kCROqFD52f1GtqP1, google-site-verification=4VfXXH8Th8QMFjZelSUj4v7R3udknCjY2iDewixpp8M, google-site-verification=R30fblDV_akiJqx6BHOHiXi3I8LZdbpGN-O6OtS69JU, _globalsign-domain-verification=9AWO6eE8iMSKeIygo2VMUx5wyEkE7Cz_acdjCtoZLg, onetrust-domain-verification=50c52743e881457795f08f035d8333d9, amazonses:xezP3twwgC9b3IRpGoSt/CkFtDycanxSYTs2s+3ZrGo=","usb-smtp-inbound-2.mimecast.com, usb-smtp-inbound-1.mimecast.com",True,fastly,"a8-65.akam.net, a18-67.akam.net, a7-64.akam.net, a13-65.akam.net, a14-66.akam.net, a1-84.akam.net",,,,
[x],jenkins-retail-01.cvshealth.com,3600,45.223.19.220,"{'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",NOERROR,4d8dzz8.impervadns.net,,,,,,,,,
[x],pt.api-pss-benefit-usc.cvshealth.com,28800,45.223.19.220,"{'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",NOERROR,7nrr7qm.ng.impervadns.net,,,,,,,,,
[x],uat.api-hcd-minuteclinic-use2.cvshealth.com,28800,45.223.19.220,"{'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",NOERROR,xign8d5.ng.impervadns.net,,,,,,,,,
[x],view.myhealth.cvs.com,3600,128.245.51.191,"{'name': 'view-sap.sfmc-marketing.com', 'ns': 'dns01.salesforce.com', 'mailbox': 'hostmaster.salesforce.com', 'serial': 2022090658, 'refresh': 1800, 'retry': 900, 'expire': 2592000, 'minttl': 1800}, {'name': 'view-sap.sfmc-marketing.com', 'ns': 'dns01.salesforce.com', 'mailbox': 'hostmaster.salesforce.com', 'serial': 2022090658, 'refresh': 1800, 'retry': 900, 'expire': 2592000, 'minttl': 1800}, {'name': 'view-sap.sfmc-marketing.com', 'ns': 'dns01.salesforce.com', 'mailbox': 'hostmaster.salesforce.com', 'serial': 2022090658, 'refresh': 1800, 'retry': 900, 'expire': 2592000, 'minttl': 1800}, {'name': 'view-sap.sfmc-marketing.com', 'ns': 'dns01.salesforce.com', 'mailbox': 'hostmaster.salesforce.com', 'serial': 2022090658, 'refresh': 1800, 'retry': 900, 'expire': 2592000, 'minttl': 1800}, {'name': 'view-sap.sfmc-marketing.com', 'ns': 'dns01.salesforce.com', 'mailbox': 'hostmaster.salesforce.com', 'serial': 2022090658, 'refresh': 1800, 'retry': 900, 'expire': 2592000, 'minttl': 1800}",NOERROR,tlydzpy88p27kg-1fttdw2rn808m.view-sap.sfmc-marketing.com,,,,,,,,,
[x],virtualvisitapi-dev.cvs.com,86400,146.75.119.29,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",NOERROR,cvs.map.fastly.net,,,True,fastly,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,,2a04:4e42:8e::797
