new,host,ttl,a,soa,status_code,aaaa,txt
[x],voiscooters.com,242,"172.67.128.92, 104.21.0.228","{'name': 'voiscooters.com', 'ns': 'josh.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350511066, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'voiscooters.com', 'ns': 'josh.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350511066, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2a06:98c1:3121::, 2a06:98c1:3120::","google-site-verification=s6MFYi50fhhLoKYyENEgZv3lghOfai05cgxfUPEYoiA, v=spf1 include:_spf.google.com -all, facebook-domain-verification=xs3la46k88j4j1km1vj1ntvddz8knv, trend-micro-v1-domain-verification.bd94d929cdb4cbed24a96879f7fe43fe=12dbed1e-274a-40fb-8695-791d7f0e8aa9"
,mecenat.voiscooters.com,300,"188.114.97.3, 188.114.96.3","{'name': 'voiscooters.com', 'ns': 'josh.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350511066, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'voiscooters.com', 'ns': 'josh.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350511066, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'voiscooters.com', 'ns': 'josh.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350511066, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'voiscooters.com', 'ns': 'josh.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350511066, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'voiscooters.com', 'ns': 'josh.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350511066, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,
