new,host,a,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,aaaa,caa,has_internal_ips,internal_ips
,custhelp.payoneer.com,138.1.113.163,payoneer.custhelp.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,True,oracle,,,,,,,
,customerfiles.payoneer.com,"13.225.34.118, 13.225.34.8, 13.225.34.94, 13.225.34.80",d3ep8j17smixrj.cloudfront.net,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-41.awsdns-05.com, ns-771.awsdns-32.net, ns-1108.awsdns-10.org, ns-1875.awsdns-42.co.uk",,,,
,customerfiles.qa.payoneer.com,"18.164.52.69, 18.164.52.68, 18.164.52.102, 18.164.52.24",d3ctvgtxgd49n3.cloudfront.net,"ns-1687.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1112.awsdns-11.org, ns-1687.awsdns-18.co.uk, ns-554.awsdns-05.net, ns-68.awsdns-08.com",,,,
,customerfiles.sandbox.payoneer.com,"108.139.243.82, 108.139.243.72, 108.139.243.123, 108.139.243.76",dr8wfnbuyl160.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1209.awsdns-23.org, ns-1801.awsdns-33.co.uk, ns-229.awsdns-28.com, ns-916.awsdns-50.net",,,,
,dev.payoneer.com,,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,developer.payoneer.com,35.190.33.81,developer-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,docs.payoneer.com,35.190.33.81,docs-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,downloads.payoneer.com,35.190.33.81,downloads-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,downloads.sandbox.payoneer.com,130.211.36.192,fire-gcp-lb-192.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,duediligence.payoneer.com,35.190.33.81,fire-gcp-lb-81.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,dyntest.payoneer.com,8.8.8.8,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,emailverification.sandbox.payoneer.com,130.211.36.192,emailverification-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,emailverificationapi.payoneer.com,35.190.33.81,emailverificationapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,emailverificationapi.sandbox.payoneer.com,130.211.36.192,emailverificationapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,"ns-1226.awsdns-25.org, ns-1972.awsdns-54.co.uk, ns-273.awsdns-34.com, ns-518.awsdns-00.net",,,,
,engineering.payoneer.com,"162.159.153.4, 162.159.152.4",,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
,enterpriseregistration.payoneer.com,20.190.137.40,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net, www.tm.prd.adrs.trafficmanager.net","internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
,evserver.payoneer.com,193.104.115.5,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,explore.payoneer.com,35.190.33.81,explore-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,externaltokenservice.sandbox.payoneer.com,,externaltokenservice-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,fdcapplicationapi.payoneer.com,35.190.33.81,fdcapplicationapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,fdcapplicationapi.sandbox.payoneer.com,130.211.36.192,fdcapplicationapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
