input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,tls_mismatched,final_url
accounts.adafruit.com,Accounts,200,14801,accounts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,accounts.adafruit.com,443,https://accounts.adafruit.com:443,https,cloudflare,text/html,GET,104.20.38.240,/,-1840324437,2606:4700:10::6814:27f0,Ruby on Rails,268,False,Adafruit Industries LLC,True,cloudflare,True,,https://accounts.adafruit.com/users/sign_in
adafruit.com,"Adafruit Industries, Unique & fun DIY electronics and kits",200,41257,www.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,www.adafruit.com,443,https://adafruit.com:443,https,cloudflare,text/html,GET,104.20.39.240,/,-1560518779,2606:4700:10::6814:27f0,HSTS,660,False,Adafruit Industries LLC,True,cloudflare,True,,https://www.adafruit.com/
cdn-blog.adafruit.com,,403,243,cdn-blog.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,cdn-blog.adafruit.com,443,https://cdn-blog.adafruit.com:443,https,cloudflare,application/xml,GET,104.20.38.240,/,734117640,2606:4700:10::6814:27f0,HSTS,2,False,Adafruit Industries LLC,True,cloudflare,True,,
cdn-daily-blog.adafruitdaily.com,,403,255,cdn-daily-blog.adafruitdaily.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T03:52:45Z,2023-10-04T03:52:44Z,CN=adafruitdaily.com,adafruitdaily.com,adafruitdaily.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,36aaf49963cd2c3cf1191e38f79b4582,2cc0172a4869e3e37f7679dcb0b0c1001c1fe70623e42859483854ccdf76c954,ctls,cdn-daily-blog.adafruitdaily.com,443,https://cdn-daily-blog.adafruitdaily.com:443,https,cloudflare,application/xml,GET,172.67.181.184,/,-1518964954,2606:4700:3033::6815:2ba5,HTTP/3,2,False,,True,cloudflare,True,,
cdn-learn.adafruit.com,,404,9,cdn-learn.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,cdn-learn.adafruit.com,443,https://cdn-learn.adafruit.com:443,https,cloudflare,text/plain,GET,104.20.39.240,/,-738705486,2606:4700:10::6814:26f0,HSTS,1,False,Adafruit Industries LLC,True,cloudflare,True,,
cdn-shop.adafruit.com,,404,9,cdn-shop.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,cdn-shop.adafruit.com,443,https://cdn-shop.adafruit.com:443,https,cloudflare,text/plain,GET,104.20.38.240,/,-738705486,2606:4700:10::6814:27f0,HSTS,1,False,Adafruit Industries LLC,True,cloudflare,True,,
forums.adafruit.com,adafruit industries - Forums Index,200,115969,forums.adafruit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,forums.adafruit.com,443,https://forums.adafruit.com:443,https,nginx,text/html,GET,54.91.7.192,/,913732846,54.91.7.192,Nginx,1998,False,Adafruit Industries LLC,True,,,,
i.adafruit.com,Accounts,200,14805,accounts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,accounts.adafruit.com,443,https://i.adafruit.com:443,https,cloudflare,text/html,GET,34.227.62.224,/,-403591137,34.227.62.224,Ruby on Rails,268,False,Adafruit Industries LLC,True,,,,https://accounts.adafruit.com/users/sign_in
kim.adafruit.com,404 Not Found,404,146,kim.adafruit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,kim.adafruit.com,443,https://kim.adafruit.com:443,https,nginx,text/html,GET,44.203.191.78,/,1494302000,44.203.191.78,Nginx,8,False,Adafruit Industries LLC,True,,,,
makecode.adafruit.com,Adafruit Circuit Playground Express - Blocks / Javascript editor,200,13677,makecode.adafruit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-17T00:00:00Z,2024-01-17T23:59:59Z,"CN=makecode.microbit.org, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",makecode.microbit.org,makecode.seeedstudio.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,608da642b26f1916de49eddaca3730bb,41ddf10fca8acc87125342e4222f251038aa4508c83ec05f780237a079558a8d,ctls,makecode.adafruit.com,443,https://makecode.adafruit.com:443,https,restify,text/html,GET,20.49.104.33,/,-685744919,20.49.104.33,HSTS,222,False,Microsoft Corporation,,azure,True,,
