new,host,a,soa,status_code,ns,cdn,cdn-name,cname,txt,mx,aaaa,caa,has_internal_ips,internal_ips
[x],authenticate.nextiva.com,45.60.124.195,,NOERROR,,True,incapsula,jekiv.sitelockcdn.net,,,,,,
[x],auto.nextos.com,45.60.122.195,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,,True,incapsula,xrbc7u5.x.incapdns.net,globalsign-domain-verification=61c3244e971bd6c2e56e21f314d9eb10,,,,,
[x],autodiscover.nextiva.com,"52.98.171.248, 40.99.150.72, 52.98.175.8, 52.98.171.232","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1026:c0d:77::8, 2603:1026:c0d:75::8, 2603:1026:c0d:34::8",,,
[x],autodiscover.partner.nextiva.com,"52.97.188.72, 40.99.157.8, 40.99.149.152","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1026:c0d:c28::8, 2603:1026:c0d:c29::8, 2603:1026:c0d:c1e::8, 2603:1026:c0d:803::8",,,
[x],azmanusa.nextos.com,45.60.122.195,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,,True,incapsula,xrbc7u5.x.incapdns.net,,,,,,
[x],azureviolins.nextos.com,45.60.122.195,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,,True,incapsula,xrbc7u5.x.incapdns.net,globalsign-domain-verification=61c3244e971bd6c2e56e21f314d9eb10,,,,,
[x],bbarnegat.nextos.com,45.60.122.195,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,,True,incapsula,xrbc7u5.x.incapdns.net,globalsign-domain-verification=61c3244e971bd6c2e56e21f314d9eb10,,,,,
[x],be.nextiva.com,"108.59.161.68, 108.59.162.68, 108.59.163.68, 108.59.164.68","ns1.p68.dns.oraclecloud.net, hostmaster.be.nextiva.com",NOERROR,"ns2.p68.dns.oraclecloud.net, ns3.p68.dns.oraclecloud.net, ns4.p68.dns.oraclecloud.net, ns1.p68.dns.oraclecloud.net",,,,,,,,,
[x],bellevuebv.nextos.com,45.60.122.195,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,,True,incapsula,xrbc7u5.x.incapdns.net,globalsign-domain-verification=61c3244e971bd6c2e56e21f314d9eb10,,,,,
[x],beta-testbed-vodka.cypressfairbanksisd.nextos.com,45.60.122.195,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,,True,incapsula,xrbc7u5.x.incapdns.net,globalsign-domain-verification=61c3244e971bd6c2e56e21f314d9eb10,,,,,
