new,host,soa,txt,status_code,a,aaaa,cdn,cdn-name,cname,mx,ns,has_internal_ips,internal_ips
[x],08-45.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],5-71-4-7.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],accbackupsauth-antiviruspre.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],address-book.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],administrator-api1cahideip.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],alextechriviera.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],anjilene.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],api-remote.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],ash2-heroicsuggest-b6.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],asilverfox.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],bid47bu.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],blackyd.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],blocker.dev001.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,192.163.246.153,,,,,,,,
[x],br264-ip04.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],bucketbetaapi.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],carefree.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],castalia.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],chefv3-wikiengineeringcistorebackups-www-test.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],dataportalsso.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],e24smtp02.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],farmville-3.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],fdoh3-1.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],fnjf9-1.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],fremont-22-6.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],fremont-35-23.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],gopayment-lv-stgl.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],h135-207-230-81.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],h135-207-254-40.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com","MS=ms43461111, google-site-verification=0mU2SjZMWOBaYwbImm-sX882CF7W_u2nYwyI1ekig94, google-site-verification=UgByVS5PVvP0r3Od9KL2LUtkNonQHnpQzR_UqPRImHM, google-site-verification=mZn9JJvJEnXzfbGpMU_vdMsYosldiAbeS-yi9Tm6HHU, google-site-verification=xtwB5impMtS0XSt6PMXhFU8uv43ArMx74VlD2N4qdQw, google-site-verification=xvdqWnPgVcORvsAfPOzg1guCs1lR6bZC0LKNZ6e_f-A, v=spf1 include:spf.hostgator.com.br include:relay.mailchannels.net include:mail.zendesk.com include:spf.protection.outlook.com include:amazonses.com -all",NOERROR,"172.66.40.38, 172.66.43.218","2606:4700:3108::ac42:2bda, 2606:4700:3108::ac42:2826",True,cloudflare,,hostgator-com-br.mail.eo.outlook.com,"ns1.hostgator.com.br, ns2.hostgator.com.br",,
[x],https-ar-m-wikipedia-org2-9.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],https-es-m-wikipedia-org-3-4.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],ig.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],klu3.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],lef11-1-pdb.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],lookout.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],luyu5.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],megavip-m.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],moundsview.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],mx1-cdg-sp1.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],na2-ias.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],newengineeringv4.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],p35-archivews.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],pbis-cf.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],preprodsecure.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],private-uat-mediaconfig-helpdesk.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],rdev-ramenfixing.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],rsccd.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],sjc1-weblb-wg8.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],skf.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,162.240.81.119,,,,,,,,
[x],sn-npoe7ner.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],stg-myspe.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],sz-m-api.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],tusbung.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],updateexchange.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],v2mqasugarcrm.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],vir.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],wealthmania1.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],zoomamn133mmr.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],zoomdvs13mmr.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
[x],zoomnyn135mmr.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
,0fwww3-2.dev006.hostgator.com.br,"ns1.hostgator.com.br, dns.cloudflare.com",,NOERROR,198.57.189.212,,,,,,,,
