input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,content_type,favicon,csp_domains_,final_url,tls_mismatched,tls_subject_org_
*.amazonaws.com,Cloud Computing Services - Amazon Web Services (AWS),200,1455827,aws.amazon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-11-02T00:00:00Z,2025-10-06T23:59:59Z,CN=aws.amazon.com,aws.amazon.com,1.aws-lbr.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8d31943f83d3752a7c0fbd2b8de12449,3b168ab338907eaefd5a4a28b8b86c42b47050d38c48e3ff1406f7005a956ac8,,ctls,aws.amazon.com,,80,http://amazonaws.com,http,Server,GET,72.21.206.80,/,/libra-css/images/site/fav/favicon.ico,207.171.166.22,React,1968,False,,other,0,text/html,-908690747,https://google.co.jp,https://aws.amazon.com/,,
*.api.gist.build,404 Not Found,404,146,api.gist.build,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-16T06:46:18Z,2025-04-16T06:46:17Z,CN=*.gist.build,*.gist.build,*.gist.build,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,59038caea3567a3590e8005a2ad4c566,56f25f5e185d64b5266643fa9e70c56c6abf749ae2c967650a09ba7e470b0031,True,ctls,api.gist.build,cloudflare,443,https://api.gist.build,https,cloudflare,GET,172.67.69.25,/,/favicon.ico,2606:4700:20::681a:b92,HSTS,8,False,True,error,0,text/html,,,,,
*.intercom.io,Intercom: The best AI agent built on the best customer service platform,200,178011,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-15T00:00:00Z,2026-01-14T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,6b8dbe561b9f0cae1b4af750e28fda60,51adee3fcf0ce0cffa6c62ba1ac318ff7b5682f5b70ab4debfc70312c8188272,True,ctls,www.intercom.com,cloudfront,443,https://intercom.io,https,nginx,GET,18.245.60.41,/,/xny2w179f4ki/2c7CrUnhSbJDC0VDyO4yn/7c86bd93ffc6444bd2104a0affa96498/favicon.png,18.245.60.95,Nginx,34,False,True,other,0,text/html,-1735989258,app-sjst.marketo.com,https://www.intercom.com/,,
*.statuspage.io,Improve Transparency with Statuspage | Atlassian,200,122109,www.atlassian.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-16T00:00:00Z,2026-02-15T23:59:59Z,CN=*.atlassian.net,*.atlassian.net,jiraservicedesk.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,465b3db7e1142f47c4eccfbfb16df9a4,28f9e95738db97d7897f74756aa6cb2b667166fa11f965a3c4af37ce6ea2dd2e,True,ctls,www.atlassian.com,,443,https://statuspage.io,https,AtlassianEdge,GET,104.192.142.23,/,/favicon-16x16.png,104.192.142.21,HSTS,5,False,,other,0,text/html,,,https://www.atlassian.com/software/statuspage,,
4a8c.eu-central-1-0.sendcloud.com,,404,,4a8c.eu-central-1-0.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-25T23:59:59Z,CN=*.sendcloud.com,*.sendcloud.com,*.integration.eu-central-1-0.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,db4d7e3df6172571e3cb59b0a066d86a,9a41ad139ce64ae607fa1c178a6b320cd8d0c7e76d839b491b47128bee9d3a41,True,ctls,4a8c.eu-central-1-0.sendcloud.com,cloudfront,443,https://4a8c.eu-central-1-0.sendcloud.com,https,envoy,GET,18.66.102.120,/,/favicon.ico,18.66.102.16,Envoy,1,False,True,other,0,,,,,,
5e71.shared.sendcloud.com,,404,,5e71.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,5e71.shared.sendcloud.com,cloudfront,443,https://5e71.shared.sendcloud.com,https,envoy,GET,3.161.82.35,/,/favicon.ico,3.161.82.115,Envoy,1,False,True,other,0,,,,,,
7be0.eu-central-1-0.sendcloud.com,,404,,7be0.eu-central-1-0.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-25T23:59:59Z,CN=*.sendcloud.com,*.sendcloud.com,*.integration.eu-central-1-0.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,db4d7e3df6172571e3cb59b0a066d86a,9a41ad139ce64ae607fa1c178a6b320cd8d0c7e76d839b491b47128bee9d3a41,True,ctls,7be0.eu-central-1-0.sendcloud.com,cloudfront,443,https://7be0.eu-central-1-0.sendcloud.com,https,envoy,GET,18.66.102.120,/,/favicon.ico,18.66.102.113,Envoy,1,False,True,other,0,,,,,,
account.sendcloud.com,Login - Sendcloud,200,11634,account.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-09-23T00:00:00Z,2025-10-22T23:59:59Z,CN=account.sendcloud.com,account.sendcloud.com,account.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,1a871f901c6b953d59dc8d2bb2bf3948,447613c755ee314d9c685ab39e36c371f3568d82def526e71650f28d06958306,,ctls,account.sendcloud.com,cloudfront,443,https://account.sendcloud.com,https,envoy,GET,18.172.112.103,/,/accounts-static/base/img/favicon/apple-touch-icon.1c771a8e5356.png,2600:9000:2761:d400:1f:9c:4e80:93a1,Python,288,False,True,nonerror,0,text/html,-1463876386,,https://account.sendcloud.com/login/,,
admin.sendcloud.com,Log in | Shared Admin,200,3767,admin.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-29T00:00:00Z,2026-01-28T23:59:59Z,CN=admin.sendcloud.com,admin.sendcloud.com,admin.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,2f87d457b0137d5ef69235a05675bdc3,74c2d5e7e67925c856f92072b943dd4230b0f8d36ad3b80c2c2de8751e6457dc,,ctls,admin.sendcloud.com,cloudfront,443,https://admin.sendcloud.com,https,envoy,GET,52.222.214.20,/,/favicon.ico,52.222.214.94,HSTS,131,False,True,nonerror,0,text/html,,,https://admin.sendcloud.com/admin-ng/login/?next=/admin-ng/,,
adminfinal.autodandomainshopdata-origin-stripe-plugins.shared.sendcloud.com,ERROR: The request could not be satisfied,502,937,adminfinal.autodandomainshopdata-origin-stripe-plugins.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,adminfinal.autodandomainshopdata-origin-stripe-plugins.shared.sendcloud.com,cloudfront,443,https://adminfinal.autodandomainshopdata-origin-stripe-plugins.shared.sendcloud.com,https,,GET,3.161.82.35,/,/favicon.ico,3.161.82.115,Amazon Web Services,19,False,True,error,0,,,,,True,
