input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,webserver,final_url,tls_subject_org_,csp_domains_,tls_mismatched
*.aptrinsic.com,Site Not Configured | 404 Not Found,404,5891,aptrinsic.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-01T00:00:00Z,2023-09-01T23:59:59Z,CN=*.wpengine.com,*.wpengine.com,wpengine.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9f6e180110183a1ea3146942926b0763,06a8d0764f1578615e732006cb7a087bab7084c80046a573cf1471dfe6bcbc3f,True,ctls,aptrinsic.com,443,https://aptrinsic.com:443,https,text/html,GET,104.198.100.39,/,965054014,104.198.100.39,Nginx,98,False,google,True,nginx,,,,True
*.sentry.io,Application Performance Monitoring & Error Tracking Software | Sentry,200,325788,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,docs.getsentry.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8aa2a24875398028247e02e02bd6a18c,35ab2e5c10207ed42095c781cdb718a763c420eb2f9973c52aef4ca5b2f20449,,ctls,sentry.io,443,https://sentry.io:443,https,text/html,GET,35.188.42.15,/,-1840324437,35.188.42.15,webpack,59,False,google,True,nginx,https://sentry.io/welcome/,Sentry,munchkin.marketo.net,
api-automation-eu.floqast.app,,418,36,api-automation-eu.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-07T00:00:00Z,2024-07-05T23:59:59Z,CN=floqast.app,floqast.app,*.floqast.app,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8e085c24f98f8549422bb41716f35927,8c47a0d27cf64fe1fd449ef4cb8e00a71e366bdf21492ba5a92972b97ec96dca,True,ctls,api-automation-eu.floqast.app,443,https://api-automation-eu.floqast.app:443,https,application/json,GET,3.120.88.20,/,1400982143,3.126.174.212,,1,False,,,awselb/2.0,,,,
api-eu.floqast.app,,401,227,api-eu.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-07T00:00:00Z,2024-07-05T23:59:59Z,CN=floqast.app,floqast.app,*.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2dfbaff28ed1ac6bb174fe77d5f67960,4cb5570c4e794163634b3c94691d51d2c5587ebead0bbed65860ddb09fb3a6e2,True,ctls,api-eu.floqast.app,80,http://api-eu.floqast.app:80,http,application/json,GET,3.123.151.51,/,1470033354,3.123.185.120,HSTS,1,False,,,,https://api-eu.floqast.app:443/,,,
api-gateway.eu.floqast.app,,401,227,api-gateway.eu.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-20T23:59:59Z,CN=eu.floqast.app,eu.floqast.app,*.eu.floqast.app,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,946cc3577503f56a06282f4014c03cfa,9a7109b978f9b81b348113ab3a15c445076dae2cfa3f5e5eb2281cc7de7f77b5,True,ctls,api-gateway.eu.floqast.app,443,https://api-gateway.eu.floqast.app:443,https,application/json,GET,3.123.151.51,/,1470033354,3.123.185.120,HSTS,1,False,,,,,,,
apollo.system.floqast.app,,404,3,apollo.system.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-01T23:59:59Z,CN=system.floqast.app,system.floqast.app,*.system.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,736fb4203f333089e20d67a27b443f44,e447717800eaa5d93821fdeb4c9bb407db115a9d0998f385794386370c4e6cc7,True,ctls,apollo.system.floqast.app,80,http://apollo.system.floqast.app:80,http,text/plain,GET,35.166.48.125,/,-1285597174,54.68.47.139,,1,False,,,awselb/2.0,https://apollo.system.floqast.app:443/,,,
automation-eu.floqast.app,,418,36,,,,,,,,,,,,,,,,,,,80,http://automation-eu.floqast.app:80,http,application/json,GET,35.156.153.249,/,1400982143,35.157.7.237,,1,False,,,awselb/2.0,,,,
automation.floqast.app,,418,36,automation.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=floqast.app,floqast.app,*.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,61df4626a0102ed784c140d2649904ef,b6b76fcae8b241bbba9b39a63098308ff088546e83f0c1c9c890b5432deed763,True,ctls,automation.floqast.app,443,https://automation.floqast.app:443,https,application/json,GET,34.215.170.111,/,1400982143,35.160.202.162,,1,False,,,awselb/2.0,,,,
avatars.floqast.app,,403,243,avatars.floqast.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-20T23:59:59Z,CN=floqast.app,floqast.app,*.floqast.app,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,920184a095d8a3bf0890f5a252fd42de,055f0277f852bae816933e9ce47dfe85d2f7ea5cfa13a130c8d4ff397bfd4a5c,True,ctls,avatars.floqast.app,80,http://avatars.floqast.app:80,http,application/xml,GET,108.138.17.93,/,-1975854045,108.138.17.13,Amazon Web Services,2,False,cloudfront,True,AmazonS3,https://avatars.floqast.app/,,,
clamav.system.floqast.app,,404,3,clamav.system.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-01T23:59:59Z,CN=system.floqast.app,system.floqast.app,*.system.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,736fb4203f333089e20d67a27b443f44,e447717800eaa5d93821fdeb4c9bb407db115a9d0998f385794386370c4e6cc7,True,ctls,clamav.system.floqast.app,80,http://clamav.system.floqast.app:80,http,text/plain,GET,44.236.228.138,/,-1285597174,54.68.254.180,,1,False,,,awselb/2.0,https://clamav.system.floqast.app:443/,,,
