input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,content_type,tls_mismatched,csp_domains_,tls_wildcard_certificate,cdn_name,final_url,cdn,tls_expired,tls_self_signed
analytics.seagate.com,,200,,analytics.seagate.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-17T00:00:00Z,2024-02-16T23:59:59Z,"CN=analytics.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",analytics.seagate.com,SEAGATE TECHNOLOGY LLC,analytics.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,c95b085c21b097ace01c050c3767134b,ba537be41122362a9437c82d92fb19ec1bbe36154e0c7250ed0cef922adbb1a0,ctls,analytics.seagate.com,443,https://analytics.seagate.com:443,https,jag,GET,63.140.62.135,/,1936786007,63.140.62.164,HSTS,1,False,,,,,,,,,
annualreport.seagate.com,404 Not Found,404,27203,investor.shareholder.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T10:48:53Z,2023-06-13T10:48:52Z,CN=leapfrog-ssl-17.gcs-web.com,leapfrog-ssl-17.gcs-web.com,,www.tptherapeutics.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e7502b95a9d558fc26de18e2efa8ae32,3082560bddeb287ac70f9542573d1ebe35b2a1c6d6cd964204772c357d127a84,ctls,investor.shareholder.com,443,https://annualreport.seagate.com:443,https,,GET,152.199.17.105,/,-1541848487,152.199.17.105,HSTS,1,False,text/html,,,,,https://investor.shareholder.com/seagate/sec.cfm?DocType=Annual,,,
api.dev.lyve.seagate.com,,404,48,api.dev.lyve.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-22T00:00:00Z,2024-01-05T23:59:59Z,"CN=dev.lyve.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",dev.lyve.seagate.com,SEAGATE TECHNOLOGY LLC,api.dev.lyve.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d5ab7c2de8a3bcc77061d0e474ed8041,1ecc9ebe30559a2ae999ffac61c5511a5e6847dd61de3559974758b28cde8feb,ctls,api.dev.lyve.seagate.com,443,https://api.dev.lyve.seagate.com:443,https,kong/2.6.0.0-enterprise-edition,GET,20.107.196.26,/,834205737,20.107.196.26,,1,False,application/json,,,,,,,,
api.ingest.lyve.seagate.com,,404,48,api.ingest.lyve.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-10T23:59:59Z,"CN=ingest.lyve.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",ingest.lyve.seagate.com,SEAGATE TECHNOLOGY LLC,api.ingest.lyve.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,99fd58b70766aba0658d40ec1458ea34,f6641b6fbb6daff1cad01e69604b2f6ba47ffb15bf72b52f6ab5b7aecdebeaad,ctls,api.ingest.lyve.seagate.com,443,https://api.ingest.lyve.seagate.com:443,https,,GET,13.107.238.45,/,834205737,2620:1ec:48:1::45,Azure Front Door,1,False,application/json,,,,,,,,
api.lyve.seagate.com,404 Not Found,404,581,api.lyve.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-02-10T23:59:59Z,"CN=lyve.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",lyve.seagate.com,SEAGATE TECHNOLOGY LLC,rest.lyve.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d0ec8e2711f883c968624916e0f7071d,dfc3a938baf950e7b45fc4add9d2faa77aa310c817d24e3101aa4ba4ea80e209,ctls,api.lyve.seagate.com,443,https://api.lyve.seagate.com:443,https,Microsoft-Azure-Application-Gateway/v2,GET,20.166.89.86,/,1129692473,20.166.89.86,,14,False,text/html,True,,,,,,,
api.lyvecloud.seagate.com,404 Not Found,404,146,api.lyvecloud.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-04-24T23:59:59Z,"CN=api.lyvecloud.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",api.lyvecloud.seagate.com,SEAGATE TECHNOLOGY LLC,api.lyvecloud.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,519e4e31a27779d617944be3bcb79aa3,65c28a166cbe9f671647d669e791dd16b9503599819efbaa4afdb6552da9a620,ctls,api.lyvecloud.seagate.com,443,https://api.lyvecloud.seagate.com:443,https,nginx,GET,192.55.6.21,/,1494302000,192.55.6.21,Nginx,8,False,text/html,,,,,,,,
api.qa.lyve.seagate.com,403 Forbidden,403,581,api.qa.lyve.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-22T00:00:00Z,2024-01-05T23:59:59Z,"CN=qa.lyve.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",qa.lyve.seagate.com,SEAGATE TECHNOLOGY LLC,api.qa.lyve.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,20234b53f8812f397f04cdb6d1fa4e48,632a26d6fe3201280fd2677b2deca25442e58eac14cc9a437db231afbabc4ecc,ctls,api.qa.lyve.seagate.com,443,https://api.qa.lyve.seagate.com:443,https,Microsoft-Azure-Application-Gateway/v2,GET,20.234.4.172,/,169620248,20.234.4.172,,14,False,text/html,,,,,,,,
api.stage.ingest.lyve.seagate.com,,404,48,api.stage.ingest.lyve.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-08T00:00:00Z,2023-09-08T23:59:59Z,"CN=stage.ingest.lyve.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",stage.ingest.lyve.seagate.com,SEAGATE TECHNOLOGY LLC,api.stage.ingest.lyve.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,fc16872d2516e183a8bd4445d9a493a4,a9bcce7ef70abdc719d47a21f785e683e88c7411b0b70b4c9ac4a12754b97d3b,ctls,api.stage.ingest.lyve.seagate.com,443,https://api.stage.ingest.lyve.seagate.com:443,https,,GET,13.107.238.45,/,834205737,2620:1ec:48:1::45,Azure Front Door,1,False,application/json,,,,,,,,
api.us-central-1.lyvecloud.seagate.com,404 Not Found,404,146,api.us-central-1.lyvecloud.seagate.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-30T00:00:00Z,2023-06-30T23:59:59Z,"CN=api.us-central-1.lyvecloud.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",api.us-central-1.lyvecloud.seagate.com,SEAGATE TECHNOLOGY LLC,api.us-central-1.lyvecloud.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f6542dc24b992fbf3cab31437579756b,2cb4766cc28574e8b9504a208f16b028deba7fb96269a6671ef8985233b91c5c,ctls,api.us-central-1.lyvecloud.seagate.com,443,https://api.us-central-1.lyvecloud.seagate.com:443,https,nginx,GET,192.55.5.25,/,1494302000,192.55.5.25,Nginx,8,False,text/html,,,,,,,,
api.us-west-1.lyvecloud.seagate.com,404 Not Found,404,146,api.us-west-1.lyvecloud.seagate.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-24T00:00:00Z,2024-04-19T23:59:59Z,"CN=api.us-west-1.lyvecloud.seagate.com, O=SEAGATE TECHNOLOGY LLC, L=Oklahoma City, ST=Oklahoma, C=US",api.us-west-1.lyvecloud.seagate.com,SEAGATE TECHNOLOGY LLC,api.us-west-1.lyvecloud.seagate.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,7d4bc792d93887c0449222d1a1003c3f,c0cbaf36d4cdc171084039b1ada8e3ffec9049ddc3eef04ef6388ee0bb152330,ctls,api.us-west-1.lyvecloud.seagate.com,443,https://api.us-west-1.lyvecloud.seagate.com:443,https,nginx,GET,192.55.9.22,/,1494302000,192.55.9.22,Nginx,8,False,text/html,,,,,,,,
