input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_subject_org_,tls_wildcard_certificate
2018publicip.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://2018publicip.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.87.80,/,1291533536,2606:4700::6810:5950,webpack,973,False,True,*.zendesk.com.br,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
21675586.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://21675586.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.87.80,/,1291533536,2606:4700::6810:5850,webpack,973,False,True,*.zendesk.fr,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
7d9dd98c.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://7d9dd98c.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.88.80,/,1291533536,2606:4700::6810:5950,webpack,973,False,True,*.zendesk.co.uk,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
applyenv1f2a8d228006.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://applyenv1f2a8d228006.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.88.80,/,1291533536,2606:4700::6810:5850,webpack,973,False,True,*.zendesk.tw,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
backup-site.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://backup-site.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.90.80,/,1291533536,2606:4700::6810:5850,webpack,973,False,True,*.zendesk.fr,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
bigquery.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://bigquery.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.89.80,/,1291533536,2606:4700::6810:5a50,webpack,973,False,True,*.zendesk.nl,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
bigqueryflash.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://bigqueryflash.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.91.80,/,1291533536,2606:4700::6810:5950,webpack,973,False,True,*.zendesk.hk,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
blog.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://blog.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.88.80,/,1291533536,2606:4700::6810:5950,webpack,973,False,True,*.zendesk.nl,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
chitose.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://chitose.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.88.80,/,1291533536,2606:4700::6810:5a50,webpack,973,False,True,*.zendesk.com.ru,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
e44.bimeanalytics.com,Die beste CX-Analysesoftware 2021 | Zendesk,200,304761,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://e44.bimeanalytics.com:443,https,cloudflare,text/html,GET,104.16.89.80,/,1291533536,2606:4700::6810:5850,webpack,973,False,True,*.zendesk.com.mx,https://www.zendesk.de/service/analytics/,"Cloudflare, Inc.",True
