new,host,a,soa,status_code,cdn,cdn-name,aaaa,cname,has_internal_ips,internal_ips
[x],mercedesbenz2145.bimeanalytics.com,"104.16.87.80, 104.16.88.80, 104.16.89.80, 104.16.91.80, 104.16.90.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5850, 2606:4700::6810:5b50, 2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5950",,,
,2019cachealpha-uploads.bimeanalytics.com,"104.16.87.80, 104.16.88.80, 104.16.90.80, 104.16.89.80, 104.16.91.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5950, 2606:4700::6810:5b50, 2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5850",,,
,21675586.bimeanalytics.com,"104.16.90.80, 104.16.87.80, 104.16.91.80, 104.16.89.80, 104.16.88.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,7d9dd98c.bimeanalytics.com,"104.16.87.80, 104.16.90.80, 104.16.91.80, 104.16.89.80, 104.16.88.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5b50, 2606:4700::6810:5950, 2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5850",,,
,applyenv1f2a8d228006.bimeanalytics.com,"104.16.88.80, 104.16.90.80, 104.16.91.80, 104.16.89.80, 104.16.87.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5b50, 2606:4700::6810:5750, 2606:4700::6810:5950, 2606:4700::6810:5850",,,
,backup-site.bimeanalytics.com,"104.16.89.80, 104.16.87.80, 104.16.91.80, 104.16.88.80, 104.16.90.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5750, 2606:4700::6810:5b50, 2606:4700::6810:5850, 2606:4700::6810:5950, 2606:4700::6810:5a50",,,
,bigquery.bimeanalytics.com,"104.16.88.80, 104.16.89.80, 104.16.91.80, 104.16.90.80, 104.16.87.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5b50, 2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5850, 2606:4700::6810:5950",,,
,bigqueryflash.bimeanalytics.com,"104.16.89.80, 104.16.90.80, 104.16.91.80, 104.16.87.80, 104.16.88.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5b50, 2606:4700::6810:5750, 2606:4700::6810:5850, 2606:4700::6810:5950",,,
,blog.bimeanalytics.com,"104.16.91.80, 104.16.90.80, 104.16.87.80, 104.16.88.80, 104.16.89.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5b50, 2606:4700::6810:5750, 2606:4700::6810:5850, 2606:4700::6810:5950",,,
,calendar.bimeanalytics.com,172.217.16.211,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:806::2013,ghs.googlehosted.com,,
,chitose.bimeanalytics.com,"104.16.91.80, 104.16.90.80, 104.16.88.80, 104.16.89.80, 104.16.87.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5b50, 2606:4700::6810:5750, 2606:4700::6810:5850, 2606:4700::6810:5950",,,
,e44.bimeanalytics.com,"104.16.89.80, 104.16.90.80, 104.16.91.80, 104.16.88.80, 104.16.87.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5750, 2606:4700::6810:5850, 2606:4700::6810:5950, 2606:4700::6810:5a50, 2606:4700::6810:5b50",,,
,emartapp.bimeanalytics.com,"104.16.89.80, 104.16.91.80, 104.16.87.80, 104.16.88.80, 104.16.90.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5850, 2606:4700::6810:5750, 2606:4700::6810:5b50, 2606:4700::6810:5950, 2606:4700::6810:5a50",,,
,engineering-access-system.bimeanalytics.com,"104.16.89.80, 104.16.87.80, 104.16.91.80, 104.16.88.80, 104.16.90.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5b50, 2606:4700::6810:5850, 2606:4700::6810:5950",,,
,fr.bimeanalytics.com,"104.16.87.80, 104.16.91.80, 104.16.88.80, 104.16.89.80, 104.16.90.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5850, 2606:4700::6810:5b50, 2606:4700::6810:5750, 2606:4700::6810:5950, 2606:4700::6810:5a50",,,
,get.bimeanalytics.com,"104.16.88.80, 104.16.90.80, 104.16.87.80, 104.16.89.80, 104.16.91.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5850, 2606:4700::6810:5b50, 2606:4700::6810:5950",,,
,help.bimeanalytics.com,"104.16.90.80, 104.16.89.80, 104.16.88.80, 104.16.87.80, 104.16.91.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5950, 2606:4700::6810:5750, 2606:4700::6810:5b50, 2606:4700::6810:5850",,,
,html5.bimeanalytics.com,"104.16.88.80, 104.16.90.80, 104.16.89.80, 104.16.87.80, 104.16.91.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5750, 2606:4700::6810:5b50, 2606:4700::6810:5850, 2606:4700::6810:5950, 2606:4700::6810:5a50",,,
