input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,csp_domains_,webserver,tls_expired,final_url,cdn_name,cdn
*.documentforce.com,,200,562,documentforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-19T00:00:00Z,2023-12-15T23:59:59Z,"CN=salesforce-sites.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",salesforce-sites.com,"salesforce.com, inc.",salesforceliveagent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8ba65074102335dab45e09f3e8601ea6,0b8fdcc102b9ec157b7fae8472493c5147997360bd5cb6dcbc11e50efad0ecd1,,ctls,documentforce.com,443,https://documentforce.com:443,https,text/html,GET,85.222.140.11,/,1433417005,85.222.140.13,Salesforce,13,False,,URL=https://www.salesforce.com,sfdcedge,,,,
*.force.com,Custom Application Development Software for Business - Salesforce.com,200,191222,www.salesforce.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-29T00:00:00Z,2024-05-27T23:59:59Z,"CN=www.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",www.salesforce.com,"salesforce.com, inc.",c.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f9119b9747c0824c341bbae1091e51a2,e253e090bdb2441b0a7a8724663eea0e47760ee6d7b1bbe63747dc15ae8c97de,,ctls,www.salesforce.com,443,https://force.com:443,https,text/html,GET,23.1.35.132,/,,184.25.179.132,Java,6613,False,,,Apache,,https://www.salesforce.com/products/platform/overview/?sfdc-redirect=300&bc=HA,,
*.visualforce.com,,200,562,visualforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-19T00:00:00Z,2023-12-15T23:59:59Z,"CN=salesforce-sites.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",salesforce-sites.com,"salesforce.com, inc.",salesforceliveagent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8ba65074102335dab45e09f3e8601ea6,0b8fdcc102b9ec157b7fae8472493c5147997360bd5cb6dcbc11e50efad0ecd1,,ctls,visualforce.com,443,https://visualforce.com:443,https,text/html,GET,85.222.140.6,/,1433417005,85.222.140.13,Salesforce,13,False,,URL=https://www.salesforce.com,sfdcedge,,,,
10k.my.salesforce.com,Login | Salesforce,200,8554,10k.my.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,2023-11-22T23:59:59Z,"CN=na234.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",na234.salesforce.com,"salesforce.com, inc.",*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b3643b3f4ddb8352d0e5c43705558281,07fe2813462069d388884e48b90037924ec23c6fd1da6c2eadd7dcf128eea1a5,True,ctls,10k.my.salesforce.com,443,https://10k.my.salesforce.com:443,https,text/html,GET,136.146.37.119,/,1433417005,136.146.38.119,HSTS,24,False,,,,,,,
10x.my.salesforce.com,Login | Salesforce,200,9818,10x.my.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-18T00:00:00Z,2024-01-16T23:59:59Z,"CN=na164.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",na164.salesforce.com,"salesforce.com, inc.",*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,aca64ed43bbe617c40c1c601d680a4a7,3aecfc40a0ab336ce4e080a6f3c8ac79193b069a9efd060878ccbf097fe6d6ef,True,ctls,10x.my.salesforce.com,443,https://10x.my.salesforce.com:443,https,text/html,GET,13.110.68.193,/,1433417005,13.110.47.193,HSTS,24,False,,,,,,,
2degrees.my.salesforce.com,Login | Salesforce,200,10975,vocusgroup.my.salesforce.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-18T00:00:00Z,2024-06-18T23:59:59Z,"CN=aus13.sfdc-vwfla6.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",aus13.sfdc-vwfla6.salesforce.com,"salesforce.com, inc.",*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8cf615e19d608f0070e76de954805d66,8e55352b37c0a4d6575c7dc09cf8949350be88a7aad2d98f5a53f2db614216fd,True,ctls,vocusgroup.my.salesforce.com,443,https://2degrees.my.salesforce.com:443,https,text/html,GET,3.106.29.200,/,1433417005,52.62.106.114,HSTS,24,False,,,,,https://vocusgroup.my.salesforce.com/,,
4.my.salesforce.com,Login | Salesforce,200,9816,4.my.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-18T00:00:00Z,2024-01-16T23:59:59Z,"CN=na207.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",na207.salesforce.com,"salesforce.com, inc.",*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a4d3414e53134646d9c44cf9dca0eac0,268e4025f0ed6a598037e972c2d6ae9d29f6a867b20e81d032962caf6b15378d,True,ctls,4.my.salesforce.com,443,https://4.my.salesforce.com:443,https,text/html,GET,13.109.187.243,/,1433417005,13.110.59.243,HSTS,24,False,,,,,,,
4c.my.salesforce.com,Login | Salesforce,200,8570,4c.my.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-18T00:00:00Z,2024-01-16T23:59:59Z,"CN=eu33.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",eu33.salesforce.com,"salesforce.com, inc.",*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3df70291e3d264b5c2df76a9e0ab9531,692df9b4f51ed4e6cfd010f958f56dbd73753cb83f0bded830df4c30743bd523,True,ctls,4c.my.salesforce.com,443,https://4c.my.salesforce.com:443,https,text/html,GET,85.222.147.109,/,1433417005,160.8.241.109,HSTS,24,False,,,,,,,
53.my.salesforce.com,Fifth Third ID First Login,200,6232,b2e.sso.53.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-15T15:00:19Z,2023-08-15T15:00:19Z,"CN=np.b2b.sso.53.com, O=Fifth Third Bank\, National Association, L=Cincinnati, ST=Ohio, C=US",np.b2b.sso.53.com,"Fifth Third Bank, National Association",np.id.53.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ac6715f9348e601d43498c2154a5748e,6f365b1c1f5ae8e169e639dc3109ee0d42d45a2670c12d96a402c753ef4cd89f,,ctls,b2e.sso.53.com,443,https://53.my.salesforce.com:443,https,text/html,GET,13.110.68.158,/,1433417005,13.110.67.158,HSTS,189,False,,*.info53.com,Apache,,https://b2e.sso.53.com/idp/SSO.saml2?SAMLRequest=fZLdcqowFIVfhcm9iKACmaIDzVFRbBFQizcMYFA6kGASi%2B3TH%2Fo303Muumdykdl7rb0m%2Be6mt7qSXjDjJSUWGMgKkDDJ6bEkJwtso1nPANPJHU%2FrSm2gfRVnEuDLFXMhdULC4WfHAldGIE15ySFJa8yhyGForz2oygpsGBU0pxWQbM4xE92qe0r4tcYsxOylzPE28CxwFqLhsN8faXL9KvO0wrygLMdyTuspp5aioGKovJdGFPQEJNTFKEkqPqJ%2FqzMVy5xTuXPpdP3y2PTD8FH%2ByAkkF1kgUe%2FtrmK693YNXyO7%2Ff%2B8t01XY7PsFox9EgYePmfuk2cgJpwQPSbFrM0qI9fatVa0DzZjoro5uEgSbBxibxA0A29lD8av5pkd7Ti9zP4YeUN3uuMVeKWMy%2F1b0XM2R183XEbnqLUFUsUW1zudqQmzc%2FtaLOebwNvE62g9TLSm3NOHxfDsqEaRmefDJdXfZnqeiqWzr6OLuRkgRC%2BpqVRtrM7bJXKLU2g%2Fv3mtt9q97G%2BZg7bUaONxajxvl%2BFitbq5a93fu69%2B1CxHaDvUzFscnlDir4xnc4EXQXnqXovzK3YJFykRFlAVVespek8dRooGNRMOx7KpjA5A8r8%2B2CnJJzi%2F0ZB9DnG4iCK%2F5z%2BGEZB23wB2A%2BALN%2Fixnf3k7Hfj9BsuMPkNpbv%2BT%2FvJ1%2FVfuCd%2FAQ%3D%3D&RelayState=%2F&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=URA%2BMXUngRzdLPDGX60DQrBSnepw6FGhDe63vzyR0%2Fm1q7FT%2Bk8af%2F7IQfEyhxaHGetenHxLJOTsFR4YptRqZ5FzCHkA7c8douQDgw2DftXd1K%2B0D8ZQvZ7iy457xCCIuN6Kip7lBmr0UqediHhSzehQEw4Y7ZoJDzf%2BwSnGSQnVPYBzQKdEtY6Lw3v6O8bLVrpzYgu7SvOBtvAJh7plUD0DWCA%2BV9PzGsGaaauweatn42ijcK0H58t7KL07qWrHzlT66zU38ChEt27brjXS%2FuodYhSPALfIvS%2F5M0xyfu43w56M3MbbPANu1jLUfVHZ8rA6Bmdv2WFGEl2PQOJECQ%3D%3D,,
5a.my.salesforce.com,Login | Salesforce,200,8638,5a.my.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-18T00:00:00Z,2024-01-16T23:59:59Z,"CN=na153.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",na153.salesforce.com,"salesforce.com, inc.",*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,02f56602b445eb2cba1a087dc96d80a3,b31eb7bbf6a892645e56cac8ccaee74a3c0c471230f7368b64095d08bac54bdd,True,ctls,5a.my.salesforce.com,443,https://5a.my.salesforce.com:443,https,text/html,GET,13.110.71.158,/,1433417005,13.110.68.158,HSTS,24,False,,,,,,,
