new,host,a,cname,soa,status_code,cdn,cdn-name,mx,txt,aaaa,ns,caa,has_internal_ips,internal_ips
[x],1.my.salesforce.com,"96.43.148.7, 96.43.149.7","my.s.approuter.salesforce.com, my.was.g.approuter.salesforce.com","dns01.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],1.salesforce.com,"96.43.149.6, 96.43.148.6","app.s.approuter.salesforce.com, app.was.g.approuter.salesforce.com","dns01.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],10k.my.salesforce.com,"136.146.45.119, 136.146.47.119, 136.146.39.119","na234.salesforce.com, na234-ia7.salesforce.com, na234-ia7.ia7.r.salesforce.com","ns1-ia7.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],10x.my.salesforce.com,"13.110.67.193, 13.110.40.193, 13.110.41.193","na164.my.salesforce.com, na164-ia5.my.salesforce.com, na164-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],2degrees.my.salesforce.com,"3.106.29.200, 52.62.106.114, 13.238.178.237",aus13.sfdc-vwfla6.salesforce.com,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],4.my.salesforce.com,"13.110.58.243, 13.109.190.243, 13.109.184.243","na207.my.salesforce.com, na207-ia4.my.salesforce.com, na207-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],4c.my.salesforce.com,"85.222.146.109, 160.8.245.109, 160.8.246.109","eu33.my.salesforce.com, eu33-cdg.my.salesforce.com, eu33-cdg.cdg.r.my.salesforce.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],53.my.salesforce.com,"13.110.71.158, 13.110.46.158, 13.110.41.158","na153.my.salesforce.com, na153-ia5.my.salesforce.com, na153-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],5a.my.salesforce.com,"13.110.71.158, 13.110.41.158, 13.110.46.158","na153.my.salesforce.com, na153-ia5.my.salesforce.com, na153-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],9.my.salesforce.com,"13.110.41.158, 13.110.46.158, 13.110.71.158","na153.my.salesforce.com, na153-ia5.my.salesforce.com, na153-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],a-digital.my.salesforce.com,"101.53.160.214, 101.53.163.86, 101.53.162.214","ap16.salesforce.com, ap16-ukb.salesforce.com, ap16-ukb.ukb.r.salesforce.com","ns1-ukb.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],a33.my.salesforce.com,"161.71.11.58, 161.71.8.186, 161.71.9.186","um8.salesforce.com, um8-lo3.salesforce.com, um8-lo3.lo3.r.salesforce.com","ns1-lo3.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],a5.my.salesforce.com,"13.110.56.211, 13.109.191.211, 13.110.58.211","na170.my.salesforce.com, na170-ia4.my.salesforce.com, na170-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aaa2.my.salesforce.com,"101.53.168.248, 101.53.169.120, 101.53.169.248","ap27.salesforce.com, ap27-hnd.salesforce.com, ap27-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aab.my.salesforce.com,"161.71.10.59, 161.71.8.187, 161.71.11.59","um8.my.salesforce.com, um8-lo3.my.salesforce.com, um8-lo3.lo3.r.my.salesforce.com","ns1-lo3.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aacsm.my.salesforce.com,"101.53.161.212, 101.53.162.212, 101.53.160.212","ap13.my.salesforce.com, ap13-ukb.my.salesforce.com, ap13-ukb.ukb.r.my.salesforce.com","ns1-ukb.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aad.my.salesforce.com,"161.71.11.58, 161.71.8.186, 161.71.9.186","um8.salesforce.com, um8-lo3.salesforce.com, um8-lo3.lo3.r.salesforce.com","ns1-lo3.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aade.my.salesforce.com,"160.8.11.145, 160.8.9.145, 160.8.8.145","eu45.salesforce.com, eu45-cdg.salesforce.com, eu45-cdg.cdg.r.salesforce.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aaf.my.salesforce.com,"13.110.87.53, 13.110.34.181, 13.110.80.53","na136.my.salesforce.com, na136-ia2.my.salesforce.com, na136-ia2.ia2.r.my.salesforce.com","ns1-ia2.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aarp.my.salesforce.com,,"na152.my.salesforce.com, na152-ia5.my.salesforce.com, na152-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aax.my.salesforce.com,"13.110.43.164, 13.110.42.164, 13.110.68.164","na158.my.salesforce.com, na158-ia5.my.salesforce.com, na158-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],abb8.my.salesforce.com,"161.71.11.59, 161.71.10.59, 161.71.8.187","um8.my.salesforce.com, um8-lo3.my.salesforce.com, um8-lo3.lo3.r.my.salesforce.com","ns1-lo3.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],abcd.my.salesforce.com,"101.53.169.117, 101.53.171.245, 101.53.169.245","ap26.salesforce.com, ap26-hnd.salesforce.com, ap26-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],abctest.my.salesforce.com,"101.53.169.245, 101.53.169.117, 101.53.171.245","ap26.salesforce.com, ap26-hnd.salesforce.com, ap26-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],abde.my.salesforce.com,"101.53.169.248, 101.53.169.120, 101.53.168.248","ap27.salesforce.com, ap27-hnd.salesforce.com, ap27-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],abetterway.my.salesforce.com,"13.109.185.229, 13.110.60.229, 13.110.62.229","na212.my.salesforce.com, na212-ia4.my.salesforce.com, na212-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],ability-power-65322.my.salesforce.com,"161.71.11.186, 161.71.8.186, 161.71.11.58","um8.salesforce.com, um8-lo3.salesforce.com, um8-lo3.lo3.r.salesforce.com","ns1-lo3.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],abode.my.salesforce.com,"13.109.187.25, 13.110.61.25, 13.110.58.25","na174.my.salesforce.com, na174-ia4.my.salesforce.com, na174-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],abp.my.salesforce.com,"18.229.228.38, 54.207.95.99, 54.207.214.113","bra5.my.sfdc-xwy4ub.salesforce.com, bra5.sfdc-xwy4ub.salesforce.com","dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],abs.my.salesforce.com,"35.183.141.13, 3.96.78.252, 52.60.222.159",can46.sfdc-58ktaz.salesforce.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],abuse.salesforce.com,68.232.201.29,,"mastername.salesforce.com, hostmaster.salesforce.com",NOERROR,,,fbl.s1.exacttarget.com,v=spf1 include:_spf.salesforce.com ~all,,,,,
[x],academic-alliance.salesforce.com,146.75.121.145,devforce.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],acc5.my.salesforce.com,"101.53.169.120, 101.53.169.248, 101.53.168.248","ap27.salesforce.com, ap27-hnd.salesforce.com, ap27-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],accelerate.my.salesforce.com,"13.110.64.147, 13.110.65.147, 13.110.69.147","na150.salesforce.com, na150-ia5.salesforce.com, na150-ia5.ia5.r.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],accenture.my.salesforce.com,"85.222.140.11, 85.222.140.13, 85.222.140.10","n.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],acceptance.my.salesforce.com,"35.158.127.49, 35.158.127.48, 35.158.127.50","hc.edge2.salesforce.com, ca1.edge.sfdc-yzvdd4.edge2.salesforce.com","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],access2.my.salesforce.com,"161.71.11.58, 161.71.9.186, 161.71.8.186","um8.salesforce.com, um8-lo3.salesforce.com, um8-lo3.lo3.r.salesforce.com","ns1-lo3.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],accessibility.my.salesforce.com,"136.147.100.37, 136.147.101.37, 136.147.101.165","gs0.salesforce.com, gs0-phx.salesforce.com, gs0-phx.phx.r.salesforce.com","ns1-phx.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],accurate-onbackground.my.salesforce.com,"13.110.41.158, 13.110.46.158, 13.110.71.158","na153.my.salesforce.com, na153-ia5.my.salesforce.com, na153-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],accwcu.my.salesforce.com,"13.110.44.167, 13.110.41.167, 13.110.40.167","na159.my.salesforce.com, na159-ia5.my.salesforce.com, na159-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aces.my.salesforce.com,"160.8.247.133, 160.8.242.133, 160.8.244.133","eu40.salesforce.com, eu40-cdg.salesforce.com, eu40-cdg.cdg.r.salesforce.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],acid.my.salesforce.com,"13.110.71.240, 13.110.41.240, 13.110.46.240","na208.my.salesforce.com, na208-ia5.my.salesforce.com, na208-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],acl.my.salesforce.com,"136.146.47.117, 136.146.33.117, 136.146.34.117","na232.salesforce.com, na232-ia7.salesforce.com, na232-ia7.ia7.r.salesforce.com","ns1-ia7.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],acquia.my.salesforce.com,"13.109.187.25, 13.110.61.25, 13.110.58.25","na174.my.salesforce.com, na174-ia4.my.salesforce.com, na174-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],acres.my.salesforce.com,"54.251.49.183, 18.140.92.2, 54.254.82.100","sgp1.my.sfdc-hvhps.salesforce.com, sgp1.sfdc-hvhps.salesforce.com","dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],acropolis.my.salesforce.com,"101.53.168.51, 101.53.169.51, 101.53.169.179","ap12.salesforce.com, ap12-hnd.salesforce.com, ap12-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],acs-1.my.salesforce.com,"13.110.43.239, 13.110.47.239, 13.110.65.239","na208.salesforce.com, na208-ia5.salesforce.com, na208-ia5.ia5.r.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],acs1.my.salesforce.com,"101.53.163.172, 101.53.160.172, 101.53.160.44","ap8.my.salesforce.com, ap8-ukb.my.salesforce.com, ap8-ukb.ukb.r.my.salesforce.com","ns1-ukb.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],act3.my.salesforce.com,"161.71.8.186, 161.71.11.58, 161.71.9.186","um8.salesforce.com, um8-lo3.salesforce.com, um8-lo3.lo3.r.salesforce.com","ns1-lo3.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],acuity.my.salesforce.com,"13.110.40.155, 13.110.68.155, 13.110.46.155","na152.my.salesforce.com, na152-ia5.my.salesforce.com, na152-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],ada5.my.salesforce.com,"101.53.168.248, 101.53.169.120, 101.53.169.248","ap27.salesforce.com, ap27-hnd.salesforce.com, ap27-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adaptive.my.salesforce.com,"85.222.155.188, 160.8.250.60, 85.222.153.188","eu29.my.salesforce.com, eu29-fra.my.salesforce.com, eu29-fra.fra.r.my.salesforce.com","ns1-fra.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adb.my.salesforce.com,"15.188.44.235, 15.237.22.75, 13.38.189.45","fra5.my.sfdc-urlt2q.salesforce.com, fra5.sfdc-urlt2q.salesforce.com","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],adc2.my.salesforce.com,"101.53.169.179, 101.53.168.51, 101.53.169.51","ap12.salesforce.com, ap12-hnd.salesforce.com, ap12-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adcloud.my.salesforce.com,"18.192.146.114, 52.28.3.100, 3.77.4.144","deu3.my.sfdc-yzvdd4.salesforce.com, deu3.sfdc-yzvdd4.salesforce.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],add.my.salesforce.com,"101.53.169.179, 101.53.168.51, 101.53.169.51","ap12.salesforce.com, ap12-hnd.salesforce.com, ap12-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],add2.my.salesforce.com,"101.53.169.245, 101.53.169.117, 101.53.171.245","ap26.salesforce.com, ap26-hnd.salesforce.com, ap26-hnd.hnd.r.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
